"May 20, Predicted 19th BEST:",,SPIRE,ECMWF,ECMWF,ECMWF,,,,,,,,,,,,
PWG,AVARAGE,,PWE,AVARAGE,,ECMWF,AVARAGE,,GFS,AVARAGE,,SPIRE,AVARAGE,,UKMO,AVARAGE,
Center Name/ Time,,,Center Name/ Time,,,Center Name/ Time,,,Center Name/ Time,,,Center Name/ Time,,,Center Name/ Time,,
W29,6.12,,W29,6.12,,W29,1.12,,W29,0.33,,W29,2.76,,W29,1.48,
TPLM2,5.48,,TPLM2,3.8,,TPLM2,4.46,,TPLM2,4.35,,TPLM2,2,,TPLM2,4.52,
"Gooses Reef, MD",5.62,,"Gooses Reef, MD",1.3,,"Gooses Reef, MD",4.88,,"Gooses Reef, MD",2.72,,"Gooses Reef, MD",3.62,,"Gooses Reef, MD",1.84,
NHK,4.76,,NHK,4.8,,NHK,2.26,,NHK,1.85,,NHK,2.14,,NHK,4.42,
"Bishops Head, MD",5.48,,"Bishops Head, MD",3.8,,"Bishops Head, MD",4.46,,"Bishops Head, MD",4.35,,"Bishops Head, MD",2,,"Bishops Head, MD",4.52,
"Potomac, MD",5.22,,"Potomac, MD",3.4,,"Potomac, MD",2.24,,"Potomac, MD",3.42,,"Potomac, MD",2.14,,"Potomac, MD",1.66,
TGI,4.58,,TGI,1.96,,TGI,3.36,,TGI,3.6,,TGI,2.62,,TGI,2.2,
Rappahannock Light,2.8,,Rappahannock Light,2.84,,Rappahannock Light,2.98,,Rappahannock Light,1.13,,Rappahannock Light,1.16,,Rappahannock Light,1.62,
"Kiptopeke, VA",2.96,4.78%,"Kiptopeke, VA",5.3,3.70%,"Kiptopeke, VA",2.06,3.09%,"Kiptopeke, VA",2.63,2.71%,"Kiptopeke, VA",2.88,2.37%,"Kiptopeke, VA",3.8,2.90%
Chesapeake Bay,6.12,,Chesapeake Bay,6.12,,Chesapeake Bay,1.12,,Chesapeake Bay,0.33,,Chesapeake Bay,2.76,,Chesapeake Bay,1.48,
"Wachapreague, VA",2.54,,"Wachapreague, VA",1.32,,"Wachapreague, VA",0.64,,"Wachapreague, VA",3.38,,"Wachapreague, VA",5.32,,"Wachapreague, VA",3.22,
DELAWARE BAY 26,5.48,,DELAWARE BAY 26,3.8,,DELAWARE BAY 26,4.46,,DELAWARE BAY 26,4.35,,DELAWARE BAY 26,2,,DELAWARE BAY 26,4.52,
44066,5.48,4.91%,44066,3.8,3.76%,44066,4.46,2.67%,44066,4.35,3.10%,44066,2,3.02%,44066,4.52,3.44%
ATLANTICCITYINNJ,6.12,,ATLANTICCITYINNJ,6.12,,ATLANTICCITYINNJ,1.12,,ATLANTICCITYINNJ,0.33,,ATLANTICCITYINNJ,2.76,,ATLANTICCITYINNJ,1.48,
Texas Tower #4 - 75,2.54,,Texas Tower #4 - 75,1.32,,Texas Tower #4 - 75,0.64,,Texas Tower #4 - 75,3.38,,Texas Tower #4 - 75,5.32,,Texas Tower #4 - 75,3.22,
Nick,6.88,5.18%,Nick,12.7,6.71%,Nick,2.22,1.33%,Nick,2.95,2.22%,Nick,1.6,3.23%,Nick,3.04,2.58%
ISP,4.08,,ISP,7.06,,ISP,0.32,,ISP,4.35,,ISP,3.02,,ISP,2.26,
BLOCKISLANDRI,5.48,4.78%,BLOCKISLANDRI,3.8,5.43%,BLOCKISLANDRI,4.46,2.39%,BLOCKISLANDRI,1.1,2.73%,BLOCKISLANDRI,2,2.51%,BLOCKISLANDRI,4.52,3.39%
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"May 21, Predicted 19th BEST:",,ECMWF,ECMWF,ECMWF,ECMWF,,,,,,,,,,,,
PWG,AVARAGE,,PWE,AVARAGE,,ECMWF,AVARAGE,,GFS,AVARAGE,,SPIRE,AVARAGE,,UKMO,AVARAGE,
Center Name/ Time,,,Center Name/ Time,,,Center Name/ Time,,,Center Name/ Time,,,Center Name/ Time,,,Center Name/ Time,,
W29,3.5,,W29,15.57,,W29,2.68,,W29,0.52,,W29,10.75,,W29,3.47,
TPLM2,1.8,,TPLM2,10.68,,TPLM2,2.08,,TPLM2,4.1,,TPLM2,3.62,,TPLM2,5.58,
"Gooses Reef, MD",3.62,,"Gooses Reef, MD",7.82,,"Gooses Reef, MD",3.05,,"Gooses Reef, MD",2.52,,"Gooses Reef, MD",0.65,,"Gooses Reef, MD",1.22,
NHK,4.45,,NHK,11.12,,NHK,3.33,,NHK,1.9,,NHK,0.92,,NHK,1.73,
"Bishops Head, MD",1.8,,"Bishops Head, MD",10.68,,"Bishops Head, MD",2.08,,"Bishops Head, MD",4.1,,"Bishops Head, MD",3.62,,"Bishops Head, MD",5.58,
