17.67%,,,,,,,,,,,,,,,,,,,,,
PWG,"Forecast Error, %",,,,,,,,,,,,,,,,,,,,
Center Name/ Time,6:00 AM,7:00 AM,8:00 AM,9:00 AM,10:00 AM,11:00 AM,12:00 PM,1:00 PM,2:00 PM,3:00 PM,4:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,9:00 PM,10:00 PM,11:00 PM,12:00 PM,AVARAGE,
W29,0.027,0.041,0.041,0.014,0,0.027,0.014,0.078,0.113,0.03,0.06,0.137,0.127,0.15,0.127,0.137,0.16,0.162,0.469,10.63%,
TPLM2,0.205,0.205,0.205,0.213,0.213,0.213,0.213,0.213,0.203,0.213,0.213,0.203,0.203,0.203,0.203,0.203,0.203,0.203,0.078,21.16%,
"Gooses Reef, MD",0.031,0.146,0.269,0.2,0.431,0.534,0.901,0.288,0.058,0.059,0.021,0.101,0.19,0.197,0.197,0.277,0.263,0.248,0.467,27.10%,
NHK,0.127,0.06,0.376,0.068,0.186,0.197,0.112,0.095,0.188,0.384,0.374,0.094,0.093,0.07,0.203,0.246,0.262,0.279,0.197,20.06%,
"Bishops Head, MD",0.205,0.205,0.205,0.213,0.213,0.213,0.213,0.213,0.203,0.213,0.213,0.203,0.203,0.203,0.203,0.203,0.203,0.203,0.078,21.16%,
"Potomac, MD",0.303,0.413,0.367,0.349,0.33,0.321,0.349,0.349,0.089,0.327,0.277,0,0.015,0.066,0.111,0.176,0.147,0.153,0.357,24.99%,
TGI,0.489,0.051,0.08,0.102,0.015,0.044,0.058,0.051,0.446,0.119,0.075,0.436,0.426,0.436,0.45,0.376,0.347,0.25,0.639,27.17%,
Rappahannock Light,0.027,0.027,0.027,0.018,0.018,0.009,0,0,0.009,0.009,0.017,0.017,0.017,0.026,0.026,0.035,0.15,0.019,0.121,3.18%,
"Kiptopeke, VA",0.123,0.157,0.038,0.057,0.044,0.026,0.026,0.038,0.068,0.057,0,0.082,0.021,0.013,0.048,0.067,0.007,0.048,0.016,5.20%,0.1784938272
Chesapeake Bay,0.027,0.041,0.041,0.014,0,0.027,0.014,0.078,0.113,0.03,0.06,0.137,0.127,0.15,0.127,0.137,0.16,0.162,0.469,10.63%,
"Wachapreague, VA",0.112,0.081,0.081,0.081,0.081,0.081,0.081,0.08,0.117,0.111,0.08,0.086,0.122,0.122,0.122,0.085,0.085,0.079,0.39,11.54%,
DELAWARE BAY 26,0.205,0.205,0.205,0.213,0.213,0.213,0.213,0.213,0.203,0.213,0.213,0.203,0.203,0.203,0.203,0.203,0.203,0.203,0.078,21.16%,
