,Route,Start Time,Start,End
,PWG,2023-05-12T16:00:10-04:00,38 47.760N 75 6.882W,39 33.558N 75 33.534W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-12T16:00:10-04:00,11.8,135,S160,4.7,336, ,38º 47.760 N,75º 06.882 W,1.4,148,4.8,,,1018.3,72.7,0.0,0.2,11.8
2023-05-12T16:04:25-04:00,12.2,139,S112,7.2,27, ,38º 48.065 N,75º 07.060 W,1.4,148,4.8,,,1018.2,72.7,0.0,0.2,12.2
2023-05-12T16:28:57-04:00,14.1,156,S140,6.8,16, ,38º 50.681 N,75º 05.358 W,1.4,148,4.7,,,1018.0,71.0,0.0,0.1,14.1
2023-05-12T17:26:12-04:00,14.5,168,S154,6.2,13, ,38º 56.865 N,75º 03.174 W,1.5,158,3.6,,,1017.8,68.4,0.0,0.1,14.5
2023-05-12T18:09:00-04:00,15.0,173,S155,6.3,18, ,39º 01.096 N,75º 01.844 W,1.5,166,3.0,,,1017.8,67.4,0.0,0.0,15.0
2023-05-12T18:37:08-04:00,16.2,178,P139,7.1,317, ,39º 03.907 N,75º 00.636 W,1.4,171,2.8,,,1017.9,67.5,0.0,0.0,16.2
2023-05-12T20:59:36-04:00,12.5,175,P122,6.8,297, ,39º 15.880 N,75º 14.998 W,0.7,166,2.3,,,1017.8,67.6,0.0,0.2,12.5
2023-05-12T21:29:06-04:00,10.7,180,P148,4.8,328, ,39º 17.392 N,75º 18.817 W,0.5,160,2.2,,,1017.8,67.8,0.0,0.2,10.7
2023-05-12T21:48:08-04:00,11.4,177,P127,6.0,304, ,39º 18.683 N,75º 19.853 W,0.5,160,2.1,,,1017.8,67.6,0.0,0.2,11.4
2023-05-12T22:17:45-04:00,10.2,176,P134,5.1,310, ,39º 20.339 N,75º 22.997 W,0.4,159,2.1,,,1017.8,67.6,0.0,0.1,10.2
2023-05-12T22:23:14-04:00,10.0,176,P142,4.6,319, ,39º 20.638 N,75º 23.456 W,0.4,160,2.1,,,1017.8,67.5,0.0,0.1,10.0
2023-05-12T23:36:25-04:00,6.1,163,S152,2.5,11, ,39º 24.356 N,75º 27.799 W,0.2,158,2.0,,,1017.5,67.0,0.0,0.1,6.1
2023-05-12T23:56:02-04:00,5.8,189,P114,3.3,303, ,39º 25.159 N,75º 27.604 W,0.2,162,2.0,,,1017.4,66.6,0.0,0.1,5.8
2023-05-13T01:11:15-04:00,4.7,223,P103,2.9,326, ,39º 27.379 N,75º 32.024 W,0.1,165,2.0,,,1016.9,65.5,0.0,0.0,4.7
2023-05-13T01:27:05-04:00,4.6,228,P120,2.5,348, ,39º 28.012 N,75º 32.581 W,0.1,170,2.0,,,1016.8,65.2,0.0,0.0,4.6
2023-05-13T01:49:17-04:00,4.5,237,P118,2.5,355, ,39º 28.934 N,75º 32.834 W,0.1,169,2.1,,,1016.6,64.8,0.0,0.0,4.5
2023-05-13T03:30:15-04:00,4.5,240,P110,2.6,351, ,39º 33.253 N,75º 33.356 W,0.1,180,2.3,,,1016.6,64.8,0.0,0.0,4.5
2023-05-13T03:36:10-04:00,4.5,240,P57,1.7,297, ,39º 33.509 N,75º 33.410 W,0.1,180,2.3,,,1016.6,64.8,0.0,0.0,4.5
2023-05-13T03:39:52-04:00,4.4,240,,,, ,39º 33.557 N,75º 33.533 W,0.1,180,2.3,,,1016.6,64.8,0.0,0.0,4.4
