,Route,Start Time,Start,End
,PWG,2023-05-14T16:58:00-04:00,38 47.760N 75 6.882W,39 33.558N 75 33.534W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-14T16:58:00-04:00,13.1,102,S123,7.1,340, ,38º 47.760 N,75º 06.882 W,2.1,83,4.6,,,1021.1,62.5,0.0,0.0,13.1
2023-05-14T17:22:50-04:00,12.8,110,S126,6.7,343, ,38º 50.514 N,75º 08.200 W,1.7,90,4.2,,,1021.2,62.4,0.0,0.0,12.8
2023-05-14T20:23:03-04:00,9.6,144,P156,3.9,300, ,39º 06.106 N,75º 14.050 W,1.0,127,2.6,,,1022.3,61.5,0.0,0.0,11.7
2023-05-14T20:40:29-04:00,9.1,145,S156,3.6,349, ,39º 06.670 N,75º 15.327 W,0.9,128,2.6,,,1022.4,61.4,0.0,0.0,13.4
2023-05-14T20:50:32-04:00,8.7,145,P158,3.4,303, ,39º 07.259 N,75º 15.481 W,0.9,129,2.6,,,1022.4,61.3,0.0,0.0,14.4
2023-05-14T20:59:14-04:00,8.4,146,S149,3.5,357, ,39º 07.531 N,75º 16.018 W,0.9,129,2.5,,,1022.5,61.1,0.0,0.0,15.0
2023-05-14T21:49:25-04:00,6.3,146,S155,2.4,351, ,39º 10.490 N,75º 16.223 W,0.7,130,2.4,,,1022.8,60.0,0.0,0.0,18.9
2023-05-14T23:19:56-04:00,3.5,136,P149,1.5,286, ,39º 13.749 N,75º 16.886 W,0.5,113,2.2,,,1023.3,57.8,0.0,0.0,21.4
2023-05-14T23:30:39-04:00,3.5,134,S155,1.5,339, ,39º 13.819 N,75º 17.212 W,0.5,104,2.2,,,1023.3,57.6,0.0,0.0,21.1
2023-05-15T00:16:47-04:00,3.4,100,S130,1.9,331, ,39º 14.915 N,75º 17.755 W,0.5,70,2.0,,,1023.4,56.8,0.0,0.0,19.8
2023-05-15T00:40:19-04:00,3.4,53,S106,1.5,307, ,39º 15.575 N,75º 18.234 W,0.5,52,2.0,,,1023.5,56.4,0.0,0.0,19.1
2023-05-15T01:54:57-04:00,3.5,346,P60,1.3,47, ,39º 16.715 N,75º 20.225 W,0.6,30,1.8,,,1023.6,55.0,0.0,0.0,16.9
2023-05-15T02:53:21-04:00,4.0,358,S53,1.4,305, ,39º 17.593 N,75º 19.029 W,0.6,25,1.8,,,1023.8,54.1,0.0,0.0,15.3
2023-05-15T03:10:38-04:00,4.4,358,P50,1.3,48, ,39º 17.816 N,75º 19.443 W,0.6,22,1.8,,,1023.9,53.9,0.0,0.0,14.8
2023-05-15T03:23:14-04:00,4.4,0,S56,1.8,304, ,39º 18.002 N,75º 19.172 W,0.6,21,1.8,,,1023.9,53.7,0.0,0.0,14.5
2023-05-15T04:17:25-04:00,5.4,359,S60,2.2,299, ,39º 18.942 N,75º 20.951 W,0.6,18,1.8,,,1024.1,52.7,0.0,0.0,12.9
2023-05-15T04:56:50-04:00,5.6,357,S45,1.6,312, ,39º 19.652 N,75º 22.598 W,0.6,16,1.8,,,1024.3,52.0,0.0,0.0,11.7
2023-05-15T05:33:50-04:00,5.0,358,P35,1.1,34, ,39º 20.327 N,75º 23.558 W,0.5,15,1.7,,,1024.5,52.4,0.0,0.0,10.6
2023-05-15T05:42:18-04:00,4.9,359,S55,1.7,304, ,39º 20.458 N,75º 23.446 W,0.5,15,1.7,,,1024.6,52.5,0.0,0.0,10.4
2023-05-15T07:23:59-04:00,3.2,17,S64,1.4,313, ,39º 22.114 N,75º 26.590 W,0.4,14,1.6,,,1025.3,54.1,0.0,0.0,7.9
2023-05-15T09:26:00-04:00,2.3,16,S79,1.2,297, ,39º 24.089 N,75º 29.351 W,0.3,15,1.7,,,1025.1,59.4,0.0,0.0,5.4
2023-05-15T09:36:27-04:00,2.2,6,P20,0.8,26, ,39º 24.187 N,75º 29.597 W,0.2,16,1.7,,,1025.1,59.9,0.0,0.0,5.2
2023-05-15T09:55:49-04:00,2.1,275,P76,1.3,351, ,39º 24.422 N,75º 29.449 W,0.2,13,1.7,,,1025.0,61.0,0.0,0.0,4.7
2023-05-15T10:07:31-04:00,2.1,245,P77,1.4,322, ,39º 24.678 N,75º 29.504 W,0.2,14,1.7,,,1024.9,61.6,0.0,0.0,4.5
2023-05-15T11:44:31-04:00,3.4,236,P100,2.2,336, ,39º 26.443 N,75º 31.289 W,0.1,6,1.8,,,1023.9,65.7,0.0,0.0,4.4
2023-05-15T11:51:15-04:00,3.7,237,P89,2.6,326, ,39º 26.671 N,75º 31.423 W,0.1,6,1.9,,,1023.8,65.9,0.0,0.0,4.5
2023-05-15T12:18:46-04:00,4.9,241,P90,3.3,331, ,39º 27.658 N,75º 32.280 W,0.1,0,1.9,,,1023.4,66.6,0.0,0.0,5.1
