,Route,Start Time,Start,End
,PWG,2023-05-14T16:00:00-04:00,38 47.760N 75 6.882W,39 33.558N 75 33.534W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-14T16:00:00-04:00,11.2,94,S118,6.3,336, ,38º 47.760 N,75º 06.882 W,2.5,73,4.6,,,1021.5,63.1,0.0,0.0,11.2
2023-05-14T16:03:12-04:00,11.3,95,S101,7.0,354, ,38º 48.065 N,75º 07.060 W,2.5,73,4.6,0.1,239,1021.4,63.2,0.0,0.0,11.3
2023-05-14T16:56:03-04:00,11.1,115,S127,5.8,348, ,38º 54.027 N,75º 07.874 W,1.8,89,4.2,0.0,236,1021.3,63.2,0.0,0.0,11.1
2023-05-14T19:08:21-04:00,10.3,149,P148,4.7,297, ,39º 05.732 N,75º 11.178 W,1.2,133,2.7,0.0,238,1022.2,62.7,0.0,0.0,12.7
2023-05-14T19:37:24-04:00,10.9,147,S153,4.6,354, ,39º 06.757 N,75º 13.766 W,1.2,135,2.6,0.0,236,1022.5,62.6,0.0,0.0,15.0
2023-05-14T20:48:34-04:00,9.7,156,P151,4.2,306, ,39º 11.949 N,75º 14.417 W,1.0,140,2.4,0.0,243,1023.1,60.9,0.0,0.0,19.7
2023-05-14T22:48:35-04:00,6.1,203,P117,3.4,322, ,39º 16.387 N,75º 22.214 W,0.5,135,2.2,0.0,198,1024.5,57.8,0.0,0.0,21.6
2023-05-15T00:28:03-04:00,6.8,245,P88,4.4,333, ,39º 21.194 N,75º 27.382 W,0.4,65,1.9,,,1025.0,55.6,0.0,0.0,18.4
2023-05-15T01:07:58-04:00,6.6,254,P83,4.0,337, ,39º 23.811 N,75º 29.094 W,0.4,29,1.7,,,1025.1,54.4,0.0,0.0,17.1
2023-05-15T01:51:51-04:00,4.1,316,P58,1.6,14, ,39º 26.510 N,75º 30.570 W,0.4,17,1.6,,,1025.2,52.8,0.0,0.0,15.9
2023-05-15T01:55:50-04:00,4.1,320,S16,1.0,304, ,39º 26.614 N,75º 30.536 W,0.4,16,1.6,,,1025.2,52.6,0.0,0.0,15.8
2023-05-15T03:10:18-04:00,5.2,356,S38,1.5,318, ,39º 27.331 N,75º 31.901 W,0.4,14,1.6,,,1025.4,51.4,0.0,0.0,13.3
2023-05-15T03:46:24-04:00,5.7,3,P31,1.1,34, ,39º 27.984 N,75º 32.660 W,0.4,12,1.6,,,1025.5,50.8,0.0,0.0,12.1
2023-05-15T03:54:41-04:00,5.8,3,S42,1.6,321, ,39º 28.115 N,75º 32.547 W,0.4,12,1.6,,,1025.5,50.7,0.0,0.0,11.8
2023-05-15T04:04:15-04:00,5.9,4,P61,2.2,66, ,39º 28.317 N,75º 32.759 W,0.4,12,1.6,,,1025.5,50.5,0.0,0.0,11.5
2023-05-15T04:06:05-04:00,5.9,4,S43,1.6,321, ,39º 28.345 N,75º 32.680 W,0.4,12,1.6,,,1025.5,50.5,0.0,0.0,11.4
2023-05-15T04:16:05-04:00,6.0,5,P61,2.4,66, ,39º 28.546 N,75º 32.893 W,0.4,12,1.6,,,1025.5,50.3,0.0,0.0,11.1
2023-05-15T04:19:28-04:00,6.1,5,S44,1.7,321, ,39º 28.601 N,75º 32.735 W,0.4,12,1.6,,,1025.5,50.3,0.0,0.0,11.0
2023-05-15T04:28:24-04:00,6.1,5,P38,1.5,43, ,39º 28.802 N,75º 32.947 W,0.4,13,1.6,,,1025.6,50.1,0.0,0.0,10.7
2023-05-15T04:37:07-04:00,6.2,6,S45,1.7,321, ,39º 28.961 N,75º 32.755 W,0.4,13,1.6,,,1025.6,50.0,0.0,0.0,10.4
2023-05-15T04:46:28-04:00,6.2,5,P60,2.5,66, ,39º 29.162 N,75º 32.967 W,0.4,13,1.6,,,1025.6,49.8,0.0,0.0,10.0
2023-05-15T04:51:19-04:00,6.3,6,S52,2.1,314, ,39º 29.245 N,75º 32.731 W,0.4,13,1.6,,,1025.6,49.8,0.0,0.0,9.9
2023-05-15T04:56:32-04:00,6.3,6,P60,2.4,66, ,39º 29.371 N,75º 32.898 W,0.4,13,1.6,,,1025.6,49.7,0.0,0.0,9.7
2023-05-15T04:59:50-04:00,6.3,6,S52,2.1,314, ,39º 29.426 N,75º 32.741 W,0.4,13,1.6,,,1025.6,49.6,0.0,0.0,9.6
2023-05-15T05:05:01-04:00,6.3,6,P60,2.5,66, ,39º 29.551 N,75º 32.908 W,0.4,10,1.6,,,1025.7,49.7,0.0,0.0,9.5
2023-05-15T05:09:54-04:00,6.3,7,S46,1.9,321, ,39º 29.633 N,75º 32.672 W,0.4,10,1.6,,,1025.7,49.9,0.0,0.0,9.3
2023-05-15T05:18:13-04:00,6.3,7,P41,1.6,48, ,39º 29.834 N,75º 32.884 W,0.4,10,1.6,,,1025.8,50.1,0.0,0.0,9.1
2023-05-15T05:28:27-04:00,6.3,9,P6,1.1,14, ,39º 30.021 N,75º 32.614 W,0.3,9,1.6,,,1025.8,50.4,0.0,0.0,8.8
2023-05-15T05:39:42-04:00,6.2,10,P55,2.3,66, ,39º 30.229 N,75º 32.545 W,0.3,9,1.6,,,1025.9,50.8,0.0,0.0,8.5
2023-05-15T05:46:45-04:00,6.2,11,S50,2.0,321, ,39º 30.339 N,75º 32.230 W,0.3,9,1.6,,,1026.0,51.1,0.0,0.0,8.4
2023-05-15T05:54:25-04:00,6.2,12,P54,2.2,66, ,39º 30.541 N,75º 32.441 W,0.3,9,1.6,,,1026.0,51.3,0.0,0.0,8.2
2023-05-15T06:00:00-04:00,6.2,13,S43,1.8,329, ,39º 30.623 N,75º 32.205 W,0.3,9,1.6,,,1026.1,51.5,0.0,0.0,8.0
2023-05-15T06:19:41-04:00,6.2,15,P51,2.0,66, ,39º 31.130 N,75º 32.595 W,0.3,10,1.5,,,1026.2,52.1,0.0,0.0,7.5
2023-05-15T06:25:40-04:00,6.2,16,S40,1.6,336, ,39º 31.213 N,75º 32.359 W,0.3,10,1.5,,,1026.2,52.3,0.0,0.0,7.3
2023-05-15T06:34:56-04:00,6.2,17,P49,1.9,66, ,39º 31.442 N,75º 32.492 W,0.3,10,1.5,,,1026.3,52.6,0.0,0.0,7.1
2023-05-15T06:41:09-04:00,6.2,18,S42,1.7,336, ,39º 31.524 N,75º 32.255 W,0.3,10,1.5,,,1026.3,52.8,0.0,0.0,6.9
2023-05-15T06:52:52-04:00,6.2,19,P47,1.8,66, ,39º 31.829 N,75º 32.433 W,0.3,11,1.5,,,1026.4,53.2,0.0,0.0,6.6
