,Route,Start Time,Start,End
,ECMWF,2023-05-15T16:00:00-04:00,38 47.760N 75 6.882W,39 33.558N 75 33.534W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-15T16:00:00-04:00,9.0,142,S145,4.1,358, ,38º 47.760 N,75º 06.882 W,1.7,104,4.8,,,1021.8,63.0,0.0,0.0,14.4
2023-05-15T16:02:37-04:00,9.1,142,P135,4.0,278, ,38º 47.940 N,75º 06.892 W,1.7,104,4.8,,,1021.7,62.9,0.0,0.0,14.4
2023-05-15T16:04:59-04:00,9.0,143,S128,5.0,14, ,38º 47.961 N,75º 07.094 W,1.7,104,4.7,,,1021.7,63.1,0.0,0.0,14.4
2023-05-15T16:31:52-04:00,10.8,147,S140,5.3,8, ,38º 50.143 N,75º 06.372 W,1.6,108,4.5,0.0,68,1021.3,61.9,0.0,0.0,15.4
2023-05-15T16:59:43-04:00,12.8,150,S146,5.8,4, ,38º 52.678 N,75º 05.952 W,1.5,112,4.2,0.0,63,1020.8,60.8,0.0,0.0,16.9
2023-05-15T18:03:55-04:00,11.9,173,P151,5.2,322, ,38º 58.595 N,75º 05.318 W,1.3,138,3.3,0.0,63,1020.2,61.0,0.0,0.0,15.1
2023-05-15T19:26:38-04:00,9.8,221,P112,5.9,334, ,39º 04.498 N,75º 11.029 W,0.9,147,2.8,0.0,72,1019.3,65.0,0.0,0.0,11.9
2023-05-15T19:44:35-04:00,9.8,233,P95,6.3,329, ,39º 06.074 N,75º 12.041 W,0.9,149,2.7,0.0,31,1019.1,66.0,0.0,0.0,11.7
2023-05-15T21:41:04-04:00,8.6,223,P97,5.5,320, ,39º 16.093 N,75º 20.431 W,0.6,181,2.0,0.0,202,1018.4,64.7,0.0,0.0,11.2
2023-05-15T22:13:16-04:00,8.4,221,P102,5.2,324, ,39º 18.357 N,75º 22.886 W,0.5,191,1.9,,,1018.3,63.7,0.0,0.0,11.6
2023-05-15T23:23:00-04:00,7.8,220,P100,4.9,320, ,39º 23.073 N,75º 27.527 W,0.4,207,1.6,,,1017.8,61.7,0.0,0.0,11.7
2023-05-15T23:59:12-04:00,7.6,221,P102,4.7,323, ,39º 25.337 N,75º 29.983 W,0.3,212,1.6,,,1017.4,61.2,0.0,0.0,11.5
2023-05-16T00:41:57-04:00,7.3,222,P127,3.9,349, ,39º 28.012 N,75º 32.581 W,0.3,212,1.6,,,1016.9,60.4,0.0,0.0,11.7
2023-05-16T00:55:21-04:00,7.3,223,P132,3.7,354, ,39º 28.858 N,75º 32.789 W,0.3,212,1.6,,,1016.7,60.3,0.0,0.0,11.5
2023-05-16T02:09:01-04:00,6.5,224,P126,3.4,351, ,39º 33.253 N,75º 33.356 W,0.3,211,1.6,,,1015.8,58.8,0.0,0.0,10.8
2023-05-16T02:13:35-04:00,6.4,224,P73,3.4,297, ,39º 33.509 N,75º 33.410 W,0.3,211,1.6,,,1015.8,58.7,0.0,0.0,10.7
2023-05-16T02:15:28-04:00,6.5,224,,,, ,39º 33.557 N,75º 33.533 W,0.3,211,1.6,,,1015.7,58.7,0.0,0.0,10.7
