,Route,Start Time,Start,End
,GFS,2023-05-15T16:00:00-04:00,38 47.760N 75 6.882W,39 33.558N 75 33.534W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-15T16:00:00-04:00,8.3,188,P136,4.2,324, ,38º 47.760 N,75º 06.882 W,1.7,104,4.8,,,1022.2,64.6,0.0,0.0,9.0
2023-05-15T16:29:34-04:00,8.1,201,P135,4.1,336, ,38º 49.426 N,75º 08.420 W,1.4,106,4.4,0.0,84,1021.8,65.3,0.0,0.0,9.3
2023-05-15T17:00:15-04:00,7.9,210,P133,4.0,341, ,38º 51.335 N,75º 09.531 W,1.5,109,4.3,0.0,87,1021.4,65.8,0.0,0.0,9.6
2023-05-15T18:57:41-04:00,6.2,233,P103,3.9,336, ,38º 58.333 N,75º 12.371 W,1.1,126,3.6,0.0,129,1020.6,63.7,0.0,0.0,8.9
2023-05-15T19:47:04-04:00,7.0,238,P108,4.4,346, ,39º 01.387 N,75º 14.148 W,0.8,133,3.3,0.0,145,1020.2,63.3,0.0,0.0,8.8
2023-05-15T20:24:15-04:00,8.0,235,P101,5.0,338, ,39º 04.022 N,75º 15.019 W,0.8,144,3.0,0.0,117,1020.0,62.5,0.0,0.0,10.8
2023-05-15T22:24:31-04:00,10.1,226,P104,6.1,332, ,39º 14.077 N,75º 20.680 W,0.7,192,2.0,0.0,198,1019.3,58.7,0.0,0.0,21.1
2023-05-16T00:03:09-04:00,8.6,225,P97,5.5,323, ,39º 22.566 N,75º 27.137 W,0.4,209,1.7,,,1018.2,55.7,0.0,0.0,20.8
2023-05-16T01:19:53-04:00,7.9,229,P120,4.4,349, ,39º 28.012 N,75º 32.581 W,0.3,212,1.6,,,1017.2,54.8,0.0,0.0,20.6
2023-05-16T01:31:45-04:00,7.9,230,P125,4.2,354, ,39º 28.858 N,75º 32.789 W,0.3,212,1.6,,,1017.1,54.7,0.0,0.0,20.8
2023-05-16T02:34:30-04:00,7.2,232,P118,4.0,351, ,39º 33.253 N,75º 33.356 W,0.3,211,1.6,,,1016.4,54.1,0.0,0.0,20.5
2023-05-16T02:38:22-04:00,7.1,233,P65,3.3,297, ,39º 33.509 N,75º 33.410 W,0.3,211,1.6,,,1016.3,54.1,0.0,0.0,20.4
2023-05-16T02:40:20-04:00,7.1,233,,,, ,39º 33.557 N,75º 33.533 W,0.3,211,1.6,,,1016.3,54.0,0.0,0.0,20.3
