,Route,Start Time,Start,End
,PWE,2023-05-15T16:00:00-04:00,38 47.760N 75 6.882W,39 33.558N 75 33.534W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-15T16:00:00-04:00,10.2,152,P145,4.7,297, ,38º 47.760 N,75º 06.882 W,1.7,104,4.8,,,1021.8,63.0,0.0,0.0,14.4
2023-05-15T16:04:09-04:00,10.4,150,S153,4.7,356, ,38º 47.906 N,75º 07.251 W,1.7,104,4.7,,,1021.7,63.3,0.0,0.0,14.4
2023-05-15T16:42:12-04:00,14.1,147,S145,6.5,1, ,38º 51.226 N,75º 07.477 W,1.6,108,4.4,0.0,73,1021.1,62.3,0.0,0.0,15.2
2023-05-15T17:17:55-04:00,15.0,151,S144,7.0,8, ,38º 55.121 N,75º 07.373 W,1.4,119,3.8,0.0,72,1020.6,61.1,0.0,0.0,15.5
2023-05-15T18:10:08-04:00,16.0,161,S158,6.1,3, ,39º 00.968 N,75º 06.415 W,1.2,145,3.0,0.0,59,1020.1,61.2,0.0,0.0,16.0
2023-05-15T18:37:48-04:00,16.1,165,P150,6.6,315, ,39º 03.781 N,75º 06.251 W,1.1,152,2.8,0.0,37,1019.8,62.1,0.0,0.0,16.1
2023-05-15T19:11:15-04:00,15.3,171,P153,6.6,324, ,39º 06.387 N,75º 09.569 W,0.9,153,2.6,0.0,0,1019.4,64.2,0.0,0.0,15.3
2023-05-15T19:26:03-04:00,14.8,183,P136,7.3,319, ,39º 07.700 N,75º 10.807 W,0.9,156,2.5,0.0,18,1019.2,65.0,0.0,0.0,14.8
2023-05-15T19:47:39-04:00,13.0,206,P118,7.5,324, ,39º 09.686 N,75º 13.006 W,0.8,155,2.4,0.0,90,1019.0,66.3,0.0,0.0,13.0
2023-05-15T19:58:35-04:00,12.8,220,P90,8.5,310, ,39º 10.798 N,75º 14.032 W,0.8,154,2.4,0.0,0,1018.8,66.9,0.0,0.0,12.8
2023-05-15T20:19:26-04:00,11.4,237,P94,7.5,332, ,39º 12.716 N,75º 16.950 W,0.6,157,2.3,0.0,259,1018.7,66.9,0.0,0.0,11.4
2023-05-15T20:51:42-04:00,10.9,207,P96,7.0,303, ,39º 16.319 N,75º 19.520 W,0.6,167,2.1,0.0,225,1018.6,65.8,0.0,0.0,10.9
2023-05-15T20:55:58-04:00,11.0,207,P112,6.5,318, ,39º 16.591 N,75º 20.057 W,0.6,170,2.0,0.0,217,1018.6,65.7,0.0,0.0,11.0
2023-05-15T22:36:34-04:00,11.1,198,P123,6.0,321, ,39º 24.309 N,75º 28.720 W,0.3,208,1.6,,,1018.1,62.4,0.0,0.0,11.1
2023-05-15T23:17:12-04:00,11.2,199,P128,5.8,327, ,39º 27.456 N,75º 32.068 W,0.3,213,1.5,,,1017.8,61.2,0.0,0.0,11.7
2023-05-15T23:25:55-04:00,10.9,200,P153,4.7,353, ,39º 28.164 N,75º 32.670 W,0.3,212,1.5,,,1017.7,61.1,0.0,0.0,11.6
2023-05-16T00:04:17-04:00,10.4,202,P154,4.4,356, ,39º 31.117 N,75º 33.157 W,0.3,211,1.5,,,1017.3,60.5,0.0,0.0,11.0
2023-05-16T00:35:46-04:00,9.7,205,P131,4.9,336, ,39º 33.433 N,75º 33.366 W,0.3,212,1.6,,,1016.9,59.6,0.0,0.0,10.7
2023-05-16T00:36:46-04:00,9.7,205,P92,6.4,297, ,39º 33.509 N,75º 33.410 W,0.3,212,1.6,,,1016.8,59.6,0.0,0.0,10.7
2023-05-16T00:37:47-04:00,9.7,205,,,, ,39º 33.557 N,75º 33.533 W,0.3,212,1.6,,,1016.8,59.6,0.0,0.0,10.7
