,Route,Start Time,Start,End
,SPIRE,2023-05-15T16:00:00-04:00,38 47.760N 75 6.882W,39 33.558N 75 33.534W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-15T16:00:00-04:00,8.5,164,S149,3.7,14, ,38º 47.760 N,75º 06.882 W,1.7,104,4.8,,,1021.8,63.0,0.0,0.0,14.4
2023-05-15T16:01:43-04:00,8.6,164,P156,3.4,321, ,38º 47.863 N,75º 06.847 W,1.7,104,4.8,,,1021.7,62.9,0.0,0.0,14.4
2023-05-15T16:06:22-04:00,8.6,165,S142,4.0,23, ,38º 48.065 N,75º 07.060 W,1.7,105,4.7,0.0,73,1021.6,63.1,0.0,0.0,14.5
2023-05-15T16:17:25-04:00,9.1,166,S137,4.6,30, ,38º 48.743 N,75º 06.696 W,1.7,106,4.6,0.0,71,1021.5,62.6,0.0,0.0,14.8
2023-05-15T16:35:53-04:00,10.1,168,S143,4.9,25, ,38º 49.975 N,75º 05.801 W,1.7,109,4.5,0.0,65,1021.2,61.6,0.0,0.0,15.8
2023-05-15T17:00:52-04:00,11.3,170,S155,4.7,14, ,38º 51.830 N,75º 04.700 W,1.6,114,4.3,0.0,67,1020.8,60.7,0.0,0.0,17.1
2023-05-15T17:52:42-04:00,11.4,174,P153,4.8,327, ,38º 55.777 N,75º 03.394 W,1.4,129,3.8,0.0,74,1020.4,60.7,0.0,0.0,15.3
2023-05-15T18:29:50-04:00,9.0,183,P137,4.4,320, ,38º 58.256 N,75º 05.501 W,1.3,136,3.5,0.0,63,1020.0,61.8,0.0,0.0,13.6
2023-05-15T19:10:11-04:00,7.2,212,P112,4.2,324, ,39º 00.521 N,75º 07.956 W,1.1,144,3.3,0.0,90,1019.5,63.5,0.0,0.0,11.7
2023-05-15T19:41:48-04:00,6.8,230,P101,4.3,331, ,39º 02.312 N,75º 09.662 W,1.0,146,3.1,0.0,112,1019.2,65.0,0.0,0.0,10.6
2023-05-15T19:52:27-04:00,6.8,234,P102,4.5,336, ,39º 02.972 N,75º 10.141 W,1.0,147,3.1,0.0,101,1019.1,65.6,0.0,0.0,10.4
2023-05-15T21:41:29-04:00,9.8,226,P99,6.1,327, ,39º 11.368 N,75º 15.027 W,0.8,182,2.3,0.0,180,1018.5,65.1,0.0,0.0,13.1
2023-05-15T22:39:55-04:00,9.3,223,P99,5.9,321, ,39º 16.270 N,75º 19.397 W,0.7,197,2.0,0.0,217,1018.3,63.6,0.0,0.0,12.0
2023-05-15T23:09:41-04:00,9.1,221,P97,5.8,318, ,39º 18.562 N,75º 21.773 W,0.6,200,1.8,,,1018.0,62.7,0.0,0.0,12.1
2023-05-16T01:14:37-04:00,8.0,227,P98,5.1,325, ,39º 27.456 N,75º 32.068 W,0.3,213,1.6,,,1016.5,60.2,0.0,0.0,11.8
2023-05-16T01:22:41-04:00,7.9,227,P122,4.3,349, ,39º 28.012 N,75º 32.581 W,0.3,212,1.6,,,1016.4,60.0,0.0,0.0,11.7
2023-05-16T01:34:47-04:00,7.7,228,P127,4.1,354, ,39º 28.858 N,75º 32.789 W,0.3,212,1.6,,,1016.3,59.9,0.0,0.0,11.6
2023-05-16T02:40:49-04:00,7.1,231,P119,4.0,351, ,39º 33.253 N,75º 33.356 W,0.3,211,1.6,,,1015.5,58.7,0.0,0.0,10.8
2023-05-16T02:44:45-04:00,7.1,232,P65,3.3,297, ,39º 33.509 N,75º 33.410 W,0.3,211,1.6,,,1015.4,58.6,0.0,0.0,10.8
2023-05-16T02:46:43-04:00,7.1,232,,,, ,39º 33.557 N,75º 33.533 W,0.3,211,1.6,,,1015.4,58.6,0.0,0.0,10.8
