,Route,Start Time,Start,End
,UKMO,2023-05-15T16:00:00-04:00,38 47.760N 75 6.882W,39 33.558N 75 33.534W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-15T16:00:00-04:00,3.7,158,S143,1.7,14, ,38º 47.760 N,75º 06.882 W,1.7,104,4.8,,,1021.8,63.0,0.0,0.0,14.4
2023-05-15T16:03:44-04:00,3.8,159,P162,1.4,321, ,38º 47.863 N,75º 06.847 W,1.7,104,4.8,,,1021.7,62.9,0.0,0.0,14.5
2023-05-15T16:14:34-04:00,3.7,165,S128,2.0,36, ,38º 48.065 N,75º 07.060 W,1.7,106,4.7,0.0,73,1021.5,63.2,0.0,0.0,14.7
2023-05-15T16:39:35-04:00,4.5,170,S146,2.2,24, ,38º 48.750 N,75º 06.415 W,1.7,109,4.5,0.0,68,1021.1,62.7,0.0,0.0,15.6
2023-05-15T17:14:32-04:00,5.4,178,P157,2.6,334, ,38º 49.898 N,75º 05.756 W,1.7,113,4.4,0.0,63,1020.7,62.1,0.0,0.0,16.0
2023-05-15T18:59:43-04:00,5.7,246,P95,3.6,341, ,38º 54.604 N,75º 08.589 W,1.3,118,4.2,0.0,76,1019.8,63.8,0.0,0.0,10.1
2023-05-15T19:48:39-04:00,5.3,265,P91,3.5,356, ,38º 57.385 N,75º 09.829 W,1.2,128,3.9,0.0,94,1019.3,65.0,0.0,0.0,8.6
2023-05-15T21:40:07-04:00,4.9,235,P101,3.2,336, ,39º 03.277 N,75º 10.319 W,1.1,172,2.9,0.0,82,1018.7,64.0,0.0,0.0,13.9
2023-05-15T23:40:13-04:00,6.9,233,P93,4.5,327, ,39º 10.223 N,75º 14.360 W,1.0,200,2.3,0.0,90,1017.9,63.0,0.0,0.0,15.0
2023-05-16T00:19:43-04:00,6.9,227,P93,4.5,320, ,39º 12.702 N,75º 16.467 W,0.9,203,2.2,0.0,225,1017.4,62.8,0.0,0.0,14.3
2023-05-16T02:00:00-04:00,7.2,229,P92,4.7,321, ,39º 18.492 N,75º 22.633 W,0.8,209,2.0,,,1016.2,61.3,0.0,0.0,13.2
2023-05-16T04:24:49-04:00,5.9,227,P96,3.8,323, ,39º 26.574 N,75º 31.175 W,0.4,216,1.7,,,1014.5,59.3,0.0,0.0,12.0
2023-05-16T04:53:15-04:00,5.7,227,P122,3.1,349, ,39º 28.012 N,75º 32.581 W,0.4,214,1.6,,,1014.1,59.0,0.0,0.0,11.9
2023-05-16T05:16:46-04:00,5.5,227,P127,2.8,354, ,39º 29.190 N,75º 32.888 W,0.3,213,1.7,,,1013.9,59.3,0.0,0.0,11.6
2023-05-16T06:20:01-04:00,5.0,228,P131,2.5,360, ,39º 32.171 N,75º 33.296 W,0.3,212,1.6,,,1013.4,60.3,0.0,0.0,11.4
2023-05-16T06:39:28-04:00,4.9,229,P122,2.6,351, ,39º 32.996 N,75º 33.302 W,0.3,214,1.6,,,1013.3,60.7,0.0,0.0,11.6
2023-05-16T06:51:16-04:00,4.8,229,P68,2.3,297, ,39º 33.509 N,75º 33.410 W,0.3,214,1.6,,,1013.2,60.9,0.0,0.0,11.8
2023-05-16T06:54:02-04:00,4.8,229,,,, ,39º 33.557 N,75º 33.533 W,0.3,214,1.6,,,1013.2,61.0,0.0,0.0,11.8
