,Route,Start Time,Start,End
,ECMWF,2023-05-15T16:00:00-04:00,38 47.760N 75 6.882W,39 33.558N 75 33.534W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-15T16:00:00-04:00,9.1,135,S159,3.6,336, ,38º 47.760 N,75º 06.882 W,1.6,102,4.9,,,1021.4,63.0,0.0,0.0,14.3
2023-05-15T16:04:08-04:00,9.1,135,S132,4.6,4, ,38º 47.989 N,75º 07.015 W,1.6,103,4.9,,,1021.4,63.1,0.0,0.0,14.4
2023-05-15T16:07:49-04:00,9.3,136,S122,5.2,14, ,38º 48.273 N,75º 06.991 W,1.6,103,4.8,0.0,128,1021.3,63.0,0.0,0.0,14.4
2023-05-15T16:42:02-04:00,11.6,145,S138,5.7,7, ,38º 51.285 N,75º 05.995 W,1.4,108,4.6,0.0,123,1020.8,61.1,0.0,0.0,15.8
2023-05-15T16:54:22-04:00,12.4,147,S133,6.3,14, ,38º 52.449 N,75º 05.818 W,1.4,110,4.4,0.0,121,1020.6,60.6,0.0,0.0,16.5
2023-05-15T17:00:29-04:00,12.8,148,S141,6.1,7, ,38º 53.072 N,75º 05.612 W,1.4,112,4.3,0.0,118,1020.5,60.3,0.0,0.0,16.9
2023-05-15T17:29:41-04:00,13.0,161,S148,5.8,13, ,38º 55.996 N,75º 05.133 W,1.3,125,3.8,0.0,111,1020.2,60.5,0.0,0.0,16.7
2023-05-15T18:00:16-04:00,12.9,179,P145,6.0,324, ,38º 58.877 N,75º 04.250 W,1.2,141,3.3,0.0,104,1019.9,61.1,0.0,0.0,16.5
2023-05-15T19:54:46-04:00,11.0,238,P90,7.2,329, ,39º 09.475 N,75º 14.399 W,0.8,157,2.4,0.0,146,1018.7,66.9,0.0,0.0,13.3
2023-05-15T20:43:32-04:00,10.1,231,P90,6.7,321, ,39º 14.487 N,75º 18.454 W,0.7,172,2.1,0.0,165,1018.5,66.1,0.0,0.0,12.5
2023-05-15T23:43:47-04:00,8.3,224,P124,4.5,348, ,39º 27.935 N,75º 32.537 W,0.3,214,1.5,,,1017.5,61.7,0.0,0.0,13.2
2023-05-16T00:05:34-04:00,8.1,225,P132,4.1,357, ,39º 29.523 N,75º 32.987 W,0.3,212,1.6,,,1017.2,61.5,0.0,0.0,12.9
2023-05-16T00:48:47-04:00,7.4,228,P123,4.0,351, ,39º 32.483 N,75º 33.193 W,0.3,214,1.6,,,1016.7,60.5,0.0,0.0,12.2
2023-05-16T01:04:18-04:00,7.2,229,P68,3.5,297, ,39º 33.509 N,75º 33.410 W,0.3,213,1.6,,,1016.5,60.2,0.0,0.0,12.1
2023-05-16T01:06:07-04:00,7.2,229,,,, ,39º 33.557 N,75º 33.533 W,0.3,213,1.6,,,1016.5,60.2,0.0,0.0,12.1
