,Route,Start Time,Start,End
,GFS,2023-05-15T16:00:00-04:00,38 47.760N 75 6.882W,39 33.558N 75 33.534W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-15T16:00:00-04:00,9.1,166,S151,3.9,14, ,38º 47.760 N,75º 06.882 W,1.6,102,4.9,,,1021.5,64.7,0.0,0.0,10.4
2023-05-15T16:01:38-04:00,9.2,166,P155,3.6,321, ,38º 47.863 N,75º 06.847 W,1.6,102,4.9,,,1021.5,64.7,0.0,0.0,10.5
2023-05-15T16:05:55-04:00,9.3,167,S143,4.6,23, ,38º 48.065 N,75º 07.060 W,1.6,102,4.9,0.0,128,1021.5,64.8,0.0,0.0,10.5
2023-05-15T16:36:51-04:00,10.8,166,S151,4.9,14, ,38º 50.231 N,75º 05.855 W,1.5,107,4.6,0.0,123,1021.1,63.7,0.0,0.0,11.8
2023-05-15T17:00:36-04:00,11.8,166,S157,4.8,9, ,38º 52.101 N,75º 05.237 W,1.4,111,4.4,0.0,115,1020.8,63.0,0.0,0.0,12.6
2023-05-15T17:39:10-04:00,10.8,171,P153,4.6,324, ,38º 55.156 N,75º 04.645 W,1.3,123,4.0,0.0,108,1020.5,62.2,0.0,0.0,11.3
2023-05-15T18:18:35-04:00,9.1,179,P139,4.3,319, ,38º 57.580 N,75º 06.908 W,1.2,132,3.6,0.0,105,1020.2,62.4,0.0,0.0,9.4
2023-05-15T18:59:53-04:00,7.7,196,P129,4.0,324, ,38º 59.817 N,75º 09.442 W,1.1,139,3.2,0.0,131,1019.8,62.9,0.0,0.0,7.8
2023-05-15T19:45:54-04:00,6.4,225,P106,3.9,331, ,39º 02.317 N,75º 11.750 W,0.9,144,3.0,0.0,146,1019.4,63.5,0.0,0.0,6.5
2023-05-15T20:13:21-04:00,6.2,231,P105,3.9,336, ,39º 03.865 N,75º 12.841 W,0.9,152,2.9,0.0,139,1019.2,63.2,0.0,0.0,7.1
2023-05-15T22:08:29-04:00,8.0,217,P110,4.7,328, ,39º 11.040 N,75º 17.017 W,0.9,195,2.2,0.0,160,1018.7,60.5,0.0,0.0,15.4
2023-05-15T22:38:26-04:00,8.4,216,P115,4.8,331, ,39º 13.039 N,75º 18.654 W,0.9,202,2.1,0.0,167,1018.5,59.9,0.0,0.0,17.6
2023-05-15T23:00:25-04:00,8.7,216,P109,5.1,325, ,39º 14.587 N,75º 19.744 W,0.9,208,2.1,0.0,167,1018.4,59.6,0.0,0.0,19.2
2023-05-16T01:27:46-04:00,7.0,225,P93,4.6,319, ,39º 24.337 N,75º 28.642 W,0.4,218,1.7,,,1016.5,56.7,0.0,0.0,20.0
2023-05-16T02:06:53-04:00,6.6,228,P95,4.3,323, ,39º 26.574 N,75º 31.175 W,0.4,218,1.7,,,1016.0,56.2,0.0,0.0,20.3
2023-05-16T02:32:17-04:00,6.3,229,P120,3.5,349, ,39º 28.012 N,75º 32.581 W,0.4,218,1.7,,,1015.7,55.9,0.0,0.0,19.5
2023-05-16T02:57:39-04:00,6.0,231,P124,3.2,356, ,39º 29.447 N,75º 32.942 W,0.4,215,1.7,,,1015.5,55.6,0.0,0.0,18.6
2023-05-16T04:15:27-04:00,5.3,238,P59,2.1,297, ,39º 33.509 N,75º 33.410 W,0.4,217,1.7,,,1014.8,55.0,0.0,0.0,15.6
2023-05-16T04:18:26-04:00,5.3,239,,,, ,39º 33.557 N,75º 33.533 W,0.4,217,1.7,,,1014.7,54.9,0.0,0.0,15.5
