,Route,Start Time,Start,End
,PWE,2023-05-15T16:00:00-04:00,38 47.760N 75 6.882W,39 33.558N 75 33.534W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-15T16:00:00-04:00,13.4,144,S129,6.9,14, ,38º 47.760 N,75º 06.882 W,1.6,102,4.9,,,1021.4,63.0,0.0,0.0,14.3
2023-05-15T16:00:56-04:00,13.6,145,P152,5.2,297, ,38º 47.863 N,75º 06.847 W,1.6,102,4.9,,,1021.4,63.0,0.0,0.0,14.3
2023-05-15T16:03:24-04:00,13.7,144,S135,6.8,9, ,38º 47.961 N,75º 07.094 W,1.6,102,4.9,,,1021.4,63.2,0.0,0.0,14.4
2023-05-15T16:18:23-04:00,15.2,146,S150,6.5,356, ,38º 49.645 N,75º 06.746 W,1.5,104,4.7,0.0,123,1021.1,62.2,0.0,0.0,15.2
2023-05-15T16:45:23-04:00,16.8,151,S149,6.6,2, ,38º 52.577 N,75º 07.030 W,1.3,107,4.4,0.0,123,1020.7,61.1,0.0,0.0,16.8
2023-05-15T17:41:16-04:00,17.5,163,S157,6.1,6, ,38º 58.564 N,75º 06.722 W,1.2,134,3.3,0.0,103,1020.0,60.8,0.0,0.0,17.5
2023-05-15T18:04:51-04:00,18.7,169,P151,6.6,320, ,39º 00.968 N,75º 06.415 W,1.1,144,3.0,0.0,90,1019.8,61.4,0.0,0.0,18.7
2023-05-15T18:31:43-04:00,16.2,188,P135,7.9,323, ,39º 03.232 N,75º 08.870 W,1.0,147,2.8,0.0,127,1019.5,62.9,0.0,0.0,16.2
2023-05-15T18:52:42-04:00,14.3,217,P119,8.1,336, ,39º 05.427 N,75º 11.000 W,0.9,150,2.6,0.0,153,1019.3,64.0,0.0,0.0,15.4
2023-05-15T18:57:39-04:00,14.6,220,P102,9.1,321, ,39º 06.038 N,75º 11.356 W,0.9,152,2.5,0.0,153,1019.2,64.2,0.0,0.0,15.4
2023-05-15T19:17:06-04:00,14.4,224,P104,8.8,328, ,39º 08.330 N,75º 13.733 W,0.9,152,2.4,0.0,141,1019.0,65.3,0.0,0.0,14.4
2023-05-15T19:56:59-04:00,13.6,213,P122,7.5,336, ,39º 13.141 N,75º 17.576 W,0.7,155,2.2,0.0,163,1018.6,67.2,0.0,0.0,13.6
2023-05-15T20:16:30-04:00,14.5,208,P117,8.1,326, ,39º 15.355 N,75º 18.863 W,0.6,162,2.1,0.0,165,1018.5,66.6,0.0,0.0,14.5
2023-05-15T20:44:55-04:00,14.8,204,P114,8.5,318, ,39º 18.514 N,75º 21.650 W,0.6,167,2.0,,,1018.4,65.6,0.0,0.0,14.8
2023-05-15T22:12:44-04:00,8.8,209,P112,5.1,321, ,39º 27.331 N,75º 31.901 W,0.3,205,1.6,,,1018.1,63.3,0.0,0.0,12.3
2023-05-15T22:15:46-04:00,8.7,209,P116,5.0,325, ,39º 27.532 N,75º 32.113 W,0.3,207,1.6,,,1018.0,63.2,0.0,0.0,12.4
2023-05-15T22:23:59-04:00,8.5,208,P143,4.0,352, ,39º 28.088 N,75º 32.626 W,0.3,208,1.6,,,1018.0,63.0,0.0,0.0,12.5
2023-05-15T23:08:55-04:00,8.0,207,P150,3.5,357, ,39º 31.013 N,75º 33.191 W,0.3,212,1.5,,,1017.8,61.9,0.0,0.0,12.7
2023-05-15T23:47:19-04:00,7.8,211,P140,3.7,351, ,39º 33.253 N,75º 33.356 W,0.3,213,1.5,,,1017.3,61.0,0.0,0.0,12.1
2023-05-15T23:51:31-04:00,7.8,211,P86,4.9,297, ,39º 33.509 N,75º 33.410 W,0.3,213,1.5,,,1017.3,60.9,0.0,0.0,12.1
2023-05-15T23:52:49-04:00,7.8,211,,,, ,39º 33.557 N,75º 33.533 W,0.3,213,1.5,,,1017.3,60.9,0.0,0.0,12.1
