,Route,Start Time,Start,End
,PWG,2023-05-15T16:00:00-04:00,38 47.760N 75 6.882W,39 33.558N 75 33.534W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-15T16:00:00-04:00,13.2,152,S154,5.6,358, ,38º 47.760 N,75º 06.882 W,1.6,102,4.9,,,1021.5,64.7,0.0,0.0,13.2
2023-05-15T16:01:57-04:00,13.5,151,P146,5.5,297, ,38º 47.940 N,75º 06.892 W,1.6,102,4.9,,,1021.5,64.7,0.0,0.0,13.5
2023-05-15T16:04:18-04:00,13.5,151,S147,6.3,4, ,38º 48.037 N,75º 07.138 W,1.6,102,4.9,0.0,128,1021.5,64.8,0.0,0.0,13.5
2023-05-15T16:15:14-04:00,15.1,148,S148,6.7,360, ,38º 49.174 N,75º 07.041 W,1.5,104,4.8,0.0,125,1021.3,64.5,0.0,0.0,15.1
2023-05-15T17:09:51-04:00,18.0,155,S151,6.6,5, ,38º 55.127 N,75º 07.092 W,1.3,117,3.9,0.0,118,1020.7,62.7,0.0,0.0,18.0
2023-05-15T18:35:15-04:00,18.8,169,S157,6.2,12, ,39º 03.961 N,75º 06.261 W,1.0,154,2.7,0.0,63,1020.0,62.1,0.0,0.0,18.8
2023-05-15T18:49:25-04:00,19.0,172,P148,6.7,320, ,39º 05.388 N,75º 05.858 W,1.0,160,2.6,0.0,45,1019.8,62.0,0.0,0.0,19.0
2023-05-15T19:19:55-04:00,18.2,174,P150,6.6,324, ,39º 07.979 N,75º 08.694 W,0.9,164,2.4,0.0,135,1019.6,61.9,0.0,0.0,18.2
2023-05-15T20:00:08-04:00,15.0,181,P136,7.3,318, ,39º 11.590 N,75º 12.028 W,0.8,164,2.3,0.0,166,1019.2,61.5,0.0,0.0,15.0
2023-05-15T20:24:37-04:00,12.5,199,P115,7.2,314, ,39º 13.799 N,75º 14.641 W,0.8,169,2.2,0.0,164,1019.1,61.3,0.0,0.0,12.5
2023-05-15T20:54:51-04:00,12.0,214,P110,7.3,324, ,39º 16.302 N,75º 17.993 W,0.7,176,2.1,0.0,166,1018.9,60.6,0.0,0.0,12.0
2023-05-15T21:13:16-04:00,13.1,213,P102,8.1,315, ,39º 18.094 N,75º 19.700 W,0.6,180,2.0,,,1018.8,60.1,0.0,0.0,13.1
2023-05-15T21:28:28-04:00,14.2,213,P90,9.5,303, ,39º 19.546 N,75º 21.588 W,0.6,183,2.0,,,1018.7,59.8,0.0,0.0,14.2
2023-05-15T21:31:37-04:00,14.7,213,P96,9.5,309, ,39º 19.817 N,75º 22.125 W,0.6,184,2.0,,,1018.7,59.7,0.0,0.0,14.7
2023-05-15T21:39:56-04:00,16.1,212,P104,9.1,318, ,39º 20.638 N,75º 23.456 W,0.5,186,1.9,,,1018.6,59.5,0.0,0.0,16.1
2023-05-15T22:43:28-04:00,13.2,212,P114,7.6,327, ,39º 27.456 N,75º 32.068 W,0.3,210,1.5,,,1018.1,57.9,0.0,0.0,13.5
2023-05-15T22:50:10-04:00,13.3,212,P142,6.2,354, ,39º 28.164 N,75º 32.670 W,0.3,213,1.5,,,1018.1,57.7,0.0,0.0,13.4
2023-05-15T23:39:21-04:00,12.6,213,P137,6.1,351, ,39º 33.253 N,75º 33.356 W,0.3,213,1.5,,,1017.5,57.1,0.0,0.0,14.3
2023-05-15T23:41:54-04:00,12.5,214,P84,7.7,297, ,39º 33.509 N,75º 33.410 W,0.3,213,1.5,,,1017.5,57.0,0.0,0.0,14.4
2023-05-15T23:42:44-04:00,12.5,214,,,, ,39º 33.557 N,75º 33.533 W,0.3,213,1.5,,,1017.5,57.0,0.0,0.0,14.4
