,Route,Start Time,Start,End
,SPIRE,2023-05-15T16:00:00-04:00,38 47.760N 75 6.882W,39 33.558N 75 33.534W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-15T16:00:00-04:00,7.3,152,S155,3.1,358, ,38º 47.760 N,75º 06.882 W,1.6,102,4.9,,,1021.4,63.0,0.0,0.0,14.3
2023-05-15T16:03:31-04:00,7.4,153,P160,2.7,314, ,38º 47.940 N,75º 06.892 W,1.6,102,4.9,,,1021.4,63.0,0.0,0.0,14.4
2023-05-15T16:07:29-04:00,7.5,154,S131,4.2,24, ,38º 48.065 N,75º 07.060 W,1.6,103,4.9,0.0,128,1021.3,63.2,0.0,0.0,14.4
2023-05-15T16:49:58-04:00,10.0,163,S152,4.4,11, ,38º 50.806 N,75º 05.526 W,1.5,109,4.6,0.0,120,1020.7,61.3,0.0,0.0,16.2
2023-05-15T17:57:14-04:00,10.6,172,P150,4.6,321, ,38º 55.654 N,75º 04.271 W,1.3,127,3.9,0.0,105,1020.0,61.3,0.0,0.0,15.8
2023-05-15T19:00:04-04:00,8.2,215,P120,4.6,336, ,38º 59.461 N,75º 08.098 W,1.1,141,3.3,0.0,108,1019.3,63.8,0.0,0.0,14.6
2023-05-15T19:41:27-04:00,8.0,232,P97,5.1,329, ,39º 02.438 N,75º 09.830 W,1.0,149,3.0,0.0,130,1018.9,65.6,0.0,0.0,13.7
2023-05-15T19:48:21-04:00,8.0,235,P101,5.2,336, ,39º 02.944 N,75º 10.220 W,1.0,149,3.0,0.0,135,1018.8,65.9,0.0,0.0,13.6
2023-05-15T21:29:38-04:00,9.8,231,P95,6.4,326, ,39º 11.417 N,75º 15.151 W,0.9,187,2.3,0.0,159,1018.5,65.3,0.0,0.0,14.9
2023-05-15T22:25:46-04:00,9.5,226,P93,6.1,321, ,39º 16.346 N,75º 19.441 W,0.8,201,2.0,0.0,167,1018.3,63.8,0.0,0.0,13.4
2023-05-15T23:56:48-04:00,8.7,224,P94,5.7,317, ,39º 23.113 N,75º 26.887 W,0.5,212,1.7,,,1017.5,61.9,0.0,0.0,13.1
2023-05-16T01:00:08-04:00,7.6,231,P94,5.0,325, ,39º 27.456 N,75º 32.068 W,0.4,216,1.6,,,1016.7,60.9,0.0,0.0,13.1
2023-05-16T01:08:21-04:00,7.6,231,P118,4.2,349, ,39º 28.012 N,75º 32.581 W,0.4,217,1.6,,,1016.6,60.8,0.0,0.0,13.0
2023-05-16T01:32:48-04:00,7.4,233,P123,4.0,356, ,39º 29.703 N,75º 32.997 W,0.4,214,1.6,,,1016.3,60.6,0.0,0.0,12.6
2023-05-16T02:26:19-04:00,7.3,234,P117,4.1,351, ,39º 33.253 N,75º 33.356 W,0.4,214,1.7,,,1015.7,59.5,0.0,0.0,12.2
2023-05-16T02:30:06-04:00,7.3,234,P63,3.2,297, ,39º 33.509 N,75º 33.410 W,0.4,214,1.7,,,1015.6,59.4,0.0,0.0,12.2
2023-05-16T02:32:05-04:00,7.3,234,,,, ,39º 33.557 N,75º 33.533 W,0.4,214,1.7,,,1015.6,59.4,0.0,0.0,12.2
