,Route,Start Time,Start,End
,UKMO,2023-05-15T16:00:00-04:00,38 47.760N 75 6.882W,39 33.558N 75 33.534W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-15T16:00:00-04:00,5.7,200,P97,3.7,297, ,38º 47.760 N,75º 06.882 W,1.6,102,4.9,,,1021.4,63.0,0.0,0.0,14.3
2023-05-15T16:05:15-04:00,5.6,209,P107,3.5,315, ,38º 47.906 N,75º 07.251 W,1.6,102,4.9,,,1021.3,63.4,0.0,0.0,14.4
2023-05-15T16:28:13-04:00,5.7,243,P93,3.8,336, ,38º 48.858 N,75º 08.469 W,1.3,105,4.5,0.0,125,1020.9,64.3,0.0,0.0,14.5
2023-05-15T17:16:56-04:00,8.3,275,P74,4.4,349, ,38º 51.682 N,75º 10.112 W,1.4,109,4.4,0.0,122,1020.2,64.2,0.0,0.0,14.0
2023-05-15T18:37:56-04:00,7.5,275,P79,4.3,354, ,38º 57.527 N,75º 11.524 W,1.1,126,3.6,0.0,138,1019.5,64.1,0.0,0.0,13.6
2023-05-15T19:13:26-04:00,7.0,275,P83,4.2,358, ,39º 00.072 N,75º 11.866 W,0.9,136,3.2,0.0,155,1019.2,64.8,0.0,0.0,13.7
2023-05-15T19:56:08-04:00,5.1,275,P88,3.1,2, ,39º 03.059 N,75º 11.993 W,0.9,146,3.0,0.0,148,1018.8,66.4,0.0,0.0,13.3
2023-05-15T20:53:12-04:00,3.9,258,P87,2.5,345, ,39º 06.052 N,75º 11.839 W,1.0,174,2.6,0.0,129,1018.6,65.6,0.0,0.0,15.5
2023-05-15T21:03:26-04:00,3.9,252,P83,3.0,336, ,39º 06.462 N,75º 11.982 W,1.0,178,2.6,0.0,129,1018.6,65.5,0.0,0.0,15.7
2023-05-15T21:36:47-04:00,5.5,234,P93,3.8,328, ,39º 07.988 N,75º 12.871 W,1.1,189,2.4,0.0,135,1018.5,64.8,0.0,0.0,15.9
2023-05-15T21:59:30-04:00,6.5,228,P108,4.0,336, ,39º 09.203 N,75º 13.862 W,1.1,195,2.4,0.0,140,1018.5,64.4,0.0,0.0,16.0
2023-05-15T22:15:47-04:00,7.0,227,P100,4.4,327, ,39º 10.195 N,75º 14.440 W,1.1,198,2.3,0.0,150,1018.4,64.1,0.0,0.0,16.1
2023-05-15T22:38:44-04:00,7.3,226,P95,4.7,321, ,39º 11.612 N,75º 15.643 W,1.1,202,2.3,0.0,162,1018.4,63.7,0.0,0.0,16.2
2023-05-16T01:14:35-04:00,6.9,225,P99,4.4,324, ,39º 20.906 N,75º 25.318 W,0.6,212,1.9,,,1016.7,61.4,0.0,0.0,13.4
2023-05-16T01:55:46-04:00,6.8,225,P95,4.4,319, ,39º 23.329 N,75º 27.581 W,0.5,217,1.8,,,1016.2,60.8,0.0,0.0,12.7
2023-05-16T03:06:38-04:00,7.1,224,P102,4.4,327, ,39º 27.303 N,75º 31.979 W,0.4,218,1.7,,,1015.4,60.0,0.0,0.0,13.2
2023-05-16T03:18:14-04:00,7.1,224,P124,3.8,348, ,39º 28.012 N,75º 32.581 W,0.4,219,1.7,,,1015.2,59.8,0.0,0.0,13.1
2023-05-16T03:32:59-04:00,7.1,224,P131,3.7,354, ,39º 28.934 N,75º 32.834 W,0.4,218,1.7,,,1015.1,59.7,0.0,0.0,12.9
2023-05-16T04:49:05-04:00,6.1,227,P108,3.7,336, ,39º 33.433 N,75º 33.366 W,0.4,217,1.7,,,1014.2,58.7,0.0,0.0,12.6
2023-05-16T04:50:28-04:00,6.1,227,P70,3.1,297, ,39º 33.509 N,75º 33.410 W,0.4,217,1.7,,,1014.1,58.6,0.0,0.0,12.6
2023-05-16T04:52:34-04:00,6.1,228,,,, ,39º 33.557 N,75º 33.533 W,0.4,217,1.7,,,1014.1,58.6,0.0,0.0,12.6
