,Route,Start Time,Start,End
,PWE,2023-05-16T16:00:00-04:00,38 57.414N 76 26.352W,41 20.640N 71 24.696W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-16T16:00:00-04:00,12.4,161,S45,3.8,116, ,38º 57.414 N,76º 26.352 W,0.6,209,1.9,0.1,172,1006.0,71.0,0.0,0.0,12.4
2023-05-16T16:13:44-04:00,13.3,164,P53,4.7,217, ,38º 57.038 N,76º 25.349 W,0.6,210,1.9,0.1,170,1005.8,70.9,0.0,0.0,13.3
2023-05-16T16:26:21-04:00,15.0,166,S50,4.9,116, ,38º 56.252 N,76º 26.105 W,0.6,209,1.9,0.1,170,1005.6,71.0,0.0,0.0,15.0
2023-05-16T16:36:52-04:00,16.4,168,P48,4.8,217, ,38º 55.877 N,76º 25.103 W,0.6,211,1.8,0.1,170,1005.5,70.8,0.0,0.0,16.4
2023-05-16T17:01:15-04:00,18.4,165,S49,4.8,116, ,38º 54.307 N,76º 26.614 W,0.5,211,1.8,0.1,169,1005.1,71.0,0.0,0.0,18.4
2023-05-16T17:11:58-04:00,19.1,166,P44,4.6,209, ,38º 53.931 N,76º 25.611 W,0.6,212,1.8,0.1,171,1005.1,70.6,0.0,0.0,19.1
2023-05-16T18:19:52-04:00,25.5,162,S47,4.7,116, ,38º 49.392 N,76º 28.889 W,0.5,215,1.8,0.1,188,1004.8,69.7,0.0,0.0,25.5
2023-05-16T18:42:03-04:00,25.7,164,P45,4.6,208, ,38º 48.640 N,76º 26.885 W,0.5,217,1.8,0.1,191,1004.6,69.5,0.0,0.0,25.7
2023-05-16T19:57:33-04:00,16.3,164,S48,4.7,116, ,38º 43.555 N,76º 30.416 W,0.3,214,1.9,,,1004.2,68.1,0.2,0.0,16.3
2023-05-16T20:08:38-04:00,15.8,166,P47,4.8,213, ,38º 43.178 N,76º 29.414 W,0.3,216,1.8,0.1,189,1004.2,68.0,0.2,0.0,15.8
2023-05-16T20:40:26-04:00,13.5,170,S48,4.7,122, ,38º 41.063 N,76º 31.178 W,0.3,221,1.8,,,1004.4,67.3,0.2,0.0,13.5
2023-05-16T21:21:41-04:00,17.7,178,P43,4.4,221, ,38º 39.320 N,76º 27.671 W,0.3,228,1.7,0.1,181,1004.5,66.9,0.3,0.0,17.7
2023-05-16T21:54:40-04:00,14.0,184,S37,4.1,148, ,38º 37.511 N,76º 29.685 W,0.3,229,1.6,0.1,178,1004.6,66.1,0.3,0.0,14.0
2023-05-17T00:45:31-04:00,15.4,207,P53,5.5,260, ,38º 25.523 N,76º 19.940 W,0.4,249,1.8,0.2,164,1004.3,65.2,0.5,0.0,15.4
2023-05-17T00:56:22-04:00,14.2,209,S61,6.4,148, ,38º 25.352 N,76º 21.196 W,0.4,251,1.8,0.2,161,1004.2,64.8,0.5,0.0,14.2
2023-05-17T01:13:35-04:00,14.9,212,S53,5.5,159, ,38º 23.815 N,76º 19.946 W,0.4,250,1.8,0.2,160,1004.2,64.8,0.6,0.0,14.9
2023-05-17T03:50:21-04:00,12.6,238,S66,6.3,172, ,38º 08.926 N,76º 12.722 W,0.6,247,2.0,0.1,157,1004.3,65.0,0.1,0.0,12.6
2023-05-17T05:45:37-04:00,12.7,241,S70,6.5,172, ,37º 56.899 N,76º 10.534 W,0.8,276,2.2,0.2,173,1004.9,64.5,0.2,0.0,12.9
2023-05-17T07:39:29-04:00,12.2,250,S78,7.4,172, ,37º 44.873 N,76º 08.346 W,1.1,313,2.2,0.2,181,1006.1,64.2,0.1,0.0,16.8
2023-05-17T09:18:12-04:00,10.7,255,S84,6.3,172, ,37º 32.846 N,76º 06.158 W,1.8,345,2.6,0.3,176,1007.2,65.0,0.0,0.0,22.9
2023-05-17T11:29:15-04:00,7.0,255,S83,3.5,172, ,37º 20.820 N,76º 03.970 W,2.4,355,3.0,0.2,187,1008.5,66.0,0.0,0.0,24.6
2023-05-17T13:14:13-04:00,5.2,218,S71,2.4,147, ,37º 14.807 N,76º 02.876 W,2.4,356,3.2,0.1,187,1009.3,66.4,0.0,0.0,22.4
2023-05-17T14:00:25-04:00,4.0,190,P2,1.5,192, ,37º 13.270 N,76º 01.627 W,2.3,0,3.3,0.1,193,1009.7,66.6,0.0,0.0,20.3
2023-05-17T15:20:57-04:00,7.0,117,S58,2.7,59, ,37º 11.324 N,76º 02.136 W,2.2,4,3.3,0.1,209,1010.4,65.8,0.0,0.0,18.4
2023-05-17T15:31:29-04:00,7.3,113,P53,3.7,166, ,37º 11.563 N,76º 01.633 W,2.1,4,3.3,0.1,220,1010.5,65.7,0.0,0.0,18.0
2023-05-17T16:40:36-04:00,11.3,99,P60,4.8,159, ,37º 07.465 N,76º 00.393 W,1.9,17,3.4,0.1,226,1011.1,64.4,0.0,0.0,15.4
2023-05-17T17:36:45-04:00,12.6,113,S54,4.9,59, ,37º 03.299 N,75º 58.400 W,2.1,41,3.7,0.1,208,1011.7,63.1,0.0,0.0,15.0
2023-05-17T19:14:04-04:00,10.6,148,S82,6.5,66, ,37º 07.835 N,75º 48.848 W,2.0,70,4.0,0.1,218,1012.8,62.0,0.0,0.0,15.5
2023-05-17T19:44:19-04:00,10.1,161,S88,6.8,74, ,37º 09.198 N,75º 45.079 W,2.4,70,4.3,0.2,197,1013.1,61.8,0.0,0.0,15.3
2023-05-17T20:35:42-04:00,12.4,142,S82,7.6,59, ,37º 10.833 N,75º 38.046 W,2.9,68,4.6,0.3,188,1013.8,61.6,0.0,0.0,14.9
