,Route,Start Time,Start,End
,ECMWF,2023-05-16T16:00:00-04:00,38 57.414N 76 26.352W,41 20.640N 71 24.696W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-16T16:00:00-04:00,11.2,194,P45,3.3,239, ,38º 57.414 N,76º 26.352 W,0.8,180,2.0,0.0,178,1005.6,72.0,0.0,0.0,15.6
2023-05-16T16:08:16-04:00,10.9,197,S49,3.8,148, ,38º 57.175 N,76º 26.854 W,0.8,181,2.0,0.0,178,1005.5,72.2,0.0,0.0,15.4
2023-05-16T16:31:13-04:00,11.5,202,P58,4.5,260, ,38º 55.945 N,76º 25.855 W,0.8,183,2.0,0.0,178,1005.2,71.8,0.0,0.0,15.2
2023-05-16T16:44:24-04:00,10.8,209,S61,4.7,148, ,38º 55.775 N,76º 27.110 W,0.8,183,2.0,0.0,178,1005.0,72.2,0.0,0.0,14.9
2023-05-16T16:58:20-04:00,11.2,212,S47,3.6,165, ,38º 54.853 N,76º 26.361 W,0.8,184,2.0,0.0,176,1004.8,72.0,0.0,0.0,14.8
2023-05-16T17:23:40-04:00,11.2,218,S48,3.9,170, ,38º 53.385 N,76º 25.864 W,0.7,190,2.0,0.1,178,1004.7,71.4,0.0,0.0,14.2
2023-05-16T19:41:51-04:00,8.0,249,S75,4.4,174, ,38º 43.790 N,76º 23.639 W,0.4,211,1.8,0.1,187,1004.0,69.6,0.0,0.0,9.4
2023-05-16T22:48:31-04:00,6.6,276,S118,3.8,158, ,38º 29.381 N,76º 21.683 W,0.3,254,1.8,0.1,171,1004.7,67.1,1.0,0.1,8.4
2023-05-17T01:52:17-04:00,8.1,284,S137,4.1,147, ,38º 18.043 N,76º 15.952 W,0.4,243,1.9,0.2,157,1003.6,65.5,0.3,0.0,10.8
2023-05-17T04:16:43-04:00,11.7,302,S140,5.7,162, ,38º 09.128 N,76º 08.706 W,0.8,286,1.9,0.1,150,1003.8,65.1,0.5,0.0,15.3
2023-05-17T04:36:24-04:00,12.4,303,S129,6.7,175, ,38º 07.353 N,76º 07.959 W,0.9,291,2.0,0.1,155,1003.8,65.0,0.3,0.0,16.1
2023-05-17T07:19:40-04:00,14.6,322,S133,7.6,190, ,37º 49.223 N,76º 05.765 W,1.5,321,2.5,0.2,175,1005.5,64.1,0.0,0.0,19.2
2023-05-17T09:08:05-04:00,16.3,334,S144,7.0,190, ,37º 35.960 N,76º 08.573 W,1.8,333,2.7,0.2,174,1006.8,64.6,0.0,0.0,21.4
2023-05-17T11:07:26-04:00,15.9,350,S150,6.8,200, ,37º 22.698 N,76º 11.381 W,1.9,347,2.8,0.2,187,1008.0,66.6,0.0,0.0,21.0
2023-05-17T11:33:12-04:00,16.0,353,P154,6.5,147, ,37º 19.967 N,76º 12.646 W,2.0,350,2.9,0.1,192,1008.2,66.6,0.0,0.0,21.3
2023-05-17T12:30:44-04:00,17.6,355,P148,6.8,143, ,37º 14.742 N,76º 08.398 W,2.5,352,3.2,0.1,186,1008.7,65.9,0.0,0.0,23.5
2023-05-17T14:22:20-04:00,15.1,356,P119,8.4,115, ,37º 04.768 N,75º 58.897 W,2.3,354,3.5,0.1,174,1009.4,65.9,0.0,0.0,19.8
2023-05-17T14:28:38-04:00,14.5,357,P84,8.5,81, ,37º 04.391 N,75º 57.895 W,2.2,355,3.5,0.1,174,1009.4,65.9,0.0,0.0,19.0
2023-05-17T15:45:05-04:00,9.8,40,P68,4.6,108, ,37º 05.683 N,75º 47.099 W,1.8,60,4.1,0.2,172,1009.8,64.7,0.0,0.0,12.7
2023-05-17T16:23:31-04:00,9.2,58,S48,3.4,10, ,37º 04.793 N,75º 43.588 W,2.0,71,4.3,0.3,178,1010.1,64.0,0.0,0.0,12.0
2023-05-17T17:48:05-04:00,9.3,72,S52,3.6,20, ,37º 09.538 N,75º 42.568 W,1.9,80,4.3,0.3,173,1011.0,63.0,0.0,0.0,12.1
2023-05-17T20:02:18-04:00,9.9,85,S56,3.9,30, ,37º 17.730 N,75º 38.774 W,1.9,86,4.3,0.2,175,1012.9,62.6,0.0,0.0,13.0
2023-05-17T22:21:46-04:00,10.2,82,S58,4.0,24, ,37º 25.477 N,75º 33.226 W,2.1,87,4.6,0.2,200,1015.2,62.5,0.0,0.0,13.4
2023-05-18T02:17:20-04:00,12.2,73,P64,5.2,137, ,37º 39.538 N,75º 25.145 W,2.3,84,4.5,0.3,216,1017.3,60.8,0.0,0.0,16.0
2023-05-18T02:47:26-04:00,13.4,72,S52,4.5,20, ,37º 37.625 N,75º 22.894 W,2.7,80,4.5,0.3,215,1017.6,61.0,0.0,0.0,17.6
2023-05-18T03:49:00-04:00,14.8,72,S55,5.0,17, ,37º 41.994 N,75º 20.870 W,2.8,80,4.4,0.3,226,1018.3,60.7,0.0,0.0,19.3
2023-05-18T04:54:11-04:00,15.7,69,S43,4.0,25, ,37º 47.216 N,75º 18.844 W,2.8,79,4.2,0.3,217,1019.0,60.5,0.0,0.0,20.3
2023-05-18T05:43:55-04:00,15.4,64,P56,5.1,121, ,37º 50.186 N,75º 17.077 W,2.8,77,4.2,0.4,214,1019.8,59.8,0.0,0.0,20.0
2023-05-18T06:08:12-04:00,15.5,65,S57,5.3,8, ,37º 49.126 N,75º 14.822 W,3.1,74,4.3,0.5,216,1020.2,59.7,0.0,0.0,20.2
2023-05-18T07:28:59-04:00,15.0,67,S52,4.9,15, ,37º 56.125 N,75º 13.542 W,2.9,72,4.2,0.4,210,1021.5,59.0,0.0,0.0,19.7
2023-05-18T09:50:18-04:00,10.9,69,S54,3.6,15, ,38º 06.979 N,75º 09.823 W,2.4,73,4.2,0.3,198,1023.6,58.6,0.0,0.0,14.7
2023-05-18T11:24:38-04:00,8.4,70,S50,2.8,20, ,38º 12.407 N,75º 07.963 W,2.4,75,4.6,,,1024.5,59.1,0.0,0.0,12.2
2023-05-18T13:50:59-04:00,8.2,74,S57,3.0,16, ,38º 18.960 N,75º 04.928 W,2.0,77,4.6,0.3,209,1024.7,60.3,0.0,0.0,14.3
2023-05-18T15:17:15-04:00,7.0,80,S68,3.3,12, ,38º 23.090 N,75º 03.408 W,1.9,78,4.7,0.2,202,1024.6,60.5,0.0,0.0,12.0
2023-05-18T17:06:38-04:00,5.6,95,S75,3.6,20, ,38º 28.928 N,75º 01.881 W,2.1,76,4.9,0.2,199,1024.4,60.4,0.0,0.0,9.9
2023-05-18T18:14:51-04:00,7.3,106,S83,5.0,24, ,38º 32.750 N,75º 00.111 W,2.3,79,4.9,,,1024.6,59.8,0.0,0.0,10.5
2023-05-18T19:08:16-04:00,9.7,117,S87,6.8,29, ,38º 36.812 N,74º 57.838 W,2.6,82,4.8,0.2,201,1024.9,59.6,0.0,0.0,12.8
2023-05-18T19:54:20-04:00,12.5,123,S87,8.1,36, ,38º 41.351 N,74º 54.559 W,2.9,86,4.7,0.2,217,1025.1,59.5,0.0,0.0,16.0
2023-05-18T21:30:33-04:00,14.0,118,S82,8.4,36, ,38º 51.980 N,74º 44.734 W,3.3,95,4.6,0.2,243,1025.9,58.6,0.0,0.0,17.8
2023-05-18T23:01:35-04:00,14.7,121,S85,9.3,36, ,39º 02.610 N,74º 34.909 W,3.4,103,4.6,0.1,229,1026.6,58.0,0.0,0.0,18.9
2023-05-19T01:03:55-04:00,14.7,127,S91,9.8,36, ,39º 18.554 N,74º 20.171 W,3.2,115,4.4,0.0,22,1026.4,57.0,0.0,0.0,19.0
2023-05-19T04:30:10-04:00,14.4,144,S98,9.4,46, ,39º 45.128 N,73º 55.609 W,3.0,134,4.3,0.2,18,1026.8,56.6,0.0,0.0,18.1
2023-05-19T06:13:10-04:00,12.0,148,S100,7.6,48, ,39º 55.533 N,73º 41.769 W,2.8,140,4.4,0.1,54,1027.3,55.7,0.0,0.0,14.8
2023-05-19T07:46:28-04:00,12.0,153,S105,7.3,48, ,40º 03.505 N,73º 30.364 W,2.6,145,4.5,0.1,4,1027.9,55.5,0.0,0.0,14.9
