,Route,Start Time,Start,End
,GFS,2023-05-16T16:00:00-04:00,38 57.414N 76 26.352W,41 20.640N 71 24.696W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-16T16:00:00-04:00,10.8,242,S71,5.5,171, ,38º 57.414 N,76º 26.352 W,0.8,180,2.0,0.0,178,1006.1,70.2,0.2,0.1,17.4
2023-05-16T16:12:47-04:00,11.2,246,S66,5.4,180, ,38º 56.252 N,76º 26.105 W,0.8,182,2.0,0.0,178,1006.0,69.8,0.2,0.1,18.2
2023-05-16T16:40:59-04:00,12.0,253,S85,7.8,169, ,38º 53.692 N,76º 26.114 W,0.8,185,2.0,0.0,180,1005.7,68.9,0.3,0.1,20.1
2023-05-16T17:47:37-04:00,12.5,261,S85,7.6,175, ,38º 44.951 N,76º 23.887 W,0.6,203,1.8,0.1,190,1005.5,67.4,0.4,0.1,22.0
2023-05-16T19:31:49-04:00,8.2,291,S123,4.5,168, ,38º 33.172 N,76º 22.673 W,0.2,215,2.0,0.1,170,1005.2,64.4,0.3,0.0,18.9
2023-05-16T20:07:25-04:00,7.8,303,S143,3.9,159, ,38º 30.542 N,76º 21.930 W,0.2,208,2.2,0.1,173,1005.2,63.6,0.3,0.0,18.6
2023-05-16T23:18:48-04:00,10.9,309,S144,5.3,165, ,38º 18.043 N,76º 15.952 W,0.5,211,2.1,0.1,158,1005.2,63.2,0.7,0.0,20.9
2023-05-17T01:59:15-04:00,13.9,303,S155,6.0,147, ,38º 03.053 N,76º 10.735 W,0.5,224,2.2,0.1,163,1004.9,64.2,1.0,0.0,21.1
2023-05-17T02:35:40-04:00,14.5,306,S133,7.2,172, ,37º 59.978 N,76º 08.237 W,0.7,236,2.3,0.1,170,1005.0,64.1,0.8,0.0,21.3
2023-05-17T05:14:21-04:00,13.5,320,S135,6.8,186, ,37º 42.633 N,76º 05.287 W,1.1,309,2.2,0.2,179,1006.0,62.8,0.0,0.0,21.8
2023-05-17T06:06:51-04:00,13.6,328,S136,6.8,192, ,37º 36.727 N,76º 06.061 W,1.3,317,2.4,0.2,176,1006.8,62.8,0.0,0.0,21.4
2023-05-17T08:40:09-04:00,14.6,351,S150,6.6,200, ,37º 20.069 N,76º 10.637 W,1.6,330,2.6,0.2,188,1008.6,63.1,0.0,0.0,21.5
2023-05-17T09:06:33-04:00,14.9,355,P152,6.7,147, ,37º 17.338 N,76º 11.902 W,1.6,332,2.6,0.2,191,1008.9,63.5,0.0,0.0,20.7
2023-05-17T09:58:48-04:00,14.7,359,P144,7.1,143, ,37º 12.420 N,76º 07.904 W,1.9,336,2.9,0.2,181,1009.3,63.9,0.0,0.0,18.7
2023-05-17T10:51:56-04:00,15.0,358,P128,7.9,126, ,37º 07.433 N,76º 03.154 W,2.0,336,3.1,0.2,168,1009.7,64.0,0.0,0.0,17.4
2023-05-17T11:31:12-04:00,14.9,356,P93,9.7,89, ,37º 04.391 N,75º 57.895 W,2.0,334,3.3,0.2,159,1010.0,63.8,0.0,0.0,17.3
2023-05-17T12:29:19-04:00,12.6,12,P90,8.4,103, ,37º 04.522 N,75º 46.852 W,2.1,315,4.1,0.3,164,1010.4,63.8,0.0,0.0,15.2
2023-05-17T13:40:22-04:00,13.6,37,P73,6.7,110, ,37º 02.707 N,75º 36.318 W,2.4,126,4.7,0.1,206,1011.2,61.9,0.0,0.0,15.4
2023-05-17T15:29:41-04:00,15.0,39,P61,6.1,100, ,36º 58.533 N,75º 21.778 W,3.0,97,4.7,0.2,248,1012.0,60.0,0.0,0.0,16.7
2023-05-17T18:28:43-04:00,14.0,53,S51,4.8,1, ,36º 55.448 N,75º 00.457 W,3.7,67,5.0,0.1,221,1013.7,59.5,0.0,0.0,19.0
2023-05-17T20:15:27-04:00,11.9,71,S70,5.7,1, ,37º 04.530 N,75º 00.174 W,3.5,71,5.0,0.2,219,1015.2,59.4,0.0,0.0,17.2
2023-05-17T22:51:21-04:00,9.8,94,S83,5.8,11, ,37º 19.586 N,74º 59.870 W,3.3,75,5.1,0.3,211,1017.0,58.7,0.0,0.0,10.2
2023-05-18T01:04:13-04:00,8.6,83,S72,3.4,11, ,37º 31.466 N,74º 56.983 W,3.3,75,4.9,0.3,209,1018.0,58.9,0.0,0.0,13.4
2023-05-18T02:51:17-04:00,8.8,61,S64,3.5,358, ,37º 37.405 N,74º 55.540 W,3.4,71,4.8,0.3,217,1018.9,58.7,0.0,0.0,14.1
2023-05-18T04:42:42-04:00,10.9,53,S56,4.0,358, ,37º 43.841 N,74º 55.894 W,3.8,64,4.5,0.4,218,1019.9,58.5,0.0,0.0,12.7
2023-05-18T06:19:38-04:00,12.4,65,S64,5.2,1, ,37º 50.277 N,74º 56.247 W,3.8,62,4.6,0.5,220,1021.2,58.1,0.0,0.0,12.6
2023-05-18T08:45:01-04:00,11.4,76,S75,5.3,1, ,38º 03.472 N,74º 55.823 W,3.7,61,4.7,0.6,217,1023.2,57.7,0.0,0.0,11.4
2023-05-18T11:23:27-04:00,9.0,83,S75,4.7,8, ,38º 16.667 N,74º 55.400 W,3.0,66,4.8,0.4,212,1024.7,58.2,0.0,0.0,9.0
2023-05-18T11:59:34-04:00,9.6,88,S68,4.8,20, ,38º 19.467 N,74º 54.889 W,2.9,67,4.8,0.4,207,1024.8,58.1,0.0,0.0,9.6
2023-05-18T13:35:04-04:00,11.3,94,S74,6.1,20, ,38º 27.112 N,74º 51.347 W,2.8,70,4.9,0.3,195,1025.2,57.8,0.0,0.0,11.3
2023-05-18T16:44:56-04:00,12.1,110,S87,7.5,24, ,38º 47.319 N,74º 41.990 W,3.0,78,4.8,0.3,236,1025.2,57.5,0.0,0.0,12.4
2023-05-18T17:20:28-04:00,12.1,113,S76,6.7,37, ,38º 51.380 N,74º 39.717 W,3.2,81,4.7,0.3,233,1025.3,57.5,0.0,0.0,12.6
2023-05-18T19:04:53-04:00,13.6,121,S84,8.3,37, ,39º 01.146 N,74º 30.096 W,3.6,91,4.7,0.3,214,1025.8,57.0,0.0,0.0,13.9
2023-05-18T21:10:34-04:00,14.4,129,S92,9.3,37, ,39º 15.795 N,74º 15.664 W,3.4,101,4.6,0.2,244,1026.3,57.1,0.0,0.0,14.7
2023-05-19T00:32:47-04:00,14.9,145,S97,9.6,48, ,39º 40.210 N,73º 51.611 W,3.0,122,4.3,0.1,353,1026.6,56.4,0.0,0.0,14.9
2023-05-19T02:37:17-04:00,15.1,154,S105,9.2,48, ,39º 53.198 N,73º 32.555 W,2.7,135,4.3,0.1,38,1026.5,55.7,0.0,0.0,15.1
2023-05-19T04:48:01-04:00,14.6,160,S112,8.6,48, ,40º 06.187 N,73º 13.499 W,2.5,146,4.4,0.1,359,1026.4,55.6,0.0,0.0,14.6
2023-05-19T06:18:50-04:00,14.9,162,S114,8.6,48, ,40º 14.846 N,73º 00.795 W,2.4,150,4.5,0.1,338,1026.7,55.6,0.0,0.0,14.9
2023-05-19T07:50:02-04:00,14.5,161,S113,8.4,48, ,40º 23.505 N,72º 48.091 W,2.2,153,4.5,0.1,336,1026.9,55.7,0.0,0.0,14.5
2023-05-19T09:25:01-04:00,13.7,164,S113,7.9,50, ,40º 32.164 N,72º 35.387 W,2.0,156,4.6,0.1,70,1027.1,55.9,0.0,0.0,14.2
2023-05-19T12:19:45-04:00,12.3,166,S119,7.1,47, ,40º 46.321 N,72º 12.750 W,1.8,155,4.8,0.2,50,1026.1,55.7,0.0,0.0,14.5
2023-05-19T14:02:32-04:00,12.5,163,S116,7.3,47, ,40º 54.590 N,72º 01.076 W,1.7,155,4.7,0.1,44,1024.9,56.0,0.0,0.0,15.4
2023-05-19T16:36:33-04:00,11.1,159,S115,6.4,43, ,41º 06.994 N,71º 43.566 W,1.6,159,4.4,0.1,98,1023.4,56.1,0.0,0.0,15.0
2023-05-19T18:10:08-04:00,11.6,157,S99,7.6,58, ,41º 14.397 N,71º 34.254 W,1.6,158,4.2,0.2,56,1022.7,55.9,0.0,0.0,16.7
2023-05-19T18:38:12-04:00,11.9,156,S112,6.9,44, ,41º 16.307 N,71º 30.232 W,1.7,157,4.3,0.2,80,1022.5,55.8,0.0,0.0,17.5
2023-05-19T19:30:11-04:00,11.1,156,,,, ,41º 20.640 N,71º 24.695 W,1.8,155,4.2,0.1,73,1022.2,55.3,0.0,0.0,18.8
