,Route,Start Time,Start,End
,PWE,2023-05-16T16:00:00-04:00,38 57.414N 76 26.352W,41 20.640N 71 24.696W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-16T16:00:00-04:00,12.8,169,P69,7.8,239, ,38º 57.414 N,76º 26.352 W,0.8,180,2.0,0.0,178,1005.6,72.0,0.0,0.0,15.6
2023-05-16T16:03:31-04:00,13.4,166,S45,4.0,121, ,38º 57.175 N,76º 26.854 W,0.8,181,2.0,0.0,178,1005.5,72.2,0.0,0.0,15.4
2023-05-16T16:33:57-04:00,13.1,172,P49,4.4,221, ,38º 56.116 N,76º 24.599 W,0.8,183,2.0,0.0,178,1005.1,71.6,0.0,0.0,15.4
2023-05-16T17:06:22-04:00,13.4,167,S51,4.5,116, ,38º 54.307 N,76º 26.614 W,0.8,186,2.0,0.0,176,1004.8,71.9,0.0,0.0,14.5
2023-05-16T17:17:54-04:00,14.0,169,P55,5.2,224, ,38º 53.931 N,76º 25.611 W,0.7,188,2.0,0.1,178,1004.7,71.5,0.0,0.0,14.4
2023-05-16T17:34:15-04:00,15.0,168,S52,5.2,116, ,38º 52.907 N,76º 26.870 W,0.7,190,1.9,0.1,180,1004.6,71.4,0.0,0.0,15.0
2023-05-16T17:54:15-04:00,15.4,170,P45,4.9,215, ,38º 52.155 N,76º 24.865 W,0.7,194,1.9,0.1,182,1004.5,70.8,0.0,0.0,15.4
2023-05-16T19:12:47-04:00,19.7,168,S55,5.8,113, ,38º 46.900 N,76º 29.651 W,0.5,205,1.9,0.1,192,1004.2,69.5,0.1,0.0,19.7
2023-05-16T19:54:29-04:00,15.8,165,P52,5.2,217, ,38º 45.327 N,76º 24.889 W,0.4,211,1.8,0.1,190,1003.9,69.4,0.0,0.0,15.8
2023-05-16T20:28:12-04:00,12.7,166,P47,4.0,213, ,38º 42.973 N,76º 27.156 W,0.3,220,1.8,0.1,187,1004.0,68.3,0.2,0.0,12.7
2023-05-16T21:43:02-04:00,7.6,187,S40,2.1,148, ,38º 38.741 N,76º 30.685 W,0.2,249,1.6,,,1004.4,66.4,0.7,0.0,8.2
2023-05-16T22:34:25-04:00,6.4,201,P37,1.6,239, ,38º 37.204 N,76º 29.435 W,0.2,263,1.5,0.1,174,1004.6,65.1,1.0,0.0,8.8
2023-05-16T22:51:08-04:00,7.0,209,S61,2.9,148, ,38º 36.965 N,76º 29.938 W,0.2,267,1.5,0.1,174,1004.7,64.4,1.1,0.0,8.8
2023-05-16T23:05:57-04:00,6.4,215,P24,2.4,239, ,38º 36.350 N,76º 29.438 W,0.2,270,1.5,0.1,172,1004.7,64.2,1.1,0.0,9.0
2023-05-16T23:17:19-04:00,7.2,227,S47,3.3,180, ,38º 36.112 N,76º 29.941 W,0.2,270,1.5,0.1,173,1004.6,63.9,1.0,0.0,9.1
2023-05-17T00:04:32-04:00,11.6,244,S81,6.1,163, ,38º 33.551 N,76º 29.950 W,0.2,270,1.6,0.1,174,1004.3,63.8,0.7,0.0,11.6
2023-05-17T00:37:41-04:00,12.0,247,S99,7.6,148, ,38º 30.307 N,76º 28.707 W,0.2,270,1.6,0.1,175,1004.1,64.1,0.5,0.0,12.0
2023-05-17T01:12:21-04:00,13.1,227,S90,8.7,137, ,38º 26.618 N,76º 25.709 W,0.2,270,1.8,0.2,159,1003.8,64.3,0.3,0.0,13.1
2023-05-17T01:30:13-04:00,14.3,226,S85,9.5,141, ,38º 24.705 N,76º 23.457 W,0.3,270,1.8,0.2,153,1003.7,64.5,0.2,0.0,14.3
2023-05-17T01:55:49-04:00,13.7,228,S80,8.6,147, ,38º 21.562 N,76º 20.206 W,0.3,263,1.7,0.2,160,1003.6,64.6,0.1,0.0,13.7
2023-05-17T02:36:25-04:00,13.3,244,S87,8.9,156, ,38º 16.644 N,76º 16.208 W,0.5,252,1.9,0.2,156,1003.7,65.0,0.2,0.0,13.3
2023-05-17T04:07:11-04:00,13.9,260,S99,9.6,161, ,38º 04.076 N,76º 09.477 W,0.8,282,2.0,0.1,161,1003.8,65.2,1.0,0.0,14.1
2023-05-17T04:44:40-04:00,13.3,264,S90,8.4,174, ,37º 58.441 N,76º 06.987 W,1.0,293,2.1,0.2,170,1003.8,65.5,0.5,0.0,15.6
2023-05-17T06:11:28-04:00,10.7,274,S88,7.2,185, ,37º 47.208 N,76º 05.521 W,1.3,315,2.3,0.2,176,1004.6,64.6,0.0,0.0,17.2
2023-05-17T07:44:11-04:00,10.3,283,S96,6.8,187, ,37º 36.096 N,76º 06.941 W,1.6,325,2.6,0.2,175,1005.8,64.5,0.0,0.0,20.4
2023-05-17T09:43:46-04:00,5.1,302,S102,3.2,200, ,37º 25.291 N,76º 08.611 W,1.9,339,2.8,0.2,183,1007.1,65.6,0.0,0.0,21.1
2023-05-17T10:38:45-04:00,3.6,359,P148,2.2,147, ,37º 22.561 N,76º 09.875 W,2.0,344,2.9,0.2,187,1007.7,66.2,0.0,0.0,21.3
2023-05-17T11:48:23-04:00,5.0,36,P129,3.4,165, ,37º 20.409 N,76º 08.126 W,2.4,348,3.1,0.2,188,1008.3,66.0,0.0,0.0,23.3
2023-05-17T13:09:51-04:00,8.0,22,P125,4.5,147, ,37º 16.004 N,76º 06.637 W,2.8,353,3.3,0.1,188,1009.0,65.8,0.0,0.0,24.6
2023-05-17T13:59:04-04:00,8.5,11,P126,4.0,138, ,37º 12.930 N,76º 04.138 W,2.8,354,3.4,0.1,194,1009.4,66.1,0.0,0.0,24.4
2023-05-17T15:23:00-04:00,5.3,56,P118,3.0,174, ,37º 08.797 N,75º 59.384 W,2.1,0,3.4,0.1,213,1009.7,66.2,0.0,0.0,18.5
2023-05-17T16:43:32-04:00,5.4,108,P39,1.4,147, ,37º 04.768 N,75º 58.897 W,1.9,21,3.6,0.1,200,1010.2,64.7,0.0,0.0,13.5
2023-05-17T17:14:51-04:00,6.7,103,S35,2.0,68, ,37º 04.153 N,75º 58.397 W,1.8,29,3.6,0.1,200,1010.5,64.3,0.0,0.0,13.0
2023-05-17T18:27:41-04:00,11.4,91,P56,4.0,147, ,37º 05.039 N,75º 55.634 W,1.6,51,3.5,0.1,222,1011.5,63.9,0.0,0.0,14.0
2023-05-17T18:33:14-04:00,11.7,90,S56,4.5,35, ,37º 04.731 N,75º 55.384 W,1.6,53,3.6,0.1,220,1011.5,63.9,0.0,0.0,14.1
2023-05-17T19:20:04-04:00,14.7,86,P61,5.9,147, ,37º 07.632 N,75º 52.864 W,1.2,79,3.4,0.1,217,1012.2,63.6,0.0,0.0,14.7
2023-05-17T19:31:14-04:00,15.4,86,S49,4.7,38, ,37º 06.710 N,75º 52.114 W,1.3,80,3.5,0.1,216,1012.3,63.5,0.0,0.0,15.4
2023-05-17T21:00:55-04:00,14.6,81,S55,5.4,26, ,37º 12.203 N,75º 46.825 W,1.5,83,3.6,0.2,205,1013.7,63.3,0.0,0.0,14.6
2023-05-17T21:31:12-04:00,13.5,78,S57,5.3,20, ,37º 14.627 N,75º 45.310 W,1.6,85,3.7,0.2,195,1014.2,63.1,0.0,0.0,14.0
2023-05-17T22:52:46-04:00,12.5,63,P61,5.0,124, ,37º 20.634 N,75º 42.528 W,1.5,87,3.8,0.1,196,1015.5,62.8,0.0,0.0,14.2
2023-05-17T23:07:11-04:00,12.4,62,S55,4.3,7, ,37º 19.951 N,75º 41.276 W,1.7,86,4.0,0.1,193,1015.7,62.8,0.0,0.0,14.6
2023-05-18T00:18:45-04:00,13.1,48,P48,3.9,97, ,37º 25.003 N,75º 40.505 W,1.8,84,4.0,0.1,202,1016.2,62.3,0.0,0.0,15.0
2023-05-18T00:28:03-04:00,13.3,47,S47,4.0,0, ,37º 24.934 N,75º 39.752 W,1.9,84,4.1,0.1,201,1016.3,62.3,0.0,0.0,15.3
2023-05-18T00:40:59-04:00,13.0,45,P52,4.4,97, ,37º 25.787 N,75º 39.749 W,2.0,84,4.1,0.1,202,1016.4,62.2,0.0,0.0,15.3
2023-05-18T01:05:34-04:00,13.7,42,S57,4.9,345, ,37º 25.582 N,75º 37.492 W,2.2,83,4.3,0.2,201,1016.5,62.2,0.0,0.0,16.2
2023-05-18T01:24:12-04:00,13.3,38,P59,5.5,97, ,37º 27.050 N,75º 37.988 W,2.2,83,4.2,0.2,205,1016.7,62.0,0.0,0.0,16.1
2023-05-18T02:03:24-04:00,14.8,34,P59,5.4,93, ,37º 26.638 N,75º 33.472 W,2.4,80,4.3,0.3,206,1017.0,61.9,0.0,0.0,17.3
2023-05-18T03:01:17-04:00,16.6,41,P56,5.0,97, ,37º 26.327 N,75º 26.949 W,2.9,76,4.4,0.4,213,1017.6,61.4,0.0,0.0,18.4
2023-05-18T03:59:04-04:00,18.8,46,P47,4.2,93, ,37º 25.777 N,75º 20.928 W,3.3,72,4.5,0.3,233,1018.2,61.2,0.0,0.0,20.1
2023-05-18T05:04:09-04:00,21.5,49,S51,4.8,358, ,37º 25.535 N,75º 15.157 W,3.8,68,4.5,0.3,230,1018.9,61.1,0.0,0.0,22.7
2023-05-18T07:44:38-04:00,19.2,58,S55,5.3,3, ,37º 39.260 N,75º 15.861 W,3.6,68,4.5,0.4,227,1021.4,60.0,0.0,0.0,19.2
2023-05-18T08:29:47-04:00,19.1,63,S56,5.1,8, ,37º 43.220 N,75º 15.596 W,3.5,69,4.6,0.5,223,1022.1,59.6,0.0,0.0,19.1
2023-05-18T11:07:46-04:00,18.7,77,S64,6.5,13, ,37º 58.924 N,75º 13.030 W,2.3,76,4.4,0.4,210,1024.4,58.9,0.0,0.0,18.7
2023-05-18T12:12:39-04:00,17.0,79,S59,6.1,20, ,38º 05.854 N,75º 10.998 W,2.0,77,4.2,0.2,197,1024.5,59.0,0.0,0.0,17.0
2023-05-18T14:20:11-04:00,14.9,87,S71,7.5,16, ,38º 18.960 N,75º 04.928 W,2.0,78,4.6,0.3,210,1024.7,60.4,0.0,0.0,14.9
2023-05-18T14:54:40-04:00,14.6,90,S82,8.8,7, ,38º 23.090 N,75º 03.408 W,1.9,78,4.6,0.2,202,1024.7,60.5,0.0,0.0,14.6
2023-05-18T16:11:29-04:00,14.4,102,S82,9.1,20, ,38º 34.288 N,75º 01.360 W,2.2,75,4.8,,,1024.6,59.8,0.0,0.0,14.4
2023-05-18T17:15:28-04:00,14.4,111,S86,9.2,25, ,38º 43.571 N,74º 57.061 W,2.4,79,4.8,0.2,222,1024.5,59.2,0.0,0.0,14.4
2023-05-18T17:58:11-04:00,14.3,115,S86,9.1,29, ,38º 49.510 N,74º 53.527 W,2.7,85,4.5,0.1,244,1024.7,58.9,0.0,0.0,14.3
2023-05-18T18:32:36-04:00,14.3,118,S80,8.2,38, ,38º 54.049 N,74º 50.248 W,2.7,90,4.4,0.1,245,1025.0,58.5,0.0,0.0,16.9
2023-05-18T20:02:49-04:00,13.6,128,S88,9.2,38, ,39º 03.944 N,74º 40.174 W,2.8,97,4.4,0.1,223,1025.6,57.3,0.0,0.0,17.3
2023-05-18T22:07:38-04:00,14.3,135,S91,9.3,45, ,39º 18.719 N,74º 24.311 W,2.9,108,4.4,0.0,265,1026.5,56.6,0.0,0.0,17.1
2023-05-19T00:07:39-04:00,14.9,146,S97,9.5,48, ,39º 32.024 N,74º 07.952 W,3.0,118,4.3,0.1,336,1026.7,56.6,0.0,0.0,18.7
2023-05-19T01:15:09-04:00,14.9,152,S111,8.8,41, ,39º 39.052 N,73º 57.638 W,3.0,124,4.3,0.1,354,1026.7,56.2,0.0,0.0,18.2
2023-05-19T01:31:20-04:00,14.8,153,S106,9.0,47, ,39º 40.861 N,73º 55.624 W,3.0,126,4.3,0.2,1,1026.7,56.3,0.0,0.0,18.3
2023-05-19T02:08:19-04:00,14.6,156,S114,8.5,42, ,39º 44.647 N,73º 50.341 W,3.0,129,4.3,0.1,19,1026.7,56.1,0.0,0.0,18.0
2023-05-19T04:49:45-04:00,14.7,158,S119,8.2,39, ,40º 01.331 N,73º 30.455 W,2.7,142,4.4,0.1,20,1027.2,55.2,0.0,0.0,15.2
2023-05-19T05:21:20-04:00,14.7,159,S105,9.0,54, ,40º 04.709 N,73º 26.930 W,2.6,144,4.4,0.1,349,1027.3,55.1,0.0,0.0,14.7
2023-05-19T05:57:47-04:00,14.8,162,S113,8.6,48, ,40º 07.881 N,73º 21.147 W,2.6,146,4.4,0.1,354,1027.6,55.2,0.0,0.0,14.8
2023-05-19T09:00:41-04:00,15.0,172,S119,8.3,53, ,40º 24.938 N,72º 55.991 W,2.2,152,4.5,0.1,8,1028.4,55.3,0.0,0.0,15.0
2023-05-19T09:30:03-04:00,15.1,174,S125,8.1,49, ,40º 27.394 N,72º 51.716 W,2.2,153,4.5,0.1,4,1028.6,55.2,0.0,0.0,15.1
2023-05-19T10:38:34-04:00,14.6,175,S123,8.2,52, ,40º 33.397 N,72º 42.660 W,2.1,155,4.6,0.2,63,1028.8,55.1,0.0,0.0,14.6
2023-05-19T12:51:07-04:00,15.8,179,S127,8.0,52, ,40º 44.474 N,72º 23.705 W,1.8,156,4.7,0.2,54,1028.4,54.6,0.0,0.0,15.8
2023-05-19T14:22:13-04:00,16.2,182,S130,7.9,52, ,40º 51.859 N,72º 11.068 W,1.7,154,4.7,0.1,46,1027.9,54.8,0.0,0.0,16.2
2023-05-19T16:38:35-04:00,17.8,176,S130,7.9,46, ,41º 02.936 N,71º 52.113 W,1.6,157,4.3,0.1,84,1026.9,54.7,0.0,0.0,17.8
2023-05-19T17:44:58-04:00,17.5,176,S125,8.2,51, ,41º 09.008 N,71º 43.810 W,1.6,160,4.3,0.2,78,1026.7,55.4,0.0,0.0,17.5
2023-05-19T19:15:23-04:00,16.2,177,S126,8.1,51, ,41º 16.763 N,71º 31.067 W,1.7,156,4.3,0.2,74,1026.8,56.0,0.0,0.0,16.2
2023-05-19T20:01:08-04:00,15.5,178,,,, ,41º 20.640 N,71º 24.695 W,1.8,155,4.2,0.1,72,1026.8,56.0,0.0,0.0,15.5
