,Route,Start Time,Start,End
,PWG,2023-05-16T16:00:00-04:00,38 57.414N 76 26.352W,41 20.640N 71 24.696W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-16T16:00:00-04:00,8.5,165,P35,3.0,200, ,38º 57.414 N,76º 26.352 W,0.8,180,2.0,0.0,178,1006.1,70.2,0.2,0.1,17.4
2023-05-16T16:11:44-04:00,8.1,163,S48,2.5,116, ,38º 56.867 N,76º 26.605 W,0.8,181,2.0,0.0,178,1006.0,69.8,0.2,0.1,18.1
2023-05-16T16:32:41-04:00,7.0,163,P54,2.6,217, ,38º 56.491 N,76º 25.602 W,0.8,183,2.0,0.0,178,1005.8,69.2,0.2,0.1,19.3
2023-05-16T17:18:25-04:00,6.9,164,S49,2.5,116, ,38º 54.922 N,76º 27.113 W,0.8,186,2.0,0.1,176,1005.5,67.9,0.3,0.1,20.9
2023-05-16T17:39:07-04:00,7.1,177,P40,1.8,217, ,38º 54.545 N,76º 26.111 W,0.7,189,2.0,0.1,176,1005.4,67.4,0.3,0.1,20.8
2023-05-16T18:12:34-04:00,5.7,194,S79,3.3,116, ,38º 53.761 N,76º 26.867 W,0.7,194,1.9,0.1,176,1005.3,66.5,0.4,0.1,20.6
2023-05-16T18:28:33-04:00,5.6,222,S68,3.5,154, ,38º 53.385 N,76º 25.864 W,0.7,197,1.9,0.1,178,1005.2,66.2,0.4,0.0,20.6
2023-05-16T19:38:16-04:00,4.6,268,S92,3.2,176, ,38º 49.765 N,76º 23.618 W,0.5,210,1.9,0.1,189,1005.1,64.8,0.4,0.0,20.2
2023-05-16T20:32:16-04:00,7.6,298,S98,5.4,200, ,38º 46.897 N,76º 23.378 W,0.4,221,1.8,0.1,191,1005.0,64.0,0.4,0.0,20.2
2023-05-16T20:51:48-04:00,10.0,305,S125,5.4,180, ,38º 45.259 N,76º 24.136 W,0.4,228,1.8,0.1,189,1005.1,63.8,0.4,0.0,20.2
2023-05-16T21:01:16-04:00,10.8,309,S136,5.7,173, ,38º 44.405 N,76º 24.139 W,0.4,231,1.7,0.1,188,1005.1,63.7,0.4,0.0,20.2
2023-05-16T23:09:25-04:00,11.7,274,S111,6.8,163, ,38º 31.703 N,76º 22.177 W,0.3,264,1.7,0.1,175,1005.2,62.3,0.5,0.0,20.2
