,Route,Start Time,Start,End
,SPIRE,2023-05-16T16:00:00-04:00,38 57.414N 76 26.352W,41 20.640N 71 24.696W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-16T16:00:00-04:00,8.3,193,P46,2.5,239, ,38º 57.414 N,76º 26.352 W,0.8,180,2.0,0.0,178,1005.6,72.0,0.0,0.0,15.6
2023-05-16T16:10:58-04:00,8.6,199,S51,3.5,148, ,38º 57.175 N,76º 26.854 W,0.8,181,2.0,0.0,178,1005.4,72.2,0.0,0.0,15.4
2023-05-16T16:36:05-04:00,9.8,210,P50,3.2,260, ,38º 55.945 N,76º 25.855 W,0.8,183,2.0,0.0,178,1005.1,71.9,0.0,0.0,15.2
2023-05-16T16:54:48-04:00,10.0,218,S70,5.1,148, ,38º 55.775 N,76º 27.110 W,0.8,183,2.0,0.0,176,1004.8,72.3,0.0,0.0,14.9
2023-05-16T17:07:40-04:00,10.0,221,S52,3.8,169, ,38º 54.853 N,76º 26.361 W,0.8,185,2.0,0.0,176,1004.7,71.9,0.0,0.0,14.6
2023-05-16T19:38:46-04:00,6.2,274,S98,4.0,176, ,38º 44.951 N,76º 23.887 W,0.4,210,1.8,0.1,189,1004.0,69.6,0.0,0.0,9.8
2023-05-16T20:21:54-04:00,6.2,281,S108,4.0,173, ,38º 42.083 N,76º 23.646 W,0.3,220,1.8,0.1,185,1004.0,68.9,0.2,0.0,8.6
2023-05-16T23:14:04-04:00,5.9,288,S128,3.2,160, ,38º 30.542 N,76º 21.930 W,0.3,263,1.7,0.1,175,1004.7,66.7,1.0,0.1,8.7
2023-05-17T01:12:45-04:00,6.3,292,S137,3.6,155, ,38º 24.600 N,76º 19.191 W,0.3,263,1.7,0.2,160,1003.8,65.3,0.3,0.0,9.6
2023-05-17T02:13:20-04:00,7.5,281,S111,4.8,170, ,38º 21.287 N,76º 17.195 W,0.3,257,1.7,0.2,159,1003.5,64.8,0.1,0.0,10.5
2023-05-17T04:34:11-04:00,11.3,306,S136,5.7,170, ,38º 09.371 N,76º 14.477 W,0.6,282,1.9,0.1,152,1003.9,64.1,0.2,0.0,13.1
2023-05-17T06:40:35-04:00,13.2,322,S144,6.2,178, ,37º 57.454 N,76º 11.759 W,1.1,314,2.2,0.2,170,1005.1,63.9,0.0,0.0,16.6
2023-05-17T09:06:42-04:00,13.0,334,S146,6.1,188, ,37º 42.875 N,76º 11.058 W,1.6,333,2.5,0.2,181,1006.8,64.2,0.0,0.0,19.9
2023-05-17T10:30:55-04:00,13.9,346,S152,6.1,194, ,37º 34.478 N,76º 12.593 W,1.9,342,2.7,0.1,168,1007.8,65.6,0.0,0.0,20.6
