,Route,Start Time,Start,End
,UKMO,2023-05-16T16:00:00-04:00,38 57.414N 76 26.352W,41 20.640N 71 24.696W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-16T16:00:00-04:00,6.3,257,S86,3.7,171, ,38º 57.414 N,76º 26.352 W,0.8,180,2.0,0.0,178,1005.6,72.0,0.0,0.0,15.6
2023-05-16T17:36:31-04:00,7.2,241,S70,3.8,171, ,38º 51.609 N,76º 25.118 W,0.7,193,1.9,0.1,186,1004.7,71.0,0.0,0.0,13.9
2023-05-16T19:10:38-04:00,4.4,288,S88,2.9,200, ,38º 45.805 N,76º 23.884 W,0.5,207,1.8,0.1,191,1004.2,69.9,0.0,0.0,10.9
2023-05-16T19:22:32-04:00,4.5,299,S118,1.9,180, ,38º 45.259 N,76º 24.136 W,0.4,208,1.8,0.1,191,1004.1,69.8,0.0,0.0,10.3
2023-05-16T22:01:05-04:00,4.1,315,S129,2.0,186, ,38º 40.137 N,76º 24.155 W,0.4,255,1.6,0.1,180,1004.3,67.1,0.9,0.0,10.0
2023-05-17T00:55:09-04:00,4.0,346,P153,2.0,140, ,38º 34.231 N,76º 24.929 W,0.3,276,1.6,0.1,175,1003.8,64.7,0.4,0.0,9.8
2023-05-17T02:33:03-04:00,5.7,335,S145,3.2,190, ,38º 31.703 N,76º 22.177 W,0.5,284,1.7,0.1,177,1003.4,63.9,0.0,0.0,10.1
2023-05-17T03:37:10-04:00,7.3,321,S147,3.8,174, ,38º 28.358 N,76º 22.942 W,0.5,289,1.7,0.1,169,1003.7,63.1,0.0,0.0,10.7
2023-05-17T04:58:48-04:00,8.9,309,S144,4.8,165, ,38º 23.168 N,76º 22.207 W,0.5,290,1.8,0.2,155,1004.1,62.1,0.0,0.0,12.4
2023-05-17T07:14:05-04:00,14.7,308,S141,7.2,167, ,38º 11.422 N,76º 18.234 W,0.8,314,1.9,0.1,151,1005.7,62.6,0.0,0.0,15.3
2023-05-17T10:03:12-04:00,15.4,333,S141,7.1,192, ,37º 52.709 N,76º 12.779 W,1.5,337,2.5,0.1,186,1007.6,64.2,0.0,0.0,21.8
2023-05-17T11:17:06-04:00,14.7,349,S149,6.5,200, ,37º 44.380 N,76º 15.068 W,1.5,348,2.5,0.1,184,1008.4,65.8,0.0,0.0,20.7
2023-05-17T12:05:26-04:00,15.1,1,P146,7.0,147, ,37º 39.464 N,76º 17.344 W,1.7,355,2.6,0.1,178,1008.8,66.3,0.0,0.0,19.9
2023-05-17T12:36:36-04:00,17.2,8,S151,6.5,217, ,37º 36.391 N,76º 14.845 W,2.3,357,3.0,0.1,171,1009.0,65.9,0.0,0.0,22.1
2023-05-17T12:54:50-04:00,17.8,13,P134,7.6,147, ,37º 34.821 N,76º 16.357 W,2.3,0,3.0,0.1,171,1009.2,66.5,0.0,0.0,22.4
2023-05-17T13:37:58-04:00,18.8,16,P144,7.1,160, ,37º 30.210 N,76º 12.609 W,2.9,359,3.4,0.1,172,1009.5,66.4,0.0,0.0,24.7
2023-05-17T16:35:35-04:00,18.2,15,P132,7.6,147, ,37º 10.608 N,76º 03.644 W,2.4,6,3.5,0.1,229,1010.1,66.5,0.0,0.0,18.4
2023-05-17T17:30:03-04:00,14.8,25,P83,6.8,108, ,37º 04.768 N,75º 58.897 W,1.8,29,3.6,0.1,211,1010.7,64.4,0.0,0.0,14.8
