,Route,Start Time,Start,End
,ECMWF,2023-05-17T16:00:00-04:00,38 57.414N 76 26.352W,41 20.640N 71 24.696W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-17T16:00:00-04:00,11.2,359,P149,5.4,148, ,38º 57.414 N,76º 26.352 W,1.3,359,2.5,0.1,166,1011.5,65.9,0.0,0.0,16.5
2023-05-17T16:56:18-04:00,13.1,356,S151,5.5,205, ,38º 53.110 N,76º 22.853 W,1.2,359,2.4,0.1,169,1011.7,66.3,0.0,0.0,17.3
2023-05-17T18:00:54-04:00,13.0,13,P135,6.8,148, ,38º 47.717 N,76º 26.135 W,1.3,6,2.5,0.1,161,1012.3,66.3,0.0,0.0,17.2
2023-05-17T18:29:51-04:00,14.4,15,P159,5.9,175, ,38º 44.951 N,76º 23.887 W,1.2,7,2.4,0.0,158,1012.6,66.3,0.0,0.0,18.8
2023-05-17T21:00:28-04:00,12.8,31,P127,6.6,158, ,38º 29.381 N,76º 21.683 W,1.6,17,2.7,0.0,293,1014.3,65.1,0.0,0.0,17.6
2023-05-17T22:49:16-04:00,12.8,51,P97,8.7,147, ,38º 18.043 N,76º 15.952 W,1.2,28,2.3,0.1,346,1015.9,63.5,0.0,0.0,17.4
2023-05-17T23:29:34-04:00,14.3,61,P112,8.6,173, ,38º 13.125 N,76º 11.954 W,1.4,39,2.4,0.0,293,1016.3,63.3,0.0,0.0,19.3
2023-05-18T00:59:35-04:00,12.5,80,P93,7.6,173, ,38º 00.253 N,76º 09.992 W,1.4,53,2.6,0.0,7,1016.9,62.3,0.0,0.0,16.9
2023-05-18T02:46:34-04:00,11.8,90,P83,7.4,173, ,37º 47.380 N,76º 08.030 W,1.4,81,2.5,0.1,353,1017.8,61.2,0.0,0.0,16.1
2023-05-18T04:26:13-04:00,13.3,83,P90,8.5,173, ,37º 34.508 N,76º 06.069 W,1.4,79,2.5,0.3,0,1018.8,61.5,0.0,0.0,18.2
2023-05-18T06:00:24-04:00,12.2,81,P92,7.5,173, ,37º 21.636 N,76º 04.107 W,1.4,81,2.5,0.3,359,1019.7,61.7,0.0,0.0,17.2
2023-05-18T07:41:32-04:00,14.3,77,P70,7.2,147, ,37º 08.764 N,76º 02.145 W,1.9,86,3.1,0.4,319,1021.0,62.1,0.0,0.0,19.5
2023-05-18T08:24:30-04:00,15.1,78,P55,5.2,133, ,37º 04.460 N,75º 58.647 W,2.4,83,3.8,0.3,299,1021.5,62.1,0.0,0.0,20.0
2023-05-18T09:30:26-04:00,14.6,79,S53,4.8,26, ,37º 00.565 N,75º 53.391 W,3.2,82,4.4,0.2,279,1022.1,62.0,0.0,0.0,19.1
2023-05-18T11:59:15-04:00,13.1,78,S53,4.3,25, ,37º 10.804 N,75º 47.080 W,2.5,84,4.0,0.3,232,1023.5,62.1,0.0,0.0,17.4
2023-05-18T15:24:36-04:00,12.1,74,P55,4.4,130, ,37º 23.773 N,75º 39.506 W,2.5,85,4.4,0.2,202,1023.9,62.1,0.0,0.0,16.1
2023-05-18T16:07:08-04:00,12.3,73,S49,3.8,24, ,37º 21.791 N,75º 36.502 W,2.9,84,4.6,0.3,199,1023.8,62.0,0.0,0.0,16.2
2023-05-18T17:26:31-04:00,12.1,72,S52,4.1,20, ,37º 26.399 N,75º 33.976 W,2.8,84,4.6,0.3,208,1023.8,62.0,0.0,0.0,15.9
2023-05-18T18:52:11-04:00,12.5,72,P53,4.0,125, ,37º 31.860 N,75º 31.446 W,2.7,85,4.5,0.3,208,1024.1,61.7,0.0,0.0,16.5
2023-05-18T19:10:23-04:00,12.9,71,S51,4.3,20, ,37º 31.177 N,75º 30.194 W,2.7,85,4.6,0.3,206,1024.1,61.7,0.0,0.0,16.8
2023-05-18T21:10:26-04:00,12.1,76,S56,4.6,20, ,37º 39.368 N,75º 26.401 W,2.7,86,4.6,0.3,213,1024.7,61.7,0.0,0.0,15.7
2023-05-18T23:52:10-04:00,16.1,98,S69,7.6,31, ,37º 54.113 N,75º 19.573 W,2.8,93,4.5,,,1025.4,61.4,0.0,0.0,21.1
2023-05-19T01:22:49-04:00,16.3,126,S90,9.8,35, ,38º 05.615 N,75º 11.501 W,3.0,103,4.4,0.0,243,1025.4,62.4,0.0,0.0,20.8
2023-05-19T01:56:17-04:00,14.2,134,S95,9.1,39, ,38º 10.085 N,75º 07.469 W,3.7,101,4.9,0.1,243,1025.4,62.3,0.0,0.0,18.3
2023-05-19T03:39:40-04:00,16.6,129,S90,9.8,38, ,38º 22.705 N,74º 54.500 W,4.3,108,5.0,0.1,193,1026.0,60.8,0.0,0.0,21.2
2023-05-19T05:42:35-04:00,13.4,132,S93,8.6,38, ,38º 37.940 N,74º 39.012 W,4.3,115,5.0,0.1,252,1026.7,59.8,0.0,0.0,17.0
2023-05-19T07:15:27-04:00,11.7,125,S92,7.6,33, ,38º 48.097 N,74º 28.687 W,3.9,119,4.9,0.1,274,1027.1,59.9,0.0,0.0,14.8
2023-05-19T08:50:07-04:00,10.8,115,S90,7.0,25, ,38º 57.890 N,74º 20.621 W,3.5,122,4.9,0.1,337,1027.7,59.2,0.0,0.0,13.7
2023-05-19T09:41:17-04:00,10.0,110,S90,6.5,20, ,39º 03.283 N,74º 17.340 W,3.3,124,4.8,0.1,353,1028.1,58.7,0.0,0.0,12.9
2023-05-19T12:08:40-04:00,9.8,113,S80,5.9,34, ,39º 18.028 N,74º 10.512 W,2.8,128,4.7,0.2,22,1028.0,58.0,0.0,0.0,12.5
2023-05-19T14:00:52-04:00,10.8,119,S85,6.9,34, ,39º 27.617 N,74º 02.280 W,2.6,129,4.7,0.2,18,1027.1,58.4,0.0,0.0,13.6
2023-05-19T15:39:33-04:00,10.6,123,S90,7.2,34, ,39º 37.207 N,73º 54.047 W,2.6,131,4.7,0.2,16,1026.4,58.4,0.0,0.0,13.5
2023-05-19T17:16:57-04:00,10.2,129,S82,6.3,46, ,39º 46.796 N,73º 45.815 W,2.5,133,4.8,0.1,57,1025.8,57.9,0.0,0.0,12.8
2023-05-19T19:07:33-04:00,11.1,133,S87,7.3,46, ,39º 55.093 N,73º 34.443 W,2.7,134,4.9,0.1,45,1025.8,57.4,0.0,0.0,13.6
2023-05-19T21:34:37-04:00,10.9,137,S87,7.1,50, ,40º 07.538 N,73º 17.384 W,2.8,136,5.1,0.1,8,1025.8,57.7,0.0,0.0,13.4
2023-05-19T23:40:33-04:00,10.8,142,S89,7.1,52, ,40º 17.260 N,73º 02.292 W,2.8,139,5.2,0.1,12,1025.5,57.5,0.0,0.0,13.2
2023-05-20T01:50:51-04:00,8.6,147,S94,5.8,53, ,40º 26.128 N,72º 47.203 W,2.8,139,5.4,0.2,21,1024.8,57.7,0.0,0.0,10.3
2023-05-20T03:58:36-04:00,9.9,144,S91,6.8,53, ,40º 33.995 N,72º 33.623 W,2.9,140,5.5,0.2,71,1023.9,58.0,0.0,0.0,12.0
2023-05-20T05:52:07-04:00,10.1,145,S93,6.9,53, ,40º 41.863 N,72º 20.044 W,3.0,140,5.6,0.3,47,1023.6,57.2,0.0,0.0,12.2
2023-05-20T07:53:13-04:00,10.0,122,S77,5.8,45, ,40º 49.731 N,72º 06.464 W,3.0,140,5.8,0.3,55,1023.7,56.0,0.0,0.0,12.1
2023-05-20T09:45:30-04:00,11.9,128,S84,7.6,45, ,40º 57.953 N,71º 55.727 W,3.0,140,5.7,0.1,49,1023.7,55.8,0.0,0.0,14.6
2023-05-20T12:26:12-04:00,13.4,136,S87,8.7,49, ,41º 14.397 N,71º 34.254 W,3.1,139,5.4,0.2,66,1023.1,57.3,0.0,0.0,16.6
2023-05-20T13:31:21-04:00,13.2,139,,,, ,41º 20.640 N,71º 24.695 W,3.3,143,5.3,0.1,70,1022.8,58.1,0.0,0.0,17.5
