,Route,Start Time,Start,End
,UKMO,2023-05-17T16:00:00-04:00,38 57.414N 76 26.352W,41 20.640N 71 24.696W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-17T16:00:00-04:00,8.8,355,P152,3.9,148, ,38º 57.414 N,76º 26.352 W,1.3,359,2.5,0.1,166,1011.5,65.9,0.0,0.0,16.5
2023-05-17T16:22:40-04:00,8.8,356,S156,3.5,200, ,38º 56.184 N,76º 25.352 W,1.3,359,2.5,0.1,165,1011.6,66.1,0.0,0.0,16.6
2023-05-17T18:13:43-04:00,7.4,7,P141,3.6,148, ,38º 50.177 N,76º 28.135 W,1.4,7,2.5,0.0,161,1012.4,66.1,0.0,0.0,16.5
2023-05-17T19:02:46-04:00,6.8,19,P150,3.1,169, ,38º 47.717 N,76º 26.135 W,1.3,8,2.5,0.0,151,1012.9,66.2,0.0,0.0,17.8
2023-05-17T21:06:33-04:00,5.8,47,P122,3.2,169, ,38º 41.503 N,76º 24.568 W,1.4,20,2.5,0.0,90,1014.4,65.5,0.0,0.0,20.8
2023-05-17T23:05:55-04:00,5.1,63,P105,3.0,169, ,38º 35.288 N,76º 23.001 W,1.6,33,2.6,0.0,345,1016.2,64.2,0.0,0.0,20.1
2023-05-18T01:11:04-04:00,5.3,56,P100,3.3,156, ,38º 29.074 N,76º 21.434 W,1.3,42,2.6,0.1,335,1017.5,59.2,0.0,0.0,13.6
2023-05-18T03:05:44-04:00,6.3,46,P116,3.4,162, ,38º 23.371 N,76º 18.191 W,0.9,53,2.2,0.2,337,1018.7,57.3,0.0,0.0,13.5
2023-05-18T05:09:20-04:00,7.9,27,P121,4.7,147, ,38º 16.575 N,76º 15.455 W,1.2,58,2.3,0.2,336,1020.2,56.4,0.0,0.0,17.7
2023-05-18T06:14:13-04:00,9.2,41,P124,5.3,164, ,38º 12.271 N,76º 11.957 W,1.4,57,2.4,0.1,312,1021.0,57.3,0.0,0.0,18.9
2023-05-18T08:21:53-04:00,11.4,47,P117,6.0,164, ,38º 00.502 N,76º 07.733 W,1.5,56,2.5,0.1,355,1022.4,58.7,0.0,0.0,16.4
2023-05-18T10:31:01-04:00,8.1,56,P108,4.4,164, ,37º 48.732 N,76º 03.508 W,1.1,60,2.4,0.1,350,1023.4,61.2,0.0,0.0,11.7
2023-05-18T13:29:01-04:00,6.3,57,P122,3.5,178, ,37º 36.962 N,75º 59.284 W,0.9,79,2.1,0.2,14,1023.9,63.8,0.0,0.0,12.9
