,Route,Start Time,Start,End
,PWG,2023-05-17T16:00:00-04:00,38 57.414N 76 26.352W,41 20.640N 71 24.696W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-17T16:00:00-04:00,16.5,20,P151,6.7,171, ,38º 57.414 N,76º 26.352 W,1.4,356,2.6,0.0,165,1012.8,64.7,0.0,0.0,16.5
2023-05-17T16:31:50-04:00,19.7,23,S156,6.2,227, ,38º 53.931 N,76º 25.611 W,1.5,359,2.6,0.0,166,1012.9,64.6,0.0,0.0,19.7
2023-05-17T16:49:59-04:00,19.2,27,P142,7.0,169, ,38º 52.669 N,76º 27.373 W,1.5,2,2.6,0.0,162,1012.9,65.0,0.0,0.0,19.2
2023-05-17T18:35:13-04:00,18.7,17,P152,6.5,169, ,38º 40.871 N,76º 24.403 W,1.5,12,2.6,0.0,162,1014.1,62.3,0.0,0.0,18.7
2023-05-17T20:23:24-04:00,14.7,30,P135,7.2,165, ,38º 29.074 N,76º 21.434 W,1.8,19,2.8,0.0,322,1015.5,58.8,0.0,0.0,17.8
2023-05-17T21:49:54-04:00,15.1,43,P128,7.6,171, ,38º 18.796 N,76º 17.957 W,1.3,26,2.5,0.1,338,1016.7,58.0,0.0,0.0,17.9
2023-05-17T23:21:07-04:00,9.2,84,P88,6.0,171, ,38º 08.020 N,76º 15.887 W,1.8,37,2.7,0.1,317,1017.7,59.3,0.0,0.0,18.4
2023-05-18T02:08:56-04:00,7.8,74,P105,4.5,179, ,37º 51.856 N,76º 12.783 W,1.2,73,2.5,0.2,0,1018.8,58.5,0.0,0.0,17.1
2023-05-18T03:51:13-04:00,10.1,62,P108,6.0,170, ,37º 43.866 N,76º 12.560 W,1.5,76,2.6,0.2,351,1019.6,57.3,0.0,0.0,12.6
2023-05-18T06:03:12-04:00,11.1,59,P111,6.0,170, ,37º 30.788 N,76º 09.595 W,1.7,70,2.7,0.4,359,1020.9,58.7,0.0,0.0,11.4
2023-05-18T08:17:23-04:00,10.5,55,P99,6.1,154, ,37º 17.711 N,76º 06.631 W,1.9,79,2.8,0.4,3,1022.4,59.8,0.0,0.0,11.3
