,Route,Start Time,Start,End
,UKMO,2023-05-17T16:00:00-04:00,38 57.414N 76 26.352W,41 20.640N 71 24.696W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-17T16:00:00-04:00,8.8,351,S151,3.9,200, ,38º 57.414 N,76º 26.352 W,1.4,356,2.6,0.0,165,1010.9,66.7,0.0,0.0,17.4
2023-05-17T16:09:01-04:00,8.8,352,P156,3.7,148, ,38º 56.867 N,76º 26.605 W,1.4,357,2.6,0.0,164,1010.9,66.8,0.0,0.0,17.4
2023-05-17T16:32:53-04:00,8.7,353,S154,3.5,200, ,38º 55.638 N,76º 25.605 W,1.4,357,2.5,0.0,162,1011.1,66.8,0.0,0.0,17.4
2023-05-17T18:12:06-04:00,7.4,3,P157,3.2,160, ,38º 50.177 N,76º 28.135 W,1.5,11,2.6,0.0,152,1011.8,66.5,0.0,0.0,17.1
2023-05-17T20:16:03-04:00,6.5,47,P122,3.7,169, ,38º 43.927 N,76º 25.145 W,1.4,22,2.5,0.0,98,1013.1,66.2,0.0,0.0,19.6
2023-05-18T00:26:26-04:00,6.2,44,P114,3.5,159, ,38º 29.381 N,76º 21.683 W,1.7,44,2.7,0.1,342,1016.9,61.1,0.0,0.0,17.5
2023-05-18T03:03:16-04:00,9.1,41,P124,5.0,165, ,38º 20.126 N,76º 16.948 W,1.1,56,2.3,0.1,337,1018.5,57.6,0.0,0.0,15.9
2023-05-18T03:57:38-04:00,10.7,44,P126,5.8,169, ,38º 15.722 N,76º 15.458 W,1.5,57,2.5,0.1,334,1019.1,57.7,0.0,0.0,17.7
2023-05-18T06:08:41-04:00,12.0,64,P106,7.2,169, ,38º 02.413 N,76º 12.306 W,1.9,58,2.7,0.1,306,1020.6,58.4,0.0,0.0,21.5
2023-05-18T08:00:12-04:00,12.8,63,P106,7.4,169, ,37º 49.105 N,76º 09.154 W,1.9,56,2.8,0.2,357,1022.0,58.6,0.0,0.0,20.0
2023-05-18T09:55:50-04:00,10.7,57,P113,5.5,169, ,37º 35.797 N,76º 06.001 W,1.5,62,2.7,0.3,356,1023.0,61.1,0.0,0.0,14.6
2023-05-18T12:28:24-04:00,9.3,76,P102,5.6,178, ,37º 22.489 N,76º 02.849 W,1.2,74,2.4,0.3,358,1023.6,63.4,0.0,0.0,14.4
2023-05-18T13:26:13-04:00,10.3,82,P110,5.9,192, ,37º 17.060 N,76º 02.617 W,1.2,83,2.5,0.3,348,1023.5,63.8,0.0,0.0,15.2
2023-05-18T13:46:31-04:00,10.9,84,P84,6.7,168, ,37º 15.115 N,76º 03.126 W,1.2,86,2.5,0.3,341,1023.5,63.7,0.0,0.0,15.5
2023-05-18T14:52:39-04:00,13.8,78,P70,7.4,147, ,37º 07.534 N,76º 01.145 W,1.5,95,3.2,0.3,311,1023.4,63.0,0.0,0.0,16.4
2023-05-18T15:19:15-04:00,15.2,69,P70,7.9,139, ,37º 04.768 N,75º 58.897 W,1.8,90,3.6,0.3,301,1023.4,62.8,0.0,0.0,16.7
2023-05-18T16:07:33-04:00,17.0,57,P69,7.5,126, ,37º 00.019 N,75º 53.644 W,2.6,85,4.3,0.2,287,1023.3,62.8,0.0,0.0,17.0
2023-05-18T17:50:03-04:00,15.7,48,P78,8.2,126, ,36º 52.286 N,75º 40.192 W,3.4,76,4.7,0.3,225,1023.3,63.2,0.0,0.0,18.1
2023-05-18T19:27:55-04:00,13.4,41,P84,8.1,126, ,36º 44.552 N,75º 26.739 W,3.8,75,4.8,0.2,220,1023.3,63.4,0.0,0.0,18.8
