,Route,Start Time,Start,End
,ECMWF,2023-05-17T19:37:16-04:00,38 57.414N 76 26.352W,41 20.640N 71 24.696W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-17T19:37:16-04:00,12.7,27,P136,6.4,163, ,38º 57.414 N,76º 26.352 W,1.4,14,2.5,0.0,83,1013.6,64.8,0.0,0.0,17.9
2023-05-17T20:08:48-04:00,14.0,31,P143,6.8,175, ,38º 54.170 N,76º 25.108 W,1.5,18,2.5,0.0,60,1014.1,65.0,0.0,0.0,18.7
2023-05-17T23:26:13-04:00,13.0,53,P108,7.3,161, ,38º 29.381 N,76º 21.683 W,1.7,36,2.7,0.1,335,1017.4,61.6,0.0,0.0,18.2
2023-05-18T01:48:24-04:00,11.8,62,P109,7.4,171, ,38º 14.253 N,76º 14.961 W,1.4,63,2.4,0.1,333,1018.8,59.3,0.0,0.0,16.7
2023-05-18T03:25:55-04:00,13.5,71,P100,8.2,171, ,38º 01.667 N,76º 12.397 W,1.5,69,2.5,0.1,314,1019.7,59.4,0.0,0.0,18.7
2023-05-18T05:04:33-04:00,12.3,68,P103,7.7,171, ,37º 49.082 N,76º 09.831 W,1.4,76,2.5,0.2,359,1020.6,59.2,0.0,0.0,17.1
2023-05-18T06:39:01-04:00,13.6,80,P91,8.5,171, ,37º 36.496 N,76º 07.266 W,1.7,75,2.7,0.3,355,1021.9,59.5,0.0,0.0,18.6
2023-05-18T08:10:17-04:00,12.6,81,P90,7.6,171, ,37º 23.910 N,76º 04.701 W,1.5,77,2.6,0.4,0,1023.1,60.2,0.0,0.0,17.5
2023-05-18T09:54:07-04:00,12.1,86,P73,6.1,159, ,37º 11.324 N,76º 02.136 W,1.6,91,3.0,0.4,324,1023.9,61.0,0.0,0.0,17.1
2023-05-18T11:00:12-04:00,13.0,88,P59,5.0,147, ,37º 05.075 N,75º 59.146 W,2.1,90,3.8,0.3,302,1024.5,60.9,0.0,0.0,17.6
2023-05-18T11:26:30-04:00,13.2,86,S48,3.7,38, ,37º 03.230 N,75º 57.648 W,2.5,88,4.1,0.3,298,1024.6,61.0,0.0,0.0,17.7
2023-05-18T11:58:20-04:00,13.0,83,P64,5.3,147, ,37º 04.800 N,75º 56.136 W,2.2,89,4.0,0.3,294,1024.7,61.0,0.0,0.0,17.6
2023-05-18T12:06:39-04:00,13.1,83,S49,3.8,34, ,37º 04.185 N,75º 55.636 W,2.3,88,4.1,0.3,293,1024.7,61.1,0.0,0.0,17.6
2023-05-18T12:47:04-04:00,12.9,79,P55,4.5,134, ,37º 06.301 N,75º 53.872 W,1.9,90,4.0,0.3,285,1024.9,61.2,0.0,0.0,17.6
2023-05-18T13:42:20-04:00,13.1,75,S50,4.0,25, ,37º 03.397 N,75º 50.119 W,2.7,84,4.5,0.2,269,1025.0,61.3,0.0,0.0,17.5
2023-05-18T14:31:44-04:00,13.2,74,P56,4.8,130, ,37º 06.366 N,75º 48.351 W,2.5,85,4.4,0.2,259,1025.0,61.2,0.0,0.0,17.7
2023-05-18T15:10:57-04:00,13.8,73,S53,4.7,20, ,37º 04.384 N,75º 45.347 W,3.1,82,4.6,0.3,227,1024.9,61.3,0.0,0.0,18.2
2023-05-18T16:55:25-04:00,14.7,77,S57,5.8,20, ,37º 12.576 N,75º 41.553 W,2.9,81,4.4,0.2,210,1024.8,61.1,0.0,0.0,19.3
2023-05-18T18:30:03-04:00,14.9,82,S56,5.7,26, ,37º 21.314 N,75º 37.507 W,3.1,82,4.6,0.2,202,1025.0,61.0,0.0,0.0,19.4
