,Route,Start Time,Start,End
,GFS,2023-05-17T19:37:16-04:00,38 57.414N 76 26.352W,41 20.640N 71 24.696W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-17T19:37:16-04:00,11.9,27,P136,6.1,163, ,38º 57.414 N,76º 26.352 W,1.4,14,2.5,0.0,83,1014.8,60.5,0.0,0.0,15.7
2023-05-17T20:29:03-04:00,13.3,32,P146,6.2,179, ,38º 52.394 N,76º 24.362 W,1.6,22,2.6,0.0,66,1015.6,59.5,0.0,0.0,17.2
2023-05-17T21:34:52-04:00,15.4,40,P133,7.6,173, ,38º 45.259 N,76º 24.136 W,1.5,31,2.5,0.0,60,1016.5,58.3,0.0,0.0,19.4
2023-05-17T23:40:40-04:00,12.9,49,P108,7.5,157, ,38º 29.381 N,76º 21.683 W,1.6,37,2.7,0.1,335,1018.2,54.5,0.0,0.0,20.6
2023-05-18T00:27:52-04:00,12.4,46,P115,6.9,161, ,38º 23.986 N,76º 18.691 W,1.1,40,2.3,0.1,334,1018.9,53.3,0.0,0.0,20.4
2023-05-18T01:19:43-04:00,12.8,42,P126,6.7,168, ,38º 18.351 N,76º 16.202 W,1.1,55,2.2,0.1,335,1019.6,53.3,0.0,0.0,20.6
2023-05-18T03:13:06-04:00,14.7,51,P117,8.4,168, ,38º 05.222 N,76º 12.673 W,1.5,68,2.5,0.1,313,1020.5,55.3,0.0,0.0,17.7
2023-05-18T04:50:09-04:00,13.0,56,P112,6.9,168, ,37º 52.093 N,76º 09.143 W,1.4,73,2.5,0.1,354,1021.2,55.8,0.0,0.0,14.1
2023-05-18T06:54:43-04:00,10.3,63,P104,5.9,168, ,37º 38.963 N,76º 05.614 W,1.6,75,2.6,0.3,358,1022.8,57.1,0.0,0.0,11.5
2023-05-18T09:14:34-04:00,9.7,76,P109,5.4,184, ,37º 25.834 N,76º 02.084 W,1.2,79,2.4,0.4,2,1024.1,59.4,0.0,0.0,10.7
2023-05-18T10:50:02-04:00,10.5,87,P88,6.6,174, ,37º 16.822 N,76º 03.120 W,1.3,91,2.6,0.3,350,1024.8,61.1,0.0,0.0,10.7
2023-05-18T11:08:24-04:00,10.8,88,P74,5.7,161, ,37º 14.807 N,76º 02.876 W,1.3,93,2.7,0.4,340,1024.9,61.3,0.0,0.0,11.0
2023-05-18T12:58:01-04:00,13.7,83,P64,6.0,147, ,37º 04.153 N,75º 58.397 W,2.2,89,3.9,0.3,299,1025.0,60.3,0.0,0.0,13.9
2023-05-18T13:45:22-04:00,14.5,81,S53,4.8,29, ,37º 00.156 N,75º 55.149 W,2.9,85,4.5,0.2,294,1025.1,60.1,0.0,0.0,15.0
2023-05-18T15:58:07-04:00,13.3,88,S60,5.4,29, ,37º 09.661 N,75º 48.590 W,2.2,84,3.9,0.2,249,1025.2,60.2,0.0,0.0,14.4
2023-05-18T17:51:44-04:00,13.3,101,S78,7.7,24, ,37º 19.166 N,75º 42.032 W,2.4,82,4.1,0.1,210,1025.5,60.4,0.0,0.0,14.5
2023-05-18T18:31:00-04:00,13.6,107,S87,8.8,20, ,37º 23.773 N,75º 39.506 W,2.7,83,4.3,0.1,204,1025.7,60.3,0.0,0.0,15.1
2023-05-18T18:50:46-04:00,13.8,110,S82,8.7,28, ,37º 26.504 N,75º 38.241 W,2.9,83,4.5,0.1,209,1025.8,60.1,0.0,0.0,15.4
2023-05-18T20:51:36-04:00,16.3,116,S87,9.6,28, ,37º 43.070 N,75º 27.040 W,2.8,86,4.5,0.2,232,1026.5,59.5,0.0,0.0,17.5
2023-05-18T22:49:12-04:00,16.3,117,S88,9.7,29, ,37º 59.591 N,75º 15.663 W,2.3,94,4.0,0.2,219,1027.2,59.0,0.0,0.0,18.0
2023-05-19T00:42:11-04:00,15.1,123,S90,9.8,34, ,38º 15.478 N,75º 04.188 W,2.8,90,4.6,0.2,225,1026.9,57.6,0.0,0.0,16.4
2023-05-19T02:31:48-04:00,16.0,128,S94,9.6,34, ,38º 30.292 N,74º 51.444 W,3.2,93,4.7,0.2,180,1026.8,57.5,0.0,0.0,16.0
2023-05-19T04:26:26-04:00,14.1,135,S99,8.5,34, ,38º 45.107 N,74º 38.700 W,3.1,101,4.7,0.2,262,1027.0,57.0,0.0,0.0,14.5
2023-05-19T06:35:05-04:00,13.5,138,S103,8.3,36, ,38º 59.754 N,74º 25.446 W,3.2,112,4.7,0.1,320,1027.6,56.9,0.0,0.0,14.6
2023-05-19T08:43:53-04:00,12.8,138,S102,8.1,36, ,39º 14.316 N,74º 11.936 W,3.4,125,4.7,0.2,14,1028.0,56.7,0.0,0.0,14.0
2023-05-19T10:15:47-04:00,10.7,132,S97,7.1,36, ,39º 24.024 N,74º 02.930 W,3.2,130,4.8,0.3,17,1028.1,56.9,0.0,0.0,12.7
2023-05-19T12:13:57-04:00,10.9,129,S98,7.4,31, ,39º 35.464 N,73º 52.631 W,3.1,136,4.9,0.3,9,1027.3,56.7,0.0,0.0,13.2
2023-05-19T12:59:15-04:00,11.6,129,S92,8.0,38, ,39º 40.242 N,73º 48.850 W,3.0,137,4.9,0.2,23,1026.9,56.6,0.0,0.0,13.7
