,Route,Start Time,Start,End
,PWE,2023-05-17T19:37:16-04:00,38 57.414N 76 26.352W,41 20.640N 71 24.696W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-17T19:37:16-04:00,11.4,26,P122,7.1,148, ,38º 57.414 N,76º 26.352 W,1.4,14,2.5,0.0,83,1013.6,64.8,0.0,0.0,17.9
2023-05-17T19:43:23-04:00,12.1,24,P160,5.7,184, ,38º 56.799 N,76º 25.852 W,1.4,15,2.5,0.0,76,1013.7,64.9,0.0,0.0,18.1
2023-05-17T20:16:18-04:00,12.2,29,S151,5.0,239, ,38º 53.692 N,76º 26.114 W,1.6,19,2.6,0.0,63,1014.2,64.7,0.0,0.0,18.7
2023-05-17T20:21:46-04:00,12.9,32,P151,5.9,183, ,38º 53.453 N,76º 26.617 W,1.6,20,2.6,0.0,63,1014.3,64.5,0.0,0.0,18.8
2023-05-17T21:02:01-04:00,14.0,45,P126,7.7,171, ,38º 49.493 N,76º 26.882 W,1.7,27,2.6,0.0,81,1015.1,63.9,0.0,0.0,19.7
2023-05-17T22:46:24-04:00,16.3,65,P99,9.6,164, ,38º 35.870 N,76º 24.170 W,1.7,36,2.7,0.0,353,1016.9,62.8,0.0,0.0,22.0
2023-05-18T01:58:57-04:00,11.6,107,P69,5.4,175, ,38º 13.468 N,76º 15.717 W,1.3,65,2.4,0.1,334,1018.9,59.2,0.0,0.0,16.8
2023-05-18T04:44:38-04:00,8.7,90,P81,5.4,170, ,37º 59.128 N,76º 14.513 W,1.6,66,2.6,,,1020.6,59.0,0.0,0.0,18.9
2023-05-18T05:37:03-04:00,9.9,79,P69,4.9,147, ,37º 54.485 N,76º 13.526 W,1.3,68,2.5,,,1021.3,58.4,0.0,0.0,17.3
2023-05-18T05:45:57-04:00,10.0,75,P90,6.1,165, ,37º 53.870 N,76º 13.026 W,1.3,67,2.5,0.3,2,1021.4,58.4,0.0,0.0,17.1
2023-05-18T07:34:38-04:00,9.9,60,P105,5.8,165, ,37º 43.298 N,76º 09.450 W,1.6,75,2.7,0.2,354,1022.9,59.0,0.0,0.0,16.8
2023-05-18T10:20:28-04:00,10.0,81,P95,6.4,176, ,37º 27.440 N,76º 04.086 W,1.3,82,2.5,0.4,1,1024.5,60.8,0.0,0.0,14.7
2023-05-18T12:05:36-04:00,12.3,92,P73,6.3,165, ,37º 14.807 N,76º 02.876 W,1.3,94,2.6,0.3,340,1024.8,61.7,0.0,0.0,15.7
2023-05-18T12:34:29-04:00,12.3,84,P70,6.0,154, ,37º 11.870 N,76º 01.883 W,1.4,94,2.9,0.4,324,1024.8,61.7,0.0,0.0,16.5
2023-05-18T13:14:59-04:00,12.6,87,P83,7.5,170, ,37º 08.250 N,75º 59.637 W,1.6,95,3.3,0.3,310,1024.9,61.5,0.0,0.0,17.6
