,Route,Start Time,Start,End
,PWG,2023-05-17T19:37:16-04:00,38 57.414N 76 26.352W,41 20.640N 71 24.696W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-17T19:37:16-04:00,16.6,31,P142,7.1,173, ,38º 57.414 N,76º 26.352 W,1.4,14,2.5,0.0,83,1014.8,60.5,0.0,0.0,16.6
2023-05-17T20:04:21-04:00,17.5,37,P139,7.2,176, ,38º 54.238 N,76º 25.861 W,1.6,18,2.6,0.0,60,1015.2,60.0,0.0,0.0,17.5
2023-05-17T21:42:11-04:00,20.4,39,P137,7.3,176, ,38º 42.766 N,76º 24.898 W,1.6,31,2.6,0.0,47,1016.6,58.2,0.0,0.0,20.4
2023-05-17T23:18:02-04:00,20.6,43,P127,8.2,171, ,38º 31.294 N,76º 23.935 W,1.7,36,2.7,0.1,331,1017.8,55.6,0.0,0.0,20.6
2023-05-17T23:43:52-04:00,16.4,59,P115,8.5,174, ,38º 27.812 N,76º 23.195 W,1.5,37,2.7,0.1,331,1018.2,54.6,0.0,0.0,20.3
2023-05-18T00:35:26-04:00,13.7,50,P117,7.7,167, ,38º 20.608 N,76º 22.216 W,1.2,40,2.5,0.1,342,1019.0,53.0,0.0,0.0,19.7
2023-05-18T03:07:52-04:00,12.0,38,P123,6.4,161, ,38º 02.203 N,76º 17.012 W,1.5,70,2.5,0.1,320,1020.4,56.3,0.0,0.0,17.1
2023-05-18T04:03:39-04:00,11.7,44,P103,7.6,147, ,37º 56.568 N,76º 14.523 W,1.3,71,2.5,,,1020.8,56.4,0.0,0.0,15.5
2023-05-18T04:23:52-04:00,12.6,53,P116,7.3,169, ,37º 54.416 N,76º 12.773 W,1.2,72,2.4,,,1021.0,56.1,0.0,0.0,14.8
2023-05-18T06:03:19-04:00,14.2,49,P120,7.4,169, ,37º 42.533 N,76º 09.805 W,1.6,78,2.7,0.2,352,1022.1,56.4,0.0,0.0,14.2
