,Route,Start Time,Start,End
,SPIRE,2023-05-17T19:37:16-04:00,38 57.414N 76 26.352W,41 20.640N 71 24.696W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-17T19:37:16-04:00,11.1,26,P147,5.2,173, ,38º 57.414 N,76º 26.352 W,1.4,14,2.5,0.0,83,1013.6,64.8,0.0,0.0,17.9
2023-05-17T21:40:36-04:00,12.7,38,P134,6.4,173, ,38º 46.201 N,76º 24.485 W,1.6,31,2.5,0.0,65,1015.8,63.5,0.0,0.0,21.5
2023-05-18T00:20:39-04:00,9.9,57,P104,5.9,161, ,38º 29.381 N,76º 21.683 W,1.6,40,2.7,0.1,338,1018.1,60.1,0.0,0.0,17.2
2023-05-18T02:40:46-04:00,11.8,45,P124,6.4,170, ,38º 16.336 N,76º 15.958 W,1.2,61,2.4,0.1,334,1019.5,58.0,0.0,0.0,16.0
2023-05-18T04:36:10-04:00,13.4,54,P115,7.6,170, ,38º 03.543 N,76º 12.992 W,1.6,63,2.6,0.1,316,1020.6,58.7,0.0,0.0,19.9
2023-05-18T06:14:49-04:00,12.5,60,P108,7.1,168, ,37º 51.314 N,76º 09.974 W,1.4,68,2.5,0.2,356,1021.8,58.4,0.0,0.0,16.8
2023-05-18T07:58:21-04:00,10.9,70,P98,6.5,168, ,37º 39.650 N,76º 06.904 W,1.6,75,2.7,0.3,356,1023.2,59.1,0.0,0.0,16.9
2023-05-18T09:54:55-04:00,9.0,87,P91,5.5,178, ,37º 27.986 N,76º 03.833 W,1.3,80,2.5,0.4,1,1024.2,60.5,0.0,0.0,15.1
2023-05-18T11:40:41-04:00,9.8,90,P83,5.8,173, ,37º 17.982 N,76º 03.367 W,1.3,91,2.5,0.3,356,1024.7,61.8,0.0,0.0,15.0
2023-05-18T12:13:30-04:00,10.1,88,P77,5.6,165, ,37º 14.807 N,76º 02.876 W,1.3,94,2.6,0.3,340,1024.8,61.8,0.0,0.0,15.8
