,Route,Start Time,Start,End
,UKMO,2023-05-17T19:37:16-04:00,38 57.414N 76 26.352W,41 20.640N 71 24.696W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-17T19:37:16-04:00,8.9,35,P127,4.7,162, ,38º 57.414 N,76º 26.352 W,1.4,14,2.5,0.0,83,1013.6,64.8,0.0,0.0,17.9
2023-05-17T20:01:06-04:00,9.2,41,P133,4.3,173, ,38º 55.638 N,76º 25.605 W,1.5,16,2.5,0.0,60,1014.0,64.8,0.0,0.0,18.4
2023-05-17T21:32:46-04:00,7.5,48,P126,3.8,173, ,38º 49.074 N,76º 24.625 W,1.6,30,2.6,0.0,75,1015.7,63.5,0.0,0.0,21.0
2023-05-17T23:16:29-04:00,7.0,47,P126,3.5,173, ,38º 42.509 N,76º 23.644 W,1.6,40,2.5,0.0,34,1017.5,61.5,0.0,0.0,22.4
2023-05-18T01:09:29-04:00,5.8,53,P121,2.7,173, ,38º 35.945 N,76º 22.664 W,1.6,49,2.7,0.1,352,1018.9,59.3,0.0,0.0,19.5
2023-05-18T03:37:29-04:00,5.2,34,P118,2.8,153, ,38º 29.381 N,76º 21.683 W,1.5,48,2.6,0.1,344,1020.5,56.1,0.0,0.0,16.2
2023-05-18T05:26:51-04:00,6.0,35,P129,3.3,164, ,38º 24.839 N,76º 18.688 W,1.2,48,2.3,0.2,338,1021.8,54.5,0.0,0.0,15.8
2023-05-18T07:22:14-04:00,7.9,52,P96,5.2,147, ,38º 18.658 N,76º 16.451 W,1.1,56,2.3,0.2,334,1023.4,55.0,0.0,0.0,16.0
2023-05-18T08:25:29-04:00,8.8,70,P86,5.5,156, ,38º 14.047 N,76º 12.704 W,1.4,61,2.5,0.2,327,1024.0,56.4,0.0,0.0,16.8
2023-05-18T08:57:39-04:00,9.3,80,P88,5.7,168, ,38º 11.349 N,76º 11.207 W,1.3,63,2.4,0.2,320,1024.2,57.6,0.0,0.0,16.3
2023-05-18T12:53:20-04:00,9.2,92,P80,5.4,172, ,37º 52.398 N,76º 06.256 W,1.0,95,2.3,0.2,348,1025.2,61.2,0.0,0.0,13.9
2023-05-18T16:09:44-04:00,12.7,118,P62,5.8,181, ,37º 34.745 N,76º 03.056 W,1.2,96,2.3,0.2,4,1024.9,62.4,0.0,0.0,16.1
2023-05-18T19:14:17-04:00,14.9,103,P58,6.0,161, ,37º 15.115 N,76º 03.126 W,1.5,95,2.7,0.2,343,1024.8,61.9,0.0,0.0,18.3
2023-05-18T21:04:24-04:00,16.1,90,P57,6.4,147, ,37º 04.153 N,75º 58.397 W,2.6,89,3.9,0.2,298,1024.9,62.6,0.0,0.0,22.2
2023-05-18T21:56:17-04:00,16.3,80,P55,5.8,135, ,36º 59.542 N,75º 54.649 W,3.5,86,4.4,0.2,293,1025.1,62.6,0.0,0.0,22.7
2023-05-19T00:44:15-04:00,11.2,98,S59,5.0,39, ,36º 48.301 N,75º 40.636 W,4.4,86,5.0,0.1,226,1025.1,63.6,0.0,0.0,21.2
2023-05-19T03:32:08-04:00,11.0,104,S61,4.9,43, ,36º 59.766 N,75º 29.051 W,4.4,92,5.3,0.2,202,1025.3,63.3,0.0,0.0,16.0
2023-05-19T06:22:10-04:00,11.4,102,S55,4.4,47, ,37º 09.524 N,75º 17.472 W,4.7,99,5.4,0.3,244,1025.8,63.1,0.0,0.0,19.3
2023-05-19T08:56:53-04:00,10.0,113,S54,3.4,59, ,37º 17.644 N,75º 06.652 W,4.9,106,5.5,0.2,216,1026.4,63.2,0.0,0.0,18.2
2023-05-19T10:52:44-04:00,9.5,106,S47,3.2,59, ,37º 20.986 N,74º 59.614 W,5.1,110,5.6,0.2,211,1027.0,63.6,0.0,0.0,18.6
2023-05-19T12:44:58-04:00,11.0,106,S57,4.5,49, ,37º 24.089 N,74º 53.078 W,5.2,112,5.7,0.2,206,1026.4,63.6,0.0,0.0,18.8
2023-05-19T13:41:54-04:00,10.6,112,S59,4.4,52, ,37º 26.852 N,74º 49.053 W,5.2,113,5.7,0.3,202,1026.1,63.5,0.0,0.0,18.5
2023-05-19T15:49:35-04:00,9.0,121,S62,4.1,59, ,37º 32.549 N,74º 39.747 W,5.1,116,5.8,0.2,205,1025.1,64.5,0.0,0.0,16.9
