,Route,Start Time,Start,End
,SPIRE,2023-05-18T16:00:00-04:00,38 57.414N 76 26.352W,41 20.640N 71 24.696W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-18T16:00:00-04:00,4.7,79,P91,3.1,170, ,38º 57.414 N,76º 26.352 W,0.2,34,2.0,0.1,343,1023.6,63.7,0.0,0.0,6.7
2023-05-18T18:52:30-04:00,6.7,113,P63,2.7,176, ,38º 48.980 N,76º 24.374 W,0.2,23,1.8,0.1,14,1023.5,64.5,0.0,0.0,9.4
2023-05-18T21:00:47-04:00,7.3,126,S52,2.4,73, ,38º 43.244 N,76º 23.893 W,0.6,126,2.0,0.1,9,1024.4,63.4,0.0,0.0,13.0
2023-05-18T21:35:58-04:00,7.6,125,P53,2.6,178, ,38º 43.652 N,76º 22.135 W,0.7,129,2.0,0.1,8,1024.8,62.4,0.0,0.0,15.3
2023-05-18T23:39:40-04:00,7.5,126,P66,3.4,192, ,38º 38.224 N,76º 21.903 W,1.3,126,2.3,0.1,0,1025.6,59.9,0.0,0.0,18.1
2023-05-19T00:14:26-04:00,7.3,125,S66,3.2,59, ,38º 36.278 N,76º 22.412 W,1.2,125,2.4,0.1,359,1025.5,59.6,0.0,0.0,16.9
2023-05-19T00:23:03-04:00,7.3,124,P58,2.9,182, ,38º 36.517 N,76º 21.909 W,1.2,125,2.4,0.1,359,1025.5,59.5,0.0,0.0,16.7
2023-05-19T02:03:43-04:00,6.3,116,P58,2.5,173, ,38º 31.703 N,76º 22.177 W,1.0,121,2.4,0.1,348,1025.3,59.0,0.0,0.0,12.5
2023-05-19T04:28:17-04:00,7.0,117,P56,2.7,173, ,38º 25.739 N,76º 21.278 W,0.8,122,2.2,0.1,337,1025.3,60.5,0.0,0.0,11.7
2023-05-19T06:43:33-04:00,8.3,121,P52,2.9,173, ,38º 19.775 N,76º 20.380 W,1.1,130,2.4,0.1,334,1025.7,62.8,0.0,0.0,16.2
2023-05-19T08:46:49-04:00,9.6,125,S51,3.2,74, ,38º 13.812 N,76º 19.480 W,1.5,131,2.8,0.1,339,1026.3,63.7,0.0,0.0,18.3
2023-05-19T09:40:20-04:00,10.5,128,P46,3.2,174, ,38º 14.629 N,76º 15.964 W,1.7,132,2.8,0.1,334,1026.6,64.1,0.0,0.0,17.3
2023-05-19T11:22:42-04:00,10.7,127,P47,3.4,174, ,38º 09.226 N,76º 15.230 W,1.7,132,2.8,0.1,333,1026.7,64.6,0.0,0.0,17.0
2023-05-19T12:59:54-04:00,10.7,123,P51,3.7,174, ,38º 03.823 N,76º 14.497 W,1.8,128,2.9,0.1,333,1025.8,64.5,0.0,0.0,17.4
2023-05-19T15:43:04-04:00,10.9,112,P59,4.6,171, ,37º 53.016 N,76º 13.030 W,1.4,120,2.6,0.0,10,1024.1,65.1,0.0,0.0,17.7
2023-05-19T18:03:04-04:00,10.9,101,P70,5.6,171, ,37º 41.817 N,76º 10.894 W,1.9,108,2.9,0.0,322,1022.8,65.0,0.0,0.0,20.5
2023-05-19T20:00:26-04:00,10.5,88,P83,6.5,171, ,37º 30.617 N,76º 08.759 W,1.8,93,2.9,0.0,310,1022.3,65.1,0.0,0.0,19.3
2023-05-19T21:39:36-04:00,11.1,79,P83,6.9,162, ,37º 19.418 N,76º 06.625 W,1.7,90,3.0,0.0,189,1022.0,66.0,0.0,0.0,17.7
2023-05-19T23:12:30-04:00,11.9,72,P75,6.8,147, ,37º 09.071 N,76º 02.395 W,2.0,104,4.3,0.1,182,1021.6,66.0,0.0,0.0,17.9
2023-05-19T23:57:50-04:00,12.9,70,P52,4.8,122, ,37º 04.768 N,75º 58.897 W,2.7,103,5.2,0.1,153,1021.0,65.6,0.1,0.0,19.1
2023-05-20T01:20:07-04:00,13.6,66,P51,4.8,117, ,37º 01.281 N,75º 51.883 W,4.0,105,6.0,0.1,116,1019.8,65.3,0.2,0.0,19.0
2023-05-20T02:30:44-04:00,13.0,68,S54,4.8,13, ,36º 58.717 N,75º 45.617 W,5.1,105,6.1,0.0,176,1018.6,65.9,0.5,0.0,20.6
2023-05-20T03:59:50-04:00,11.2,76,S56,4.4,20, ,37º 05.647 N,75º 43.585 W,5.0,107,6.2,0.0,43,1017.6,65.9,1.3,0.0,21.7
2023-05-20T06:01:58-04:00,9.7,91,S71,5.1,20, ,37º 14.384 N,75º 39.539 W,5.3,112,6.1,0.1,41,1016.9,66.1,3.5,0.0,23.5
2023-05-20T07:45:50-04:00,9.8,99,S79,6.0,20, ,37º 23.122 N,75º 35.492 W,6.0,117,6.2,0.2,49,1016.6,67.2,4.6,0.0,24.5
2023-05-20T09:17:09-04:00,10.4,101,S80,6.4,20, ,37º 31.860 N,75º 31.446 W,5.9,120,6.2,0.2,80,1016.7,66.9,3.3,0.0,24.2
2023-05-20T10:49:20-04:00,9.3,112,S81,5.8,31, ,37º 41.144 N,75º 27.147 W,5.9,124,6.2,0.2,78,1016.7,66.8,2.4,0.1,23.7
2023-05-20T13:30:24-04:00,7.7,144,S95,5.0,50, ,37º 53.908 N,75º 17.314 W,5.6,132,6.3,0.2,35,1015.6,67.0,1.1,0.0,27.7
2023-05-20T15:52:59-04:00,7.5,160,S101,4.9,59, ,38º 01.412 N,75º 05.995 W,6.8,135,6.4,0.2,47,1014.6,66.7,0.5,0.0,27.2
2023-05-20T17:23:05-04:00,8.1,164,S105,5.2,59, ,38º 05.232 N,74º 57.950 W,7.3,137,6.4,0.2,39,1014.0,66.8,0.3,0.0,27.0
2023-05-20T19:21:06-04:00,9.2,169,S110,5.7,59, ,38º 10.722 N,74º 46.387 W,7.7,139,6.5,0.1,45,1013.7,67.1,0.9,0.0,27.6
2023-05-20T21:31:20-04:00,9.5,189,S123,5.2,66, ,38º 16.928 N,74º 33.315 W,8.2,140,6.6,0.2,58,1013.4,67.2,0.2,0.0,27.5
2023-05-21T00:23:34-04:00,10.0,223,P157,4.6,20, ,38º 22.553 N,74º 16.983 W,8.4,142,6.8,0.2,65,1012.7,67.8,1.2,0.1,26.8
2023-05-21T02:56:29-04:00,11.4,245,P135,6.2,20, ,38º 34.567 N,74º 11.419 W,8.1,144,6.9,0.2,59,1011.5,67.4,2.8,0.1,23.2
2023-05-21T04:55:06-04:00,12.2,263,P126,6.9,28, ,38º 46.582 N,74º 05.855 W,7.7,144,6.9,0.2,62,1010.8,66.9,3.2,0.1,18.4
2023-05-21T06:49:37-04:00,12.0,278,P110,7.4,28, ,38º 58.493 N,73º 57.594 W,7.3,144,7.0,0.3,76,1011.1,63.9,2.3,0.1,14.2
2023-05-21T08:37:39-04:00,11.6,282,P106,7.0,28, ,39º 10.403 N,73º 49.333 W,6.9,144,7.0,0.2,73,1011.2,61.6,1.8,0.1,11.6
