,Route,Start Time,Start,End
,PWG,2023-05-19T16:00:00-04:00,38 57.414N 76 26.352W,41 20.640N 71 24.696W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-19T16:00:00-04:00,18.6,165,S49,4.9,116, ,38º 57.414 N,76º 26.352 W,1.1,172,2.3,0.1,336,1017.9,66.8,0.0,0.0,18.6
2023-05-19T16:10:36-04:00,19.2,168,P49,4.8,217, ,38º 57.038 N,76º 25.349 W,1.1,173,2.3,0.1,336,1017.7,66.7,0.0,0.0,19.2
2023-05-19T16:34:54-04:00,20.4,166,S50,4.9,116, ,38º 55.468 N,76º 26.860 W,1.2,173,2.4,0.1,335,1017.3,66.6,0.0,0.0,20.4
2023-05-19T16:45:31-04:00,21.5,168,P49,4.7,217, ,38º 55.092 N,76º 25.858 W,1.3,174,2.4,0.1,335,1017.1,66.5,0.0,0.0,21.5
2023-05-19T16:57:56-04:00,21.3,168,S52,5.1,116, ,38º 54.307 N,76º 26.614 W,1.3,173,2.4,0.1,334,1016.9,66.4,0.0,0.0,21.3
2023-05-19T17:08:10-04:00,21.6,169,P48,4.7,217, ,38º 53.931 N,76º 25.611 W,1.3,173,2.4,0.1,334,1016.8,66.3,0.0,0.0,21.6
2023-05-19T17:20:48-04:00,21.5,168,S45,4.5,123, ,38º 53.146 N,76º 26.367 W,1.3,172,2.4,0.1,334,1016.8,66.1,0.0,0.0,21.5
2023-05-19T18:03:49-04:00,20.0,171,P46,4.5,217, ,38º 51.403 N,76º 22.860 W,1.2,167,2.3,0.0,339,1016.6,65.6,0.0,0.0,20.0
2023-05-19T18:29:43-04:00,20.8,168,S52,5.1,116, ,38º 49.833 N,76º 24.371 W,1.2,164,2.4,0.0,333,1016.5,65.2,0.0,0.0,20.8
2023-05-19T18:49:59-04:00,19.5,168,P55,5.6,224, ,38º 49.081 N,76º 22.366 W,1.2,162,2.3,0.0,336,1016.4,65.1,0.0,0.0,19.5
2023-05-19T19:05:17-04:00,20.5,167,S51,4.9,116, ,38º 48.058 N,76º 23.624 W,1.2,160,2.4,0.0,332,1016.4,64.8,0.0,0.0,20.5
2023-05-19T19:15:48-04:00,20.0,167,P47,4.8,213, ,38º 47.681 N,76º 22.622 W,1.1,159,2.3,0.0,328,1016.4,64.7,0.0,0.0,20.0
2023-05-19T21:02:06-04:00,17.5,164,S52,5.2,112, ,38º 40.549 N,76º 28.670 W,1.1,144,2.4,0.0,315,1015.7,62.5,0.0,0.0,17.5
2023-05-19T22:43:43-04:00,16.6,159,P50,5.0,209, ,38º 37.334 N,76º 18.392 W,0.9,126,2.2,0.1,326,1015.1,60.1,0.0,0.0,16.8
2023-05-20T00:34:34-04:00,14.1,167,S56,5.3,111, ,38º 29.587 N,76º 23.941 W,0.8,112,2.2,0.0,185,1013.5,59.6,0.0,0.0,15.6
2023-05-20T01:00:32-04:00,14.9,165,P52,5.2,217, ,38º 28.766 N,76º 21.184 W,0.7,107,2.2,0.0,90,1013.1,59.9,0.0,0.0,15.2
2023-05-20T01:34:25-04:00,12.7,168,S56,5.1,112, ,38º 26.412 N,76º 23.450 W,0.7,101,2.2,0.0,126,1012.5,60.3,0.0,0.0,14.5
2023-05-20T02:11:39-04:00,15.2,167,P50,4.9,217, ,38º 25.215 N,76º 19.690 W,0.7,96,2.1,0.0,129,1012.0,61.0,0.0,0.0,15.2
2023-05-20T02:23:47-04:00,15.0,168,S53,5.2,116, ,38º 24.430 N,76º 20.446 W,0.7,93,2.1,0.0,131,1011.8,61.0,0.0,0.0,15.0
