,Route,Start Time,Start,End
,SPIRE,2023-05-19T16:00:00-04:00,38 57.414N 76 26.352W,41 20.640N 71 24.696W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-19T16:00:00-04:00,7.5,158,S56,2.8,102, ,38º 57.414 N,76º 26.352 W,1.1,172,2.3,0.1,336,1023.8,66.9,0.0,0.0,16.2
2023-05-19T17:07:49-04:00,8.1,152,P47,2.6,200, ,38º 56.763 N,76º 22.339 W,1.2,175,2.3,0.0,344,1023.1,67.1,0.0,0.0,17.7
2023-05-19T17:48:25-04:00,8.3,151,S54,3.0,97, ,38º 55.124 N,76º 23.098 W,1.2,171,2.4,0.0,337,1023.1,66.5,0.0,0.0,17.2
2023-05-19T18:00:22-04:00,8.4,150,P50,2.8,200, ,38º 55.056 N,76º 22.345 W,1.2,170,2.3,0.0,345,1023.1,66.6,0.0,0.0,17.0
2023-05-19T18:49:42-04:00,8.5,148,S52,2.9,97, ,38º 52.871 N,76º 23.357 W,1.3,164,2.4,0.0,336,1023.1,66.3,0.0,0.0,16.9
2023-05-19T19:02:02-04:00,8.6,147,P53,3.1,200, ,38º 52.802 N,76º 22.604 W,1.2,163,2.4,0.0,338,1023.0,66.3,0.0,0.0,16.7
2023-05-19T20:09:45-04:00,8.6,145,S49,2.7,97, ,38º 49.526 N,76º 24.121 W,1.2,156,2.4,0.0,326,1023.0,66.0,0.0,0.0,16.7
2023-05-19T20:36:11-04:00,8.5,142,P54,3.2,196, ,38º 49.388 N,76º 22.616 W,1.1,153,2.3,0.0,329,1023.1,65.4,0.0,0.0,16.2
2023-05-19T21:57:26-04:00,7.8,134,P47,2.6,182, ,38º 45.259 N,76º 24.136 W,1.0,142,2.3,0.0,310,1023.5,64.1,0.0,0.0,15.4
2023-05-20T00:02:26-04:00,6.5,114,P67,3.3,182, ,38º 39.773 N,76º 24.323 W,0.9,122,2.2,0.0,300,1023.0,62.5,0.0,0.0,13.5
2023-05-20T01:43:03-04:00,5.6,93,P88,3.5,182, ,38º 34.288 N,76º 24.510 W,0.7,105,2.1,0.0,180,1021.8,61.6,0.0,0.0,11.7
2023-05-20T03:16:58-04:00,5.3,74,P88,3.6,162, ,38º 28.802 N,76º 24.697 W,0.7,93,2.1,0.0,165,1020.5,61.4,0.0,0.0,11.8
2023-05-20T04:19:37-04:00,5.8,62,P85,4.0,147, ,38º 25.251 N,76º 23.204 W,0.7,89,2.1,0.1,129,1019.7,61.5,0.0,0.0,13.8
2023-05-20T06:34:24-04:00,7.5,42,P106,4.8,147, ,38º 17.258 N,76º 16.708 W,1.1,78,2.3,0.0,131,1018.8,63.2,0.6,0.0,16.0
2023-05-20T08:27:35-04:00,8.9,48,P120,5.0,169, ,38º 09.266 N,76º 10.211 W,1.5,75,2.5,0.0,33,1017.8,64.3,2.4,0.0,19.9
2023-05-20T11:07:21-04:00,8.0,90,P91,5.3,180, ,37º 55.574 N,76º 06.746 W,2.1,127,3.0,0.0,325,1015.8,67.6,5.0,0.0,19.7
2023-05-20T11:36:35-04:00,7.5,102,P98,4.7,200, ,37º 53.013 N,76º 06.755 W,2.1,135,3.0,0.0,325,1015.6,67.7,4.8,0.0,20.5
2023-05-20T12:43:55-04:00,6.1,137,P88,3.0,224, ,37º 48.098 N,76º 09.032 W,2.1,147,3.0,0.1,176,1015.2,67.8,4.5,0.0,20.6
2023-05-20T14:39:36-04:00,4.4,166,P59,1.7,224, ,37º 44.003 N,76º 14.065 W,1.7,154,2.9,0.1,179,1014.3,68.0,3.6,0.0,18.3
2023-05-20T16:18:32-04:00,3.9,183,S53,1.8,130, ,37º 41.957 N,76º 16.582 W,1.4,152,2.8,0.1,179,1013.3,68.5,3.0,0.0,15.3
2023-05-20T19:46:55-04:00,3.6,209,S62,2.2,147, ,37º 37.993 N,76º 10.574 W,1.7,161,3.0,0.1,181,1012.4,68.7,0.9,0.0,14.7
2023-05-20T22:36:18-04:00,5.3,250,S83,3.7,166, ,37º 31.845 N,76º 05.576 W,1.1,168,2.8,0.2,188,1012.5,68.7,0.4,0.1,12.9
2023-05-21T00:48:31-04:00,6.4,273,S93,4.4,180, ,37º 23.650 N,76º 03.096 W,0.8,187,2.7,0.2,185,1011.6,68.6,2.6,0.1,12.3
2023-05-21T02:44:37-04:00,6.8,289,S125,4.0,164, ,37º 15.115 N,76º 03.126 W,1.0,163,4.5,0.2,180,1010.9,68.0,2.9,0.1,10.3
2023-05-21T05:26:37-04:00,9.8,319,P137,4.9,97, ,37º 04.529 N,75º 59.399 W,2.4,116,6.8,0.3,139,1010.8,67.5,1.3,0.0,10.1
2023-05-21T05:34:02-04:00,9.9,320,P118,5.7,80, ,37º 04.460 N,75º 58.647 W,2.5,115,6.8,0.3,137,1010.9,67.4,1.3,0.0,10.3
2023-05-21T07:57:18-04:00,10.8,326,P112,6.6,78, ,37º 07.505 N,75º 40.567 W,4.7,116,7.2,0.3,100,1011.7,66.8,0.1,0.0,12.7
2023-05-21T09:55:32-04:00,10.7,324,P108,6.4,72, ,37º 10.211 N,75º 24.998 W,5.4,117,7.0,0.0,36,1011.8,67.1,0.2,0.0,13.5
2023-05-21T12:18:55-04:00,9.7,327,P98,6.2,64, ,37º 14.845 N,75º 07.164 W,5.6,116,6.9,0.1,108,1012.0,68.1,0.5,0.0,14.4
2023-05-21T13:59:31-04:00,9.0,331,P93,6.0,64, ,37º 19.328 N,74º 55.479 W,5.7,112,6.8,0.2,131,1012.0,67.7,0.0,0.0,16.1
2023-05-21T15:46:44-04:00,8.2,326,P93,5.2,59, ,37º 23.811 N,74º 43.793 W,5.6,113,6.8,0.2,162,1012.0,67.5,0.0,0.0,15.5
2023-05-21T17:25:20-04:00,7.2,322,P94,4.5,55, ,37º 28.108 N,74º 34.744 W,5.4,114,6.9,0.2,176,1012.0,67.3,0.0,0.0,13.1
2023-05-21T18:39:07-04:00,6.4,319,P89,3.9,49, ,37º 31.279 N,74º 28.961 W,5.3,114,6.9,0.1,180,1012.1,67.6,0.0,0.0,11.8
2023-05-21T20:13:42-04:00,5.5,314,P94,3.7,49, ,37º 35.305 N,74º 23.174 W,5.1,114,6.9,0.1,200,1012.1,68.3,0.0,0.0,11.0
2023-05-21T21:53:12-04:00,6.2,317,P102,3.8,59, ,37º 39.330 N,74º 17.388 W,4.9,113,6.8,0.2,206,1012.1,68.8,0.0,0.0,13.1
2023-05-21T23:39:01-04:00,6.9,324,P95,4.6,59, ,37º 42.911 N,74º 09.847 W,4.8,111,6.8,0.1,228,1012.2,69.1,0.0,0.0,14.9
2023-05-22T01:13:04-04:00,7.3,337,P89,4.9,66, ,37º 46.730 N,74º 01.802 W,4.8,109,6.7,0.3,25,1012.3,69.5,0.0,0.0,16.4
2023-05-22T02:21:29-04:00,7.0,348,P88,5.0,77, ,37º 48.980 N,73º 55.270 W,4.7,106,6.6,0.6,33,1012.5,69.5,0.0,0.0,16.1
2023-05-22T04:34:08-04:00,7.7,360,P85,5.6,85, ,37º 51.465 N,73º 41.960 W,5.0,90,6.3,0.8,54,1013.1,68.1,0.0,0.0,17.4
2023-05-22T06:16:01-04:00,9.0,0,P83,6.2,84, ,37º 52.312 N,73º 29.409 W,5.2,75,6.0,1.0,71,1013.4,66.9,0.0,0.0,21.1
