,Route,Start Time,Start,End
,GFS,2023-05-19T16:00:00-04:00,38 57.414N 76 26.352W,41 20.640N 71 24.696W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-19T16:00:00-04:00,9.8,175,S48,3.2,127, ,38º 57.414 N,76º 26.352 W,1.4,180,2.4,0.1,330,1019.1,67.4,0.0,0.0,11.3
2023-05-19T17:13:28-04:00,10.3,178,P49,3.4,227, ,38º 55.056 N,76º 22.345 W,1.4,182,2.4,0.1,334,1018.3,66.6,0.0,0.0,11.9
2023-05-19T17:46:25-04:00,10.7,172,S47,3.2,125, ,38º 53.794 N,76º 24.106 W,1.5,177,2.5,0.1,328,1018.1,66.1,0.0,0.0,12.9
2023-05-19T18:08:26-04:00,10.8,172,P45,3.2,217, ,38º 53.110 N,76º 22.853 W,1.5,174,2.5,0.1,331,1018.1,65.8,0.0,0.0,13.5
2023-05-19T18:26:58-04:00,10.9,170,S54,3.9,116, ,38º 52.325 N,76º 23.609 W,1.5,172,2.5,0.1,329,1018.0,65.5,0.0,0.0,14.0
2023-05-19T18:40:15-04:00,11.0,170,P51,3.7,221, ,38º 51.949 N,76º 22.607 W,1.4,170,2.5,0.1,332,1017.9,65.3,0.0,0.0,14.4
2023-05-19T19:18:49-04:00,11.1,167,S55,4.0,112, ,38º 50.141 N,76º 24.621 W,1.5,166,2.5,0.1,325,1017.8,64.5,0.0,0.0,15.4
2023-05-19T20:05:50-04:00,11.3,163,P61,4.7,224, ,38º 48.944 N,76º 20.861 W,1.3,161,2.4,0.0,329,1017.6,64.0,0.0,0.0,16.2
2023-05-19T20:23:58-04:00,11.3,162,P52,4.0,214, ,38º 47.920 N,76º 22.119 W,1.3,159,2.4,0.1,324,1017.4,63.5,0.0,0.0,16.2
2023-05-19T21:16:28-04:00,11.4,159,S51,3.8,108, ,38º 45.020 N,76º 24.639 W,1.2,152,2.4,0.1,318,1017.0,62.4,0.0,0.0,16.3
2023-05-19T21:39:10-04:00,11.4,156,P61,4.7,217, ,38º 44.575 N,76º 22.884 W,1.2,148,2.3,0.1,318,1016.9,62.0,0.0,0.0,16.3
2023-05-19T21:51:37-04:00,11.2,155,S50,3.7,105, ,38º 43.790 N,76º 23.639 W,1.2,147,2.4,0.1,315,1016.8,61.6,0.0,0.0,16.4
2023-05-19T22:24:33-04:00,11.3,151,P54,4.0,203, ,38º 43.276 N,76º 21.132 W,1.1,141,2.2,0.1,314,1016.6,60.8,0.0,0.0,16.4
2023-05-20T00:24:20-04:00,8.4,153,P58,2.8,212, ,38º 36.245 N,76º 25.172 W,0.9,126,2.3,0.0,236,1015.0,59.3,0.0,0.0,14.2
2023-05-20T02:25:23-04:00,6.1,169,S53,2.2,116, ,38º 31.468 N,76º 28.954 W,0.6,113,2.2,0.0,152,1013.4,58.4,0.0,0.0,11.9
2023-05-20T02:48:40-04:00,6.1,172,P45,1.8,217, ,38º 31.092 N,76º 27.951 W,0.6,113,2.2,0.0,151,1013.1,58.3,0.0,0.0,11.6
2023-05-20T03:22:11-04:00,5.9,181,S57,2.8,123, ,38º 30.307 N,76º 28.707 W,0.5,111,2.2,0.0,151,1012.8,58.1,0.0,0.0,11.4
2023-05-20T05:21:53-04:00,6.0,210,S62,3.3,148, ,38º 27.197 N,76º 22.695 W,0.5,117,2.1,0.1,138,1011.8,59.3,0.0,0.0,10.1
2023-05-20T07:31:40-04:00,7.4,250,S85,5.2,165, ,38º 20.126 N,76º 16.948 W,0.8,127,2.2,0.0,170,1012.0,62.1,0.0,0.0,11.4
2023-05-20T09:48:21-04:00,12.4,303,S138,6.1,165, ,38º 08.072 N,76º 12.725 W,1.0,122,2.5,0.0,9,1012.2,64.0,0.0,0.0,15.2
2023-05-20T11:48:38-04:00,13.1,312,S147,5.7,165, ,37º 56.018 N,76º 08.502 W,0.7,117,2.5,0.0,335,1012.3,65.2,0.0,0.0,16.6
2023-05-20T14:01:09-04:00,15.0,327,S139,7.0,188, ,37º 43.964 N,76º 04.279 W,0.4,80,2.3,0.1,185,1012.7,62.9,0.0,0.0,18.6
2023-05-20T15:50:25-04:00,8.8,328,S140,3.7,188, ,37º 32.767 N,76º 06.326 W,0.4,55,2.6,0.2,184,1012.3,65.6,0.0,0.0,11.8
2023-05-20T17:23:13-04:00,3.7,314,S126,2.0,188, ,37º 27.169 N,76º 07.349 W,0.4,96,3.3,0.2,182,1012.3,66.2,0.0,0.0,7.3
2023-05-20T20:14:14-04:00,3.6,314,S114,3.6,200, ,37º 21.570 N,76º 08.373 W,0.7,144,3.2,0.2,191,1013.6,65.7,0.0,0.0,5.0
2023-05-20T21:42:08-04:00,10.9,349,P158,5.3,147, ,37º 16.655 N,76º 10.649 W,0.8,135,4.0,0.2,204,1014.6,64.5,0.0,0.0,14.0
2023-05-20T22:57:24-04:00,15.8,355,P143,7.2,138, ,37º 10.507 N,76º 05.652 W,1.1,125,5.6,0.3,191,1015.4,64.0,0.0,0.0,20.3
2023-05-20T23:46:49-04:00,14.4,353,P140,7.2,133, ,37º 06.065 N,76º 00.649 W,1.6,115,6.6,0.3,160,1015.4,63.7,0.0,0.0,18.2
2023-05-21T00:02:42-04:00,14.3,352,P123,8.1,115, ,37º 04.768 N,75º 58.897 W,1.9,112,6.7,0.3,146,1015.3,63.6,0.0,0.0,17.8
2023-05-21T00:09:14-04:00,14.4,352,P78,7.9,70, ,37º 04.391 N,75º 57.895 W,2.1,111,6.8,0.3,141,1015.3,63.6,0.0,0.0,17.7
2023-05-21T00:23:43-04:00,14.8,352,P67,6.9,59, ,37º 05.039 N,75º 55.634 W,2.1,112,6.8,0.3,137,1015.4,63.3,0.0,0.0,17.9
2023-05-21T02:10:12-04:00,15.8,351,P68,7.5,59, ,37º 11.484 N,75º 42.059 W,3.5,114,7.0,0.2,80,1015.4,61.5,0.0,0.0,18.1
