,Route,Start Time,Start,End
,GFS,2023-05-20T16:00:00-04:00,38 57.414N 76 26.352W,41 20.640N 71 24.696W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-20T16:00:00-04:00,20.8,305,S132,7.6,173, ,38º 57.414 N,76º 26.352 W,0.9,126,2.1,0.0,215,1011.9,59.5,0.4,0.0,24.4
2023-05-20T18:16:04-04:00,20.4,311,S138,7.3,173, ,38º 40.594 N,76º 23.551 W,0.7,157,2.3,0.0,223,1012.9,57.0,0.0,0.0,26.3
2023-05-20T19:49:49-04:00,17.7,314,S144,7.0,169, ,38º 29.381 N,76º 21.683 W,0.6,164,2.4,0.1,165,1013.8,53.8,0.0,0.0,26.4
2023-05-20T21:35:18-04:00,18.4,310,S141,7.2,169, ,38º 17.157 N,76º 18.715 W,0.7,162,2.7,0.1,162,1014.6,53.9,0.0,0.0,27.1
2023-05-20T23:20:11-04:00,22.4,315,S145,6.8,169, ,38º 04.933 N,76º 15.748 W,0.8,162,2.9,0.1,151,1015.2,54.8,0.0,0.0,28.4
2023-05-21T01:10:33-04:00,19.7,316,S147,6.9,169, ,37º 52.709 N,76º 12.779 W,0.7,166,2.6,0.2,179,1015.1,54.2,0.0,0.0,25.8
2023-05-21T02:54:09-04:00,17.6,317,S147,6.8,169, ,37º 40.929 N,76º 09.998 W,0.7,176,2.6,0.1,179,1015.2,53.4,0.0,0.0,24.4
2023-05-21T04:39:38-04:00,17.7,320,S150,6.8,169, ,37º 29.149 N,76º 07.217 W,0.7,189,2.9,0.2,186,1015.5,53.4,0.0,0.0,23.4
2023-05-21T06:25:57-04:00,14.1,322,S153,6.1,169, ,37º 17.368 N,76º 04.436 W,1.0,13,3.8,0.3,192,1016.3,53.7,0.0,0.0,19.3
2023-05-21T08:26:54-04:00,13.2,329,P142,6.4,112, ,37º 05.588 N,76º 01.655 W,2.1,101,6.0,0.3,149,1017.3,55.8,0.0,0.0,16.8
2023-05-21T08:57:12-04:00,12.9,329,P102,8.3,70, ,37º 04.391 N,75º 57.895 W,2.6,102,6.4,0.3,136,1017.4,56.5,0.0,0.0,16.0
2023-05-21T09:11:04-04:00,12.9,328,P91,8.6,59, ,37º 05.039 N,75º 55.634 W,2.6,104,6.5,0.3,131,1017.4,56.9,0.0,0.0,15.9
2023-05-21T10:21:50-04:00,13.1,326,P89,8.7,55, ,37º 10.290 N,75º 44.573 W,3.9,109,6.7,0.3,97,1017.4,58.8,0.0,0.0,15.3
2023-05-21T12:40:15-04:00,12.2,314,P87,7.8,41, ,37º 21.546 N,75º 24.456 W,5.0,116,7.0,0.1,92,1017.1,60.7,0.0,0.0,13.7
2023-05-21T14:13:18-04:00,10.6,284,P112,5.8,37, ,37º 30.349 N,75º 14.888 W,5.0,117,7.1,0.2,130,1016.9,62.2,0.0,0.0,12.5
2023-05-21T16:21:09-04:00,8.6,266,P131,4.4,37, ,37º 39.528 N,75º 06.323 W,4.9,118,7.1,0.2,118,1016.2,63.3,0.0,0.0,10.3
2023-05-21T19:24:32-04:00,5.6,268,P118,3.1,26, ,37º 48.946 N,74º 57.256 W,4.6,118,7.1,0.1,106,1016.9,63.9,0.0,0.0,5.7
2023-05-21T20:16:53-04:00,4.8,271,P109,2.8,20, ,37º 51.369 N,74º 55.741 W,4.5,118,7.1,0.1,88,1017.2,63.9,0.0,0.0,4.8
2023-05-21T21:19:28-04:00,4.7,253,P120,2.6,13, ,37º 54.100 N,74º 54.477 W,4.4,117,7.1,0.1,70,1017.2,63.8,0.0,0.0,4.7
2023-05-21T23:04:39-04:00,5.5,240,P140,3.3,20, ,37º 58.537 N,74º 53.206 W,4.2,117,7.1,0.0,310,1017.2,63.9,0.0,0.0,5.6
