,Route,Start Time,Start,End
,UKMO,2023-05-20T16:00:00-04:00,38 57.414N 76 26.352W,41 20.640N 71 24.696W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-20T16:00:00-04:00,6.3,168,S52,2.2,116, ,38º 57.414 N,76º 26.352 W,0.9,126,2.1,0.0,215,1013.1,67.1,0.0,0.0,11.7
2023-05-20T16:47:15-04:00,6.4,167,P50,2.2,217, ,38º 56.662 N,76º 24.347 W,0.8,149,2.1,0.0,213,1012.5,67.3,0.0,0.0,12.5
2023-05-20T17:14:22-04:00,6.5,164,S43,1.9,121, ,38º 55.877 N,76º 25.103 W,0.8,155,2.1,0.0,208,1012.4,67.5,0.0,0.0,11.4
2023-05-20T18:18:17-04:00,6.8,164,P49,2.6,213, ,38º 54.817 N,76º 22.847 W,0.7,160,2.1,0.0,171,1012.4,67.6,0.0,0.0,9.6
2023-05-20T20:14:08-04:00,7.4,154,P54,2.7,208, ,38º 50.585 N,76º 26.376 W,0.4,166,2.2,0.0,229,1012.3,67.6,0.0,0.0,7.4
2023-05-20T22:22:56-04:00,7.5,158,S43,2.3,116, ,38º 45.500 N,76º 29.908 W,0.3,159,2.3,0.0,231,1012.1,66.4,0.0,0.0,7.5
2023-05-20T23:08:33-04:00,7.5,161,P52,2.1,213, ,38º 44.748 N,76º 27.902 W,0.3,161,2.2,0.1,228,1012.0,66.1,0.0,0.0,7.7
2023-05-21T01:35:08-04:00,4.0,173,S48,1.6,125, ,38º 40.517 N,76º 31.431 W,0.2,166,2.1,,,1011.6,63.4,0.0,0.0,6.3
2023-05-21T03:45:59-04:00,4.1,204,S56,2.0,148, ,38º 38.466 N,76º 27.674 W,0.2,235,1.7,0.1,189,1011.4,63.6,0.0,0.0,8.3
2023-05-21T05:01:01-04:00,4.5,217,S80,1.8,137, ,38º 36.314 N,76º 25.925 W,0.2,264,1.5,0.1,179,1011.3,63.5,0.0,0.0,9.7
2023-05-21T07:53:20-04:00,2.1,169,P48,0.8,217, ,38º 32.488 N,76º 21.421 W,1.5,349,2.4,0.1,170,1013.2,63.5,0.0,0.0,20.0
2023-05-21T12:43:53-04:00,2.2,176,S55,1.1,121, ,38º 29.349 N,76º 24.444 W,0.9,350,2.4,0.1,162,1012.8,67.2,0.0,0.0,8.2
2023-05-21T14:34:41-04:00,2.9,203,S44,1.9,159, ,38º 28.289 N,76º 22.189 W,0.7,349,2.5,0.1,164,1012.7,68.0,0.0,0.0,6.2
2023-05-21T15:44:04-04:00,4.1,292,S104,2.5,188, ,38º 26.206 N,76º 21.193 W,0.6,350,2.3,0.1,160,1012.6,67.9,0.0,0.0,6.9
2023-05-21T16:52:27-04:00,5.2,342,S142,2.7,200, ,38º 23.407 N,76º 21.704 W,0.5,351,2.2,0.1,158,1012.5,67.9,0.0,0.0,7.3
2023-05-21T18:09:28-04:00,6.7,353,P154,3.4,147, ,38º 20.130 N,76º 23.222 W,0.4,356,2.1,0.1,168,1012.3,67.6,0.0,0.0,6.7
