,Route,Start Time,Start,End
,ECMWF,2023-05-21T16:00:00-04:00,38 57.414N 76 26.352W,41 20.640N 71 24.696W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-21T16:00:00-04:00,3.6,138,P61,1.5,200, ,38º 57.414 N,76º 26.352 W,0.3,0,2.1,0.1,165,1013.6,69.6,0.0,0.0,6.3
2023-05-21T16:22:43-04:00,3.7,151,S35,1.2,116, ,38º 56.867 N,76º 26.605 W,0.2,0,2.1,0.1,164,1013.3,69.7,0.0,0.0,6.2
2023-05-21T17:06:58-04:00,3.8,172,P52,1.5,224, ,38º 56.491 N,76º 25.602 W,0.2,0,2.1,0.1,164,1013.0,69.6,0.0,0.0,5.7
2023-05-21T18:04:39-04:00,4.7,177,S43,1.6,134, ,38º 55.468 N,76º 26.860 W,0.2,315,1.9,0.1,163,1013.0,68.7,0.0,0.0,6.9
2023-05-21T19:13:21-04:00,5.7,186,P53,2.3,239, ,38º 54.170 N,76º 25.108 W,0.3,192,1.6,0.1,162,1012.9,67.9,0.0,0.0,7.5
2023-05-21T20:37:25-04:00,6.2,191,S43,2.6,148, ,38º 52.499 N,76º 28.628 W,0.3,192,1.4,0.0,170,1013.0,66.2,0.0,0.0,8.6
2023-05-21T22:26:31-04:00,6.9,221,S59,3.3,162, ,38º 48.502 N,76º 25.379 W,0.3,235,1.5,0.0,212,1013.3,65.2,0.0,0.0,9.2
2023-05-21T23:34:21-04:00,7.5,242,S75,4.3,167, ,38º 44.951 N,76º 23.887 W,0.2,250,1.5,0.0,213,1013.5,64.7,0.0,0.0,10.0
2023-05-22T01:04:11-04:00,8.0,268,S68,3.9,200, ,38º 38.224 N,76º 21.903 W,0.2,235,1.5,0.0,198,1013.8,64.5,0.0,0.0,10.8
2023-05-22T01:13:10-04:00,8.0,270,S89,5.3,180, ,38º 37.678 N,76º 22.156 W,0.2,232,1.5,0.0,196,1013.8,64.4,0.0,0.0,10.9
2023-05-22T01:22:47-04:00,8.1,272,S124,4.4,148, ,38º 36.824 N,76º 22.159 W,0.2,230,1.5,0.0,196,1013.8,64.4,0.0,0.0,11.0
2023-05-22T01:27:46-04:00,8.2,273,S90,5.3,182, ,38º 36.517 N,76º 21.909 W,0.2,230,1.5,0.0,193,1013.8,64.5,0.0,0.0,11.1
2023-05-22T02:31:49-04:00,7.8,285,S119,4.2,166, ,38º 30.850 N,76º 22.180 W,0.3,259,1.5,0.0,207,1014.0,64.1,0.0,0.0,10.8
2023-05-22T05:31:17-04:00,8.9,326,P150,3.9,116, ,38º 19.411 N,76º 18.456 W,0.4,318,1.8,0.0,184,1014.6,65.6,0.0,0.0,12.2
2023-05-22T05:44:51-04:00,9.2,328,S148,4.1,180, ,38º 19.034 N,76º 17.454 W,0.4,320,1.8,0.0,180,1014.6,65.7,0.0,0.0,12.5
2023-05-22T06:22:03-04:00,9.7,334,P159,4.2,131, ,38º 16.474 N,76º 17.463 W,0.5,325,1.8,0.0,157,1014.7,65.7,0.0,0.0,13.1
2023-05-22T08:41:20-04:00,12.5,339,S154,5.3,185, ,38º 08.991 N,76º 07.201 W,0.9,328,2.0,0.1,185,1015.1,66.0,0.0,0.0,16.3
2023-05-22T09:06:59-04:00,12.4,337,P152,5.3,130, ,38º 06.738 N,76º 07.459 W,1.0,328,2.0,0.1,189,1015.3,66.2,0.0,0.0,16.2
2023-05-22T09:24:34-04:00,12.5,335,S151,5.5,184, ,38º 05.747 N,76º 05.957 W,1.0,328,2.0,0.1,187,1015.3,66.4,0.0,0.0,16.3
2023-05-22T12:33:08-04:00,12.6,341,S144,5.8,197, ,37º 48.814 N,76º 07.523 W,1.4,343,2.5,0.0,230,1016.2,68.4,0.0,0.0,16.0
2023-05-22T13:30:00-04:00,13.1,348,S144,6.0,204, ,37º 43.592 N,76º 09.550 W,1.4,350,2.6,0.0,297,1016.4,69.3,0.0,0.0,16.5
2023-05-22T15:03:52-04:00,12.0,12,S148,5.4,224, ,37º 35.468 N,76º 14.096 W,1.4,6,2.6,0.0,323,1016.7,70.6,0.0,0.0,15.2
2023-05-22T15:19:53-04:00,11.3,18,P143,5.3,161, ,37º 34.445 N,76º 15.354 W,1.4,9,2.6,0.0,323,1016.8,71.2,0.0,0.0,15.1
2023-05-22T17:10:03-04:00,11.3,40,P121,6.2,160, ,37º 24.952 N,76º 11.122 W,1.4,17,2.7,0.1,336,1017.1,69.7,0.0,0.0,14.5
2023-05-22T18:46:22-04:00,10.6,47,P109,6.2,156, ,37º 15.458 N,76º 06.890 W,1.2,26,2.8,0.1,309,1017.4,69.1,0.0,0.0,13.6
2023-05-22T19:14:56-04:00,9.9,48,P99,6.1,147, ,37º 12.760 N,76º 05.393 W,1.2,35,3.0,0.1,299,1017.5,68.9,0.0,0.0,12.9
2023-05-22T20:33:56-04:00,10.2,45,P93,6.6,138, ,37º 05.997 N,75º 59.896 W,1.3,67,4.3,0.1,264,1017.7,68.1,0.0,0.0,13.0
2023-05-22T21:01:06-04:00,9.8,38,P80,5.8,119, ,37º 03.776 N,75º 57.395 W,1.6,77,5.0,0.1,246,1017.8,67.7,0.0,0.0,12.5
2023-05-22T21:31:53-04:00,9.4,31,P83,5.5,113, ,37º 02.341 N,75º 54.137 W,1.9,82,5.6,0.1,226,1017.9,67.3,0.0,0.0,11.9
2023-05-22T23:53:07-04:00,7.2,46,P81,4.0,127, ,36º 57.690 N,75º 40.603 W,2.7,85,5.9,0.3,210,1018.2,69.0,0.0,0.0,9.1
