,Route,Start Time,Start,End
,PWE,2023-05-21T16:00:00-04:00,38 57.414N 76 26.352W,41 20.640N 71 24.696W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-21T16:00:00-04:00,8.9,125,P45,2.7,171, ,38º 57.414 N,76º 26.352 W,0.3,0,2.1,0.1,165,1013.6,69.6,0.0,0.0,8.9
2023-05-21T16:25:44-04:00,9.3,126,P52,3.5,177, ,38º 56.252 N,76º 26.105 W,0.2,0,2.1,0.1,164,1013.3,69.4,0.0,0.0,9.3
2023-05-21T18:09:30-04:00,8.6,114,P63,4.0,177, ,38º 50.244 N,76º 25.750 W,0.2,349,1.9,0.0,195,1013.0,68.0,0.0,0.0,8.6
2023-05-21T19:39:52-04:00,9.0,105,P64,4.3,169, ,38º 44.235 N,76º 25.394 W,0.2,333,1.7,0.1,210,1013.0,67.9,0.0,0.0,9.0
2023-05-21T21:16:13-04:00,9.2,87,P80,5.3,168, ,38º 36.962 N,76º 23.664 W,0.2,339,1.9,0.1,191,1013.3,66.9,0.0,0.0,9.2
2023-05-21T22:51:59-04:00,7.0,86,P86,4.3,172, ,38º 29.074 N,76º 21.434 W,0.2,304,1.9,0.1,186,1013.6,65.6,0.0,0.0,8.3
2023-05-22T02:19:42-04:00,9.9,75,P85,6.8,160, ,38º 12.582 N,76º 18.481 W,0.2,207,1.8,0.0,135,1013.8,64.9,0.0,0.0,9.9
2023-05-22T03:15:13-04:00,12.6,69,P101,8.6,170, ,38º 06.640 N,76º 15.741 W,0.3,297,1.7,0.0,160,1013.9,65.9,0.0,0.0,12.6
2023-05-22T04:42:52-04:00,16.7,87,P93,9.8,180, ,37º 53.563 N,76º 12.776 W,0.4,343,1.9,0.0,186,1014.2,65.6,0.0,0.0,16.7
2023-05-22T07:27:18-04:00,13.7,74,P89,8.9,163, ,37º 27.103 N,76º 12.871 W,0.8,343,2.2,,,1015.0,65.7,0.0,0.0,13.7
2023-05-22T08:47:58-04:00,13.0,57,P99,7.8,156, ,37º 15.902 N,76º 08.645 W,1.0,348,2.7,0.1,242,1015.3,66.3,0.0,0.0,13.0
2023-05-22T09:33:33-04:00,11.5,52,P95,7.7,147, ,37º 10.507 N,76º 05.652 W,1.2,8,3.4,0.1,238,1015.4,66.9,0.0,0.0,13.5
2023-05-22T10:25:01-04:00,12.5,49,P103,7.8,153, ,37º 04.973 N,76º 01.154 W,1.5,50,4.7,0.1,224,1015.5,67.5,0.0,0.0,12.5
2023-05-22T11:46:40-04:00,12.2,33,P114,7.3,147, ,36º 55.581 N,75º 54.914 W,2.2,86,6.2,0.3,194,1015.8,67.8,0.0,0.0,12.2
2023-05-22T12:10:39-04:00,10.7,32,P124,5.9,156, ,36º 53.122 N,75º 52.915 W,2.3,87,6.3,0.4,193,1015.9,67.8,0.0,0.0,10.7
2023-05-22T14:04:09-04:00,9.5,36,P120,5.5,156, ,36º 43.229 N,75º 47.429 W,2.4,84,6.1,0.4,187,1016.3,67.9,0.0,0.0,9.5
2023-05-22T15:59:31-04:00,7.7,15,P132,4.1,147, ,36º 34.236 N,75º 42.443 W,2.7,80,5.9,0.2,199,1016.5,69.3,0.0,0.0,12.8
2023-05-22T16:42:25-04:00,6.0,4,P136,2.8,140, ,36º 31.777 N,75º 40.444 W,2.8,79,5.9,0.2,201,1016.6,69.7,0.0,0.0,13.4
2023-05-22T18:03:17-04:00,4.6,0,P146,2.4,147, ,36º 28.942 N,75º 37.442 W,3.0,77,5.8,0.2,200,1016.8,70.2,0.0,0.0,13.9
2023-05-22T19:43:17-04:00,5.9,357,P128,3.6,125, ,36º 25.560 N,75º 34.694 W,3.1,76,5.7,0.2,204,1017.0,70.5,0.0,0.0,14.6
2023-05-22T21:30:07-04:00,8.6,351,P128,4.5,119, ,36º 21.835 N,75º 28.183 W,3.3,77,5.7,0.2,203,1017.3,70.6,0.0,0.0,15.9
2023-05-23T00:57:31-04:00,7.1,355,P116,4.0,111, ,36º 14.657 N,75º 11.896 W,3.9,77,5.5,0.1,210,1017.8,70.9,0.0,0.0,18.3
2023-05-23T02:21:37-04:00,6.8,0,P106,4.2,107, ,36º 12.638 N,75º 05.378 W,4.2,77,5.5,0.2,201,1018.0,70.9,0.0,0.0,19.6
2023-05-23T04:32:40-04:00,7.5,2,P100,4.7,102, ,36º 09.901 N,74º 54.095 W,4.8,77,5.5,0.3,212,1018.4,70.9,0.0,0.0,21.4
2023-05-23T05:41:09-04:00,7.6,6,P105,4.7,111, ,36º 08.737 N,74º 47.574 W,5.1,77,5.5,0.2,237,1018.6,71.0,0.0,0.0,21.9
2023-05-23T08:40:57-04:00,8.4,24,P103,5.4,128, ,36º 03.504 N,74º 30.779 W,5.6,76,5.5,0.9,216,1018.9,71.5,0.0,0.0,23.9
2023-05-23T10:19:17-04:00,7.8,38,P95,4.8,132, ,35º 58.173 N,74º 22.265 W,5.7,76,5.6,0.8,210,1018.7,72.1,0.0,0.0,23.9
2023-05-23T11:31:43-04:00,6.9,48,P78,4.1,127, ,35º 54.278 N,74º 17.009 W,5.7,76,5.6,0.1,72,1018.6,72.4,0.0,0.0,24.0
2023-05-23T13:38:33-04:00,6.2,70,P45,3.3,115, ,35º 49.255 N,74º 08.745 W,5.8,77,5.7,1.3,35,1018.4,72.6,0.0,0.0,23.5
2023-05-23T14:27:21-04:00,6.2,79,P24,3.2,102, ,35º 48.127 N,74º 05.738 W,5.8,77,5.7,1.9,33,1018.2,72.7,0.0,0.0,23.3
2023-05-23T15:18:47-04:00,6.2,88,S5,3.1,83, ,35º 47.545 N,74º 02.477 W,5.7,77,5.7,2.3,34,1018.1,72.7,0.0,0.0,22.9
2023-05-23T17:59:37-04:00,7.2,131,S84,4.9,47, ,35º 48.597 N,73º 52.185 W,5.7,77,5.9,3.1,33,1017.7,72.5,0.0,0.0,21.7
2023-05-23T20:08:08-04:00,7.9,154,S108,7.2,47, ,35º 56.558 N,73º 41.700 W,5.7,77,6.0,3.1,29,1017.5,71.8,0.1,0.0,20.2
2023-05-23T23:04:13-04:00,8.5,165,S112,7.5,53, ,36º 12.479 N,73º 20.731 W,5.5,77,6.2,2.7,26,1017.2,70.5,0.0,0.0,18.1
2023-05-24T00:38:14-04:00,7.8,172,S119,6.8,53, ,36º 19.391 N,73º 09.162 W,5.3,78,6.3,2.2,26,1017.0,69.9,0.0,0.0,15.3
2023-05-24T02:26:31-04:00,6.8,177,S126,5.8,52, ,36º 26.532 N,72º 57.592 W,5.1,80,6.4,2.0,25,1016.6,69.6,0.0,0.0,14.0
2023-05-24T04:29:43-04:00,7.0,165,S113,6.0,52, ,36º 33.900 N,72º 46.022 W,5.0,83,6.5,1.8,20,1016.4,69.6,0.1,0.0,12.5
2023-05-24T06:28:53-04:00,9.1,144,S102,7.2,42, ,36º 41.268 N,72º 34.452 W,4.8,88,6.7,1.5,13,1016.1,69.5,0.1,0.1,10.0
2023-05-24T08:38:48-04:00,11.6,114,S84,7.3,30, ,36º 52.118 N,72º 22.368 W,4.7,92,6.8,1.3,12,1015.8,69.7,0.0,0.0,11.6
