,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,ECMWF,2023-05-20T18:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.920N 76 21.270W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-20T18:00:00-04:00,21.9,166,P66,7.0,232, ,41º 20.388 N,71º 23.849 W,5.7,155,5.7,0.2,96,1016.1,59.5,1.0,0.1,28.6
2023-05-20T19:41:16-04:00,24.8,166,P44,4.5,210, ,41º 13.088 N,71º 36.345 W,6.0,156,5.7,0.2,68,1014.4,59.1,1.6,0.0,31.6
2023-05-20T20:19:02-04:00,24.9,168,P66,5.9,234, ,41º 10.645 N,71º 38.241 W,6.4,157,5.8,0.2,69,1014.0,59.0,1.6,0.1,31.6
2023-05-20T22:45:04-04:00,19.3,196,P54,5.5,251, ,41º 02.204 N,71º 53.497 W,6.2,158,6.1,0.1,87,1013.0,58.3,7.1,0.1,24.7
2023-05-20T23:13:07-04:00,17.8,204,S62,6.2,142, ,41º 01.352 N,71º 56.702 W,5.9,159,6.1,0.1,77,1012.8,58.3,7.0,0.1,22.8
2023-05-21T00:36:55-04:00,18.1,204,S73,7.8,131, ,40º 54.548 N,71º 49.662 W,6.8,160,6.3,0.3,80,1012.1,58.0,1.8,0.1,22.4
2023-05-21T01:00:46-04:00,17.1,206,P77,6.8,283, ,40º 52.517 N,71º 46.551 W,6.9,161,6.4,0.3,84,1012.0,58.1,1.5,0.0,21.2
2023-05-21T02:46:23-04:00,12.9,231,P58,4.0,290, ,40º 55.176 N,72º 01.898 W,5.9,159,6.6,0.2,93,1011.1,57.3,0.5,0.0,15.9
2023-05-21T04:17:59-04:00,10.6,257,S38,2.6,219, ,40º 57.226 N,72º 09.548 W,4.6,158,6.7,0.1,92,1010.7,58.5,0.1,0.0,14.4
2023-05-21T04:43:54-04:00,10.5,264,P46,2.9,311, ,40º 56.365 N,72º 10.484 W,4.7,157,6.8,0.1,93,1010.6,58.5,0.1,0.0,13.9
2023-05-21T04:53:07-04:00,10.4,268,S48,3.2,219, ,40º 56.654 N,72º 10.928 W,4.6,157,6.8,0.1,92,1010.5,58.7,0.0,0.0,13.9
2023-05-21T05:13:57-04:00,10.4,273,P37,2.3,311, ,40º 55.794 N,72º 11.864 W,4.7,156,6.8,0.1,91,1010.7,58.4,0.0,0.0,13.5
2023-05-21T05:25:47-04:00,10.5,277,S36,3.7,241, ,40º 56.084 N,72º 12.309 W,4.6,156,6.8,0.1,92,1010.8,58.6,0.0,0.0,13.8
2023-05-21T07:21:31-04:00,11.6,310,S61,4.8,248, ,40º 52.659 N,72º 20.592 W,5.1,152,7.0,0.2,82,1011.9,58.2,0.0,0.0,15.3
2023-05-21T09:51:56-04:00,8.2,308,S58,2.7,251, ,40º 48.251 N,72º 35.262 W,5.3,149,7.2,0.1,101,1012.9,58.2,0.0,0.0,10.1
2023-05-21T11:47:00-04:00,7.4,294,S92,4.4,202, ,40º 46.548 N,72º 41.673 W,4.9,146,7.4,0.2,96,1013.1,61.1,0.0,0.0,12.2
2023-05-21T13:06:57-04:00,9.1,256,S66,3.7,191, ,40º 41.083 N,72º 44.576 W,5.1,144,7.4,0.2,91,1013.1,58.4,0.0,0.0,10.9
2023-05-21T14:50:21-04:00,10.2,246,P50,3.4,297, ,40º 34.746 N,72º 46.145 W,5.3,143,7.4,0.1,97,1013.1,58.0,0.0,0.0,12.4
2023-05-21T16:11:26-04:00,9.6,241,P45,2.7,286, ,40º 36.787 N,72º 51.525 W,5.1,142,7.4,0.1,88,1013.0,58.3,0.0,0.0,11.5
2023-05-21T18:39:59-04:00,9.4,242,S53,3.6,189, ,40º 38.696 N,73º 00.088 W,4.3,141,7.4,,,1013.6,60.1,0.0,0.0,11.3
