,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,GFS,2023-05-20T18:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.920N 76 21.270W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-20T18:00:00-04:00,18.6,164,P69,7.1,232, ,41º 20.388 N,71º 23.849 W,5.7,155,5.7,0.2,96,1014.8,59.1,1.2,0.0,37.0
2023-05-20T19:40:25-04:00,24.0,167,P66,6.1,234, ,41º 13.088 N,71º 36.345 W,6.0,156,5.7,0.2,68,1012.8,59.5,2.2,0.0,42.4
2023-05-20T22:01:32-04:00,22.5,189,S58,6.1,131, ,41º 04.646 N,71º 51.601 W,5.9,156,5.9,0.1,94,1011.7,59.2,4.2,0.0,39.9
2023-05-20T22:14:43-04:00,22.8,191,P47,4.4,238, ,41º 03.776 N,71º 50.268 W,6.2,157,6.0,0.1,91,1011.6,59.1,4.3,0.0,40.1
2023-05-20T23:09:57-04:00,21.0,201,S56,5.8,145, ,41º 01.633 N,71º 54.877 W,6.0,159,6.1,0.1,77,1011.4,58.8,3.7,0.0,36.1
2023-05-21T01:03:41-04:00,17.5,210,P79,6.3,289, ,40º 52.517 N,71º 46.551 W,6.9,161,6.4,0.3,84,1011.1,57.5,4.2,0.0,28.8
2023-05-21T02:56:07-04:00,12.4,243,P60,4.4,303, ,40º 56.327 N,72º 01.406 W,5.7,159,6.6,0.2,93,1011.1,57.8,1.4,0.0,18.4
2023-05-21T03:50:36-04:00,12.0,257,S59,4.5,198, ,40º 58.508 N,72º 05.874 W,4.8,159,6.7,0.2,94,1011.1,58.1,0.7,0.0,18.6
2023-05-21T04:06:41-04:00,12.1,260,P28,2.6,288, ,40º 57.356 N,72º 06.366 W,4.9,158,6.7,0.2,95,1011.2,58.1,0.5,0.0,18.9
2023-05-21T04:39:15-04:00,12.2,266,S46,4.2,219, ,40º 57.796 N,72º 08.167 W,4.6,158,6.8,0.2,95,1011.2,58.0,0.2,0.0,19.4
