,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,SPIRE,2023-05-20T18:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.920N 76 21.270W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-20T18:00:00-04:00,18.0,161,P71,7.5,232, ,41º 20.388 N,71º 23.849 W,5.7,155,5.7,0.2,96,1016.1,59.5,1.0,0.1,28.6
2023-05-20T19:35:14-04:00,21.6,164,P64,6.2,228, ,41º 13.088 N,71º 36.345 W,6.0,156,5.7,0.2,67,1014.5,59.0,1.6,0.0,31.4
2023-05-20T21:28:44-04:00,21.3,175,P62,5.9,237, ,41º 05.208 N,71º 47.951 W,6.2,157,5.9,0.1,94,1013.4,58.6,4.0,0.1,26.8
2023-05-20T22:57:08-04:00,18.7,196,S65,7.0,131, ,41º 00.491 N,71º 57.638 W,6.0,160,6.1,0.1,75,1012.9,58.5,7.5,0.1,23.4
2023-05-21T00:01:32-04:00,17.8,200,S61,6.2,139, ,40º 55.559 N,71º 50.083 W,6.8,160,6.3,0.2,79,1012.4,58.3,2.5,0.1,24.0
2023-05-21T00:40:37-04:00,17.5,201,P78,7.7,278, ,40º 52.517 N,71º 46.551 W,6.9,161,6.4,0.3,83,1012.2,58.3,1.6,0.1,22.2
2023-05-21T04:18:48-04:00,10.9,254,S11,3.3,243, ,40º 55.513 N,72º 13.689 W,4.7,156,6.7,0.1,88,1010.7,58.5,0.1,0.0,14.0
2023-05-21T07:02:50-04:00,11.4,305,S55,4.3,250, ,40º 51.377 N,72º 24.265 W,5.2,152,7.0,0.2,86,1011.8,58.3,0.0,0.0,14.3
2023-05-21T10:20:32-04:00,7.2,313,S85,4.3,229, ,40º 46.548 N,72º 41.673 W,5.0,148,7.3,0.2,95,1013.1,59.8,0.0,0.0,12.6
2023-05-21T11:00:03-04:00,5.8,302,S92,3.8,210, ,40º 44.686 N,72º 44.458 W,4.8,146,7.3,0.2,92,1013.3,59.8,0.0,0.0,11.6
