,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,PWG,2023-05-20T21:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.920N 76 21.270W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-20T21:00:00-04:00,22.4,161,P84,9.0,244, ,41º 20.388 N,71º 23.849 W,6.7,159,5.9,0.2,102,1012.3,60.1,3.4,0.0,41.8
2023-05-20T23:24:14-04:00,22.0,230,S52,6.2,178, ,41º 11.554 N,71º 48.652 W,5.8,157,6.0,0.3,92,1011.3,59.2,4.8,0.0,34.5
2023-05-21T01:15:09-04:00,13.1,252,S81,7.8,171, ,41º 00.164 N,71º 48.116 W,6.5,159,6.4,0.1,86,1011.0,57.5,3.9,0.0,25.9
2023-05-21T02:14:25-04:00,14.4,246,P60,4.9,306, ,40º 52.517 N,71º 46.551 W,6.7,161,6.5,0.3,86,1011.1,56.9,3.6,0.0,22.2
2023-05-21T04:51:18-04:00,9.8,278,S33,2.6,245, ,41º 00.070 N,72º 00.376 W,5.1,158,6.7,0.2,92,1011.1,58.3,0.1,0.0,18.9
2023-05-21T06:02:22-04:00,10.3,298,S62,3.7,236, ,40º 58.788 N,72º 04.049 W,4.8,157,6.8,0.2,100,1011.7,57.2,0.0,0.0,18.1
2023-05-21T09:00:27-04:00,11.8,311,S63,5.0,248, ,40º 52.640 N,72º 16.053 W,5.4,150,7.1,0.1,92,1013.0,56.5,0.0,0.0,14.9
2023-05-21T10:31:19-04:00,12.5,320,S65,4.2,255, ,40º 49.795 N,72º 25.225 W,5.2,148,7.2,0.1,91,1013.2,58.1,0.0,0.0,12.5
2023-05-21T13:33:42-04:00,7.5,306,S87,4.8,219, ,40º 46.548 N,72º 41.673 W,4.9,145,7.5,0.2,96,1013.0,63.3,0.0,0.0,7.5
2023-05-21T14:15:53-04:00,6.3,285,S87,3.9,198, ,40º 43.965 N,72º 44.481 W,4.8,144,7.5,0.2,93,1013.0,64.1,0.0,0.0,6.3
