,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,ECMWF,2023-05-21T15:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.920N 76 21.270W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-21T15:00:00-04:00,13.8,238,S57,5.3,181, ,41º 20.388 N,71º 23.849 W,5.2,157,7.2,0.2,128,1011.5,59.1,0.0,0.0,17.7
2023-05-21T15:16:17-04:00,15.1,240,P48,4.6,288, ,41º 18.946 N,71º 23.897 W,5.3,157,7.1,0.2,122,1011.6,58.0,0.0,0.0,19.1
2023-05-21T15:53:08-04:00,13.3,242,S56,5.5,186, ,41º 19.826 N,71º 27.499 W,5.0,157,7.2,0.2,122,1011.6,59.9,0.0,0.0,17.1
2023-05-21T16:44:55-04:00,14.8,249,S42,4.2,207, ,41º 15.072 N,71º 28.109 W,5.4,158,7.0,0.2,125,1011.8,58.3,0.0,0.0,18.4
2023-05-21T19:30:07-04:00,11.1,264,S56,5.0,207, ,41º 04.866 N,71º 35.026 W,5.1,153,7.2,0.0,223,1013.1,58.8,0.0,0.0,13.2
2023-05-21T21:47:22-04:00,9.3,314,S75,5.3,238, ,40º 54.661 N,71º 41.941 W,5.0,150,7.2,0.1,112,1014.4,58.5,0.0,0.0,11.0
2023-05-21T22:33:15-04:00,8.8,335,S78,5.5,257, ,40º 52.517 N,71º 46.551 W,4.9,148,7.2,0.1,104,1014.9,58.6,0.0,0.0,10.2
2023-05-22T00:48:37-04:00,9.0,348,S89,5.9,259, ,40º 49.701 N,72º 02.531 W,4.4,144,7.2,0.1,89,1015.6,58.2,0.0,0.0,10.5
2023-05-22T03:11:29-04:00,9.9,355,S86,6.6,269, ,40º 46.894 N,72º 20.780 W,4.0,140,7.1,0.0,270,1016.4,57.3,0.0,0.0,11.8
2023-05-22T05:41:52-04:00,8.4,6,S125,4.6,241, ,40º 46.548 N,72º 41.673 W,3.4,137,7.1,0.0,145,1017.6,57.7,0.0,0.0,12.0
2023-05-22T07:15:20-04:00,9.6,10,S122,5.4,248, ,40º 43.123 N,72º 49.956 W,2.9,135,6.9,0.0,277,1018.6,59.0,0.0,0.0,12.5
2023-05-22T09:21:11-04:00,10.3,28,S130,5.1,259, ,40º 38.855 N,73º 03.714 W,3.0,129,6.8,,,1019.6,61.1,0.0,0.0,13.3
2023-05-22T11:00:32-04:00,10.6,46,S143,4.8,263, ,40º 37.171 N,73º 14.664 W,2.7,126,6.8,,,1020.2,63.7,0.0,0.0,13.3
2023-05-22T11:57:16-04:00,11.4,70,S52,4.0,18, ,40º 36.619 N,73º 20.583 W,2.4,127,6.6,,,1020.5,62.5,0.0,0.0,14.4
2023-05-22T12:15:19-04:00,11.3,77,P121,6.2,198, ,40º 37.770 N,73º 20.092 W,2.3,127,6.6,,,1020.6,63.2,0.0,0.0,15.3
