,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,PWE,2023-05-21T21:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.920N 76 21.270W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-21T21:00:00-04:00,9.5,250,S84,6.1,166, ,41º 20.388 N,71º 23.849 W,4.5,160,7.2,0.1,119,1014.0,61.5,0.0,0.0,11.9
2023-05-21T22:16:39-04:00,8.6,281,S84,5.6,198, ,41º 12.881 N,71º 21.372 W,4.8,159,7.1,0.1,150,1015.1,60.1,0.0,0.0,12.3
2023-05-21T23:08:27-04:00,7.7,320,S100,5.3,219, ,41º 08.277 N,71º 23.338 W,4.7,158,7.0,0.1,155,1015.7,59.1,0.0,0.0,12.4
2023-05-22T01:01:20-04:00,12.0,359,S125,6.6,234, ,41º 00.528 N,71º 31.763 W,4.5,152,7.0,0.0,96,1016.0,58.0,0.0,0.0,12.8
2023-05-22T03:07:00-04:00,15.6,13,S115,8.2,259, ,40º 52.517 N,71º 46.551 W,4.2,146,6.9,0.1,97,1016.7,56.8,0.0,0.0,15.6
2023-05-22T05:22:40-04:00,15.1,25,S127,7.5,259, ,40º 48.868 N,72º 10.275 W,3.7,140,6.9,0.1,69,1018.1,56.1,0.0,0.0,15.1
2023-05-22T07:45:52-04:00,14.5,48,S130,7.0,278, ,40º 45.499 N,72º 32.174 W,3.3,135,6.9,0.0,293,1019.6,57.3,0.0,0.0,14.5
2023-05-22T08:47:47-04:00,13.8,67,P152,6.4,219, ,40º 46.548 N,72º 41.673 W,3.0,135,6.9,0.0,51,1020.2,60.8,0.0,0.0,13.8
2023-05-22T09:24:36-04:00,14.7,67,S159,6.0,269, ,40º 43.534 N,72º 44.950 W,2.9,133,6.9,0.0,15,1020.4,60.3,0.0,0.0,14.7
2023-05-22T10:23:14-04:00,15.1,74,P151,6.5,225, ,40º 43.422 N,72º 52.670 W,2.3,133,6.7,0.1,348,1020.8,62.5,0.0,0.0,15.1
2023-05-22T11:04:31-04:00,16.5,77,S153,6.3,284, ,40º 40.268 N,72º 56.858 W,2.6,129,6.7,0.1,34,1021.1,61.8,0.0,0.0,16.5
2023-05-22T11:27:56-04:00,16.0,81,P150,6.4,231, ,40º 40.858 N,73º 00.017 W,2.5,128,6.6,,,1021.2,62.3,0.0,0.0,16.0
2023-05-22T11:49:02-04:00,19.5,75,S157,6.0,278, ,40º 39.426 N,73º 02.333 W,2.7,126,6.6,,,1021.4,61.8,0.0,0.0,19.5
2023-05-22T11:59:23-04:00,19.6,77,P152,6.4,229, ,40º 39.576 N,73º 03.690 W,2.6,126,6.5,,,1021.4,62.0,0.0,0.0,19.6
