,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,UKMO,2023-05-22T12:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-22T12:00:00-04:00,15.4,58,P153,6.9,211, ,41º 20.388 N,71º 23.849 W,3.5,113,5.6,0.1,226,1020.4,59.3,0.0,0.0,19.8
2023-05-22T14:12:34-04:00,17.9,71,P146,7.1,216, ,41º 07.313 N,71º 34.264 W,4.2,96,5.4,0.2,256,1020.8,56.9,0.0,0.0,20.3
2023-05-22T15:28:22-04:00,18.6,70,P137,7.4,207, ,41º 00.136 N,71º 41.308 W,4.6,90,5.4,0.2,244,1020.9,56.4,0.0,0.0,23.1
2023-05-22T16:38:00-04:00,18.6,70,S146,6.6,284, ,40º 52.517 N,71º 46.551 W,5.0,85,5.4,0.1,253,1021.0,55.7,0.0,0.0,25.4
2023-05-22T18:30:20-04:00,16.5,85,P150,6.8,234, ,40º 55.466 N,72º 02.342 W,4.2,95,5.3,0.2,247,1021.6,55.7,0.0,0.0,21.5
2023-05-22T20:17:15-04:00,14.8,85,P150,6.4,234, ,40º 48.456 N,72º 15.282 W,4.5,94,5.5,0.1,261,1022.3,55.6,0.0,0.0,20.3
2023-05-22T22:09:28-04:00,14.8,83,S146,6.4,297, ,40º 41.447 N,72º 28.222 W,4.3,94,5.7,0.1,270,1023.4,55.6,0.0,0.0,17.0
2023-05-22T23:56:20-04:00,12.0,85,P132,6.3,217, ,40º 46.548 N,72º 41.673 W,3.4,102,5.7,0.1,263,1024.1,54.5,0.0,0.0,13.6
2023-05-23T01:21:04-04:00,12.4,81,P147,5.6,228, ,40º 39.370 N,72º 48.717 W,3.6,98,5.7,0.1,267,1024.1,55.3,0.0,0.0,15.2
2023-05-23T03:28:12-04:00,14.4,69,S140,7.0,288, ,40º 31.490 N,73º 00.323 W,3.9,92,5.7,0.1,264,1024.4,55.2,0.0,0.0,17.4
