,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,UKMO,2023-05-22T12:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.920N 76 21.270W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-22T12:00:00-04:00,10.7,60,P137,5.7,198, ,41º 20.388 N,71º 23.849 W,3.1,134,6.2,0.1,231,1021.0,60.1,0.0,0.0,16.2
2023-05-22T13:03:39-04:00,11.4,78,P141,6.4,219, ,41º 14.632 N,71º 26.308 W,3.5,120,5.8,0.1,215,1021.3,58.2,0.0,0.0,18.1
2023-05-22T15:23:52-04:00,14.2,83,P126,7.6,209, ,41º 03.008 N,71º 38.944 W,3.9,105,5.4,0.3,258,1021.8,56.8,0.0,0.0,21.0
2023-05-22T16:58:08-04:00,13.3,80,S150,5.7,290, ,40º 52.517 N,71º 46.551 W,4.2,99,5.5,0.1,258,1022.2,56.1,0.0,0.0,20.1
2023-05-22T17:47:25-04:00,12.5,88,P151,5.7,239, ,40º 54.127 N,71º 52.399 W,4.1,101,5.4,0.2,253,1022.5,55.7,0.0,0.0,20.5
2023-05-22T19:44:33-04:00,12.6,99,P140,6.3,239, ,40º 48.414 N,72º 05.070 W,4.1,100,5.4,0.1,270,1023.4,55.9,0.0,0.0,21.4
2023-05-22T21:30:32-04:00,13.5,101,P156,5.8,257, ,40º 42.701 N,72º 17.740 W,4.0,100,5.5,0.2,289,1024.0,55.8,0.0,0.0,18.0
2023-05-22T23:38:57-04:00,12.0,104,S146,5.1,318, ,40º 39.884 N,72º 33.721 W,3.7,102,5.6,0.2,269,1024.6,55.4,0.0,0.0,15.2
2023-05-23T01:25:05-04:00,7.6,90,P113,4.5,203, ,40º 46.548 N,72º 41.673 W,3.1,108,5.6,0.2,256,1024.8,54.1,0.0,0.0,12.4
2023-05-23T04:16:31-04:00,11.0,53,S154,5.0,259, ,40º 34.756 N,72º 48.414 W,3.5,100,5.7,0.2,278,1025.0,55.0,0.0,0.0,15.8
2023-05-23T05:07:09-04:00,11.5,49,S137,5.5,272, ,40º 33.914 N,72º 53.889 W,3.5,100,5.7,0.2,267,1025.2,55.0,0.0,0.0,15.9
2023-05-23T07:32:57-04:00,11.0,58,S130,5.4,288, ,40º 34.420 N,73º 11.576 W,3.1,100,5.6,0.1,273,1026.6,55.7,0.0,0.0,16.1
2023-05-23T08:52:13-04:00,9.3,65,S47,2.9,18, ,40º 36.619 N,73º 20.583 W,2.5,104,5.5,,,1027.1,56.3,0.0,0.0,15.2
2023-05-23T09:17:00-04:00,8.6,69,P129,4.5,198, ,40º 37.770 N,73º 20.092 W,2.4,105,5.5,,,1027.2,56.9,0.0,0.0,15.2
2023-05-23T09:33:15-04:00,9.2,71,P98,7.4,169, ,40º 36.619 N,73º 20.583 W,2.5,104,5.5,,,1027.3,56.4,0.0,0.0,15.8
2023-05-23T11:29:17-04:00,14.4,69,P92,9.7,161, ,40º 22.477 N,73º 16.960 W,3.9,95,5.7,0.2,267,1027.4,55.9,0.0,0.0,17.0
2023-05-23T14:14:46-04:00,15.8,65,P95,9.7,161, ,39º 57.203 N,73º 05.304 W,4.8,90,6.1,0.2,226,1026.3,55.8,0.0,0.0,16.1
2023-05-23T17:04:13-04:00,16.3,53,S147,6.9,266, ,39º 31.929 N,72º 53.648 W,5.5,87,6.3,0.3,239,1024.9,57.4,0.0,0.0,18.3
2023-05-23T18:45:10-04:00,14.9,58,S153,6.3,266, ,39º 31.054 N,73º 08.657 W,5.3,88,6.4,0.3,254,1024.8,57.2,0.0,0.0,15.6
2023-05-23T20:36:10-04:00,13.7,66,P154,6.5,220, ,39º 30.179 N,73º 23.665 W,5.1,91,6.5,0.3,257,1024.6,57.1,0.0,0.0,13.8
2023-05-23T22:56:58-04:00,14.2,77,P144,6.1,222, ,39º 18.556 N,73º 36.302 W,5.3,91,6.7,0.2,259,1023.9,57.4,0.0,0.0,14.2
2023-05-24T01:26:02-04:00,12.6,61,S139,6.3,282, ,39º 07.223 N,73º 49.383 W,5.3,91,6.8,0.2,258,1022.7,57.9,0.0,0.0,12.6
2023-05-24T03:23:47-04:00,11.9,52,S130,6.3,282, ,39º 09.738 N,74º 04.886 W,4.9,93,6.9,0.2,260,1022.2,57.5,0.0,0.0,11.9
2023-05-24T05:20:37-04:00,11.3,49,S127,5.7,282, ,39º 12.253 N,74º 20.389 W,4.4,95,7.0,0.2,244,1021.9,57.7,0.0,0.0,12.6
2023-05-24T07:29:51-04:00,7.8,27,P103,5.2,130, ,39º 14.768 N,74º 35.893 W,3.1,100,7.1,0.0,9,1021.8,57.0,0.0,0.0,10.5
2023-05-24T08:01:10-04:00,9.2,28,P119,5.6,147, ,39º 13.027 N,74º 33.226 W,3.5,98,7.1,0.0,309,1021.7,57.6,0.0,0.0,11.6
2023-05-24T09:02:12-04:00,11.0,37,P116,6.6,153, ,39º 08.254 N,74º 29.297 W,4.2,94,7.1,0.1,238,1021.5,57.8,0.0,0.0,13.2
2023-05-24T11:01:53-04:00,11.5,34,P119,6.2,153, ,38º 56.575 N,74º 21.780 W,4.9,90,7.1,0.2,236,1021.1,58.4,0.0,0.0,13.0
2023-05-24T13:08:13-04:00,11.2,28,P125,6.5,153, ,38º 44.897 N,74º 14.264 W,5.2,89,7.2,0.2,242,1019.8,59.3,0.0,0.0,12.5
2023-05-24T15:09:02-04:00,13.9,33,P120,8.1,153, ,38º 33.218 N,74º 06.748 W,5.4,87,7.2,0.2,253,1018.3,60.6,0.0,0.0,13.9
2023-05-24T16:46:26-04:00,15.4,31,P122,8.2,153, ,38º 21.540 N,73º 59.231 W,5.6,86,7.2,0.3,249,1017.0,61.7,0.0,0.0,15.4
2023-05-24T18:21:59-04:00,15.9,33,S154,6.3,239, ,38º 09.862 N,73º 51.715 W,5.7,84,7.2,0.2,252,1016.4,61.6,0.0,0.0,15.9
2023-05-24T20:10:47-04:00,11.7,29,S140,5.8,249, ,38º 04.003 N,74º 04.163 W,5.6,85,7.3,0.3,237,1016.0,62.4,0.0,0.0,11.7
2023-05-24T21:10:55-04:00,10.2,16,S117,6.2,259, ,38º 01.870 N,74º 11.042 W,5.5,86,7.3,0.3,237,1015.7,62.9,0.0,0.0,10.7
2023-05-25T00:11:11-04:00,8.7,9,S97,5.5,271, ,37º 58.361 N,74º 33.854 W,5.0,88,7.3,0.3,231,1015.0,63.8,0.0,0.0,9.2
2023-05-25T04:02:19-04:00,7.2,7,S146,3.6,221, ,37º 59.045 N,74º 59.706 W,4.3,89,7.2,0.2,208,1014.9,61.2,0.0,0.0,13.5
2023-05-25T05:45:12-04:00,7.6,6,S138,3.9,228, ,37º 54.309 N,75º 04.854 W,4.4,85,6.9,0.2,209,1015.3,61.2,0.0,0.0,18.6
2023-05-25T08:25:19-04:00,8.5,14,S136,4.8,238, ,37º 47.431 N,75º 14.612 W,4.5,77,6.4,0.2,209,1016.2,61.0,0.0,0.0,26.6
