,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,GFS,2023-05-22T09:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.920N 76 21.270W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-22T09:00:00-04:00,15.3,43,S147,6.5,255, ,41º 20.388 N,71º 23.849 W,3.1,142,6.3,0.1,190,1021.1,58.0,0.0,0.0,23.3
2023-05-22T09:55:31-04:00,14.9,54,P154,6.4,208, ,41º 18.835 N,71º 31.618 W,2.9,136,6.3,0.0,36,1021.5,58.4,0.0,0.0,21.9
2023-05-22T10:38:16-04:00,15.9,63,P139,7.4,202, ,41º 14.810 N,71º 34.473 W,3.0,127,6.1,0.1,297,1021.8,57.8,0.0,0.0,22.1
2023-05-22T12:16:20-04:00,17.3,63,P139,7.4,202, ,41º 03.664 N,71º 40.512 W,3.5,116,5.8,0.2,252,1022.3,56.9,0.0,0.0,23.4
2023-05-22T13:54:25-04:00,16.3,64,S131,7.1,293, ,40º 52.517 N,71º 46.551 W,4.0,104,5.6,0.0,231,1022.8,56.4,0.0,0.0,23.2
2023-05-22T15:55:59-04:00,17.3,91,P156,6.6,246, ,40º 58.068 N,72º 04.073 W,2.9,114,5.6,0.1,259,1023.1,57.1,0.0,0.0,23.3
2023-05-22T18:56:02-04:00,14.5,100,P152,6.3,251, ,40º 50.095 N,72º 27.939 W,3.3,110,5.5,0.2,265,1023.8,56.8,0.0,0.0,21.9
2023-05-22T20:40:24-04:00,13.1,96,P125,6.8,221, ,40º 46.548 N,72º 41.673 W,3.1,111,5.5,0.1,276,1024.5,56.2,0.0,0.0,20.5
2023-05-22T22:38:58-04:00,13.3,91,P149,6.2,240, ,40º 36.506 N,72º 53.350 W,3.5,106,5.5,0.1,288,1025.5,56.2,0.0,0.0,19.1
2023-05-23T00:45:11-04:00,14.2,90,S151,6.0,300, ,40º 29.936 N,73º 08.091 W,3.6,103,5.5,0.1,275,1025.6,56.8,0.0,0.0,17.6
