,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,SPIRE,2023-05-23T06:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.920N 76 21.270W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-23T06:00:00-04:00,8.8,47,P134,4.9,181, ,41º 20.388 N,71º 23.849 W,2.1,119,5.6,0.1,256,1027.0,53.5,0.0,0.0,13.2
2023-05-23T06:52:44-04:00,10.6,56,P148,5.0,205, ,41º 16.064 N,71º 23.991 W,2.4,113,5.5,0.1,231,1027.4,53.6,0.0,0.0,14.2
2023-05-23T07:34:08-04:00,11.2,60,P152,5.2,212, ,41º 12.901 N,71º 25.910 W,2.6,109,5.5,0.3,239,1027.7,53.6,0.0,0.0,14.1
2023-05-23T08:12:52-04:00,11.5,63,P156,5.3,219, ,41º 10.027 N,71º 28.274 W,2.7,107,5.6,0.3,247,1027.9,53.6,0.0,0.0,14.0
2023-05-23T10:00:00-04:00,11.5,71,P149,5.6,219, ,41º 02.709 N,71º 36.231 W,2.9,104,5.6,0.4,269,1028.1,53.6,0.0,0.0,15.4
2023-05-23T11:59:29-04:00,11.8,77,P128,6.3,205, ,40º 54.099 N,71º 45.592 W,3.3,101,5.6,0.2,275,1027.9,53.5,0.0,0.0,16.2
2023-05-23T12:15:57-04:00,11.9,78,P154,5.3,232, ,40º 52.517 N,71º 46.551 W,3.4,101,5.6,0.2,269,1027.8,53.6,0.0,0.0,16.2
2023-05-23T14:56:33-04:00,12.2,80,P158,5.1,238, ,40º 43.786 N,72º 01.363 W,3.7,101,5.8,0.2,285,1026.7,53.9,0.0,0.0,15.2
2023-05-23T17:06:41-04:00,12.0,78,S150,5.1,289, ,40º 37.927 N,72º 13.811 W,3.9,103,6.1,0.2,294,1025.6,54.2,0.0,0.0,13.4
2023-05-23T19:26:28-04:00,10.3,84,S148,4.4,296, ,40º 41.737 N,72º 28.666 W,3.7,108,6.4,0.2,275,1024.6,53.9,0.0,0.0,11.5
2023-05-23T21:55:29-04:00,7.7,79,P125,4.0,204, ,40º 46.548 N,72º 41.673 W,3.3,112,6.6,0.2,266,1024.2,53.0,0.0,0.0,9.0
2023-05-24T00:50:51-04:00,8.4,54,S155,3.8,259, ,40º 35.907 N,72º 47.923 W,4.2,108,6.9,0.2,280,1022.6,54.2,0.0,0.0,12.0
2023-05-24T03:17:47-04:00,8.3,47,S128,4.3,278, ,40º 34.082 N,72º 59.785 W,4.2,108,7.0,0.1,268,1021.1,54.3,0.0,0.0,13.2
2023-05-24T05:05:35-04:00,7.5,44,S126,4.0,278, ,40º 35.206 N,73º 09.962 W,3.9,109,7.1,0.1,283,1020.4,54.6,0.0,0.0,12.8
