,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,UKMO,2023-05-23T18:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-23T18:00:00-04:00,9.9,100,P105,6.7,205, ,41º 20.388 N,71º 23.849 W,2.4,120,5.6,0.1,249,1026.0,55.0,0.0,0.0,12.5
2023-05-23T19:22:22-04:00,12.5,97,P116,7.7,213, ,41º 12.049 N,71º 29.116 W,3.0,111,5.7,0.2,222,1025.2,53.8,0.0,0.0,15.9
2023-05-23T20:54:40-04:00,13.7,95,P121,7.2,215, ,41º 02.138 N,71º 37.612 W,3.5,105,6.0,0.3,267,1024.7,53.0,0.0,0.0,15.4
2023-05-23T22:32:29-04:00,11.6,86,P138,5.3,223, ,40º 52.517 N,71º 46.551 W,4.0,103,6.3,0.1,261,1024.3,52.5,0.0,0.0,13.5
2023-05-24T01:04:24-04:00,10.9,80,P148,4.8,228, ,40º 42.766 N,71º 58.673 W,4.4,101,6.6,0.1,277,1022.9,52.3,0.0,0.0,13.4
2023-05-24T02:55:46-04:00,11.3,64,S135,5.5,289, ,40º 36.748 N,72º 07.494 W,4.6,100,6.8,0.2,281,1021.8,52.4,0.0,0.0,13.9
2023-05-24T05:14:32-04:00,10.2,56,S127,5.3,289, ,40º 40.922 N,72º 23.473 W,4.3,103,6.9,0.1,329,1020.8,53.0,0.0,0.0,13.3
2023-05-24T07:40:37-04:00,7.7,48,S97,5.0,311, ,40º 45.097 N,72º 39.451 W,3.5,109,7.1,0.1,291,1020.2,53.7,0.0,0.0,9.3
2023-05-24T08:07:14-04:00,6.6,50,S152,2.8,259, ,40º 46.548 N,72º 41.673 W,3.4,109,7.2,0.1,280,1020.0,54.4,0.0,0.0,9.0
2023-05-24T08:36:59-04:00,6.1,61,P158,3.0,219, ,40º 46.267 N,72º 43.498 W,3.4,110,7.2,0.1,281,1019.7,55.0,0.0,0.0,9.2
2023-05-24T10:06:41-04:00,6.3,99,P141,2.8,240, ,40º 42.823 N,72º 47.242 W,3.4,109,7.2,0.1,283,1018.9,54.8,0.0,0.0,8.9
2023-05-24T13:20:07-04:00,2.8,164,P108,2.1,272, ,40º 38.396 N,72º 57.374 W,3.7,109,7.4,0.1,272,1017.1,54.8,0.0,0.0,7.6
2023-05-24T16:15:27-04:00,5.3,202,P57,2.9,259, ,40º 38.575 N,73º 05.539 W,3.4,113,7.4,,,1014.6,56.9,0.0,0.0,9.6
2023-05-24T18:55:10-04:00,6.4,161,P103,3.9,264, ,40º 37.031 N,73º 15.576 W,3.1,116,7.4,,,1014.4,58.9,0.0,0.0,15.2
2023-05-24T19:53:46-04:00,6.0,161,S143,2.6,18, ,40º 36.619 N,73º 20.583 W,2.8,118,7.4,,,1014.7,59.5,0.0,0.0,17.1
2023-05-24T20:21:51-04:00,4.4,173,P22,2.7,195, ,40º 37.770 N,73º 20.092 W,2.7,119,7.3,,,1014.8,59.8,0.0,0.0,16.5
2023-05-24T23:09:21-04:00,13.4,349,S144,6.5,205, ,40º 30.573 N,73º 22.597 W,3.9,106,6.9,0.2,246,1015.0,60.5,0.0,0.0,22.0
2023-05-24T23:57:45-04:00,21.2,5,P151,6.5,156, ,40º 25.828 N,73º 25.475 W,4.2,96,6.7,0.2,249,1015.0,59.4,0.0,0.0,23.4
2023-05-25T02:14:26-04:00,19.3,3,P152,6.6,156, ,40º 12.353 N,73º 17.519 W,5.1,78,6.1,0.2,251,1015.0,57.5,0.0,0.0,26.0
2023-05-25T04:28:18-04:00,19.5,7,P149,6.8,156, ,39º 58.879 N,73º 09.562 W,5.9,59,5.9,0.3,239,1015.6,55.4,0.0,0.0,28.4
2023-05-25T06:38:36-04:00,20.3,9,P147,6.9,156, ,39º 45.404 N,73º 01.605 W,6.4,51,5.9,0.2,243,1016.5,54.6,0.0,0.0,28.1
2023-05-25T08:46:32-04:00,19.4,13,S100,9.7,273, ,39º 31.929 N,72º 53.648 W,6.8,49,6.0,0.2,211,1017.5,54.8,0.0,0.0,26.2
2023-05-25T09:03:57-04:00,19.8,14,S109,9.0,265, ,39º 32.088 N,72º 57.275 W,6.8,49,6.0,0.1,223,1017.7,54.7,0.0,0.0,25.8
2023-05-25T11:40:38-04:00,18.1,14,S109,9.1,265, ,39º 30.005 N,73º 27.908 W,6.3,52,6.1,0.3,239,1019.4,54.5,0.0,0.0,23.3
2023-05-25T14:22:02-04:00,14.4,39,S132,6.7,267, ,39º 28.019 N,73º 58.690 W,5.2,66,6.2,0.4,217,1019.6,55.7,0.0,0.0,18.1
2023-05-25T16:06:20-04:00,12.3,73,P147,5.8,220, ,39º 27.505 N,74º 13.687 W,3.8,83,6.5,0.2,208,1019.0,57.1,0.0,0.0,17.3
2023-05-25T16:58:46-04:00,11.8,83,P154,5.0,238, ,39º 23.630 N,74º 17.899 W,3.7,87,6.6,0.2,206,1018.8,58.0,0.0,0.0,15.5
2023-05-25T18:36:54-04:00,9.3,104,P133,4.4,238, ,39º 19.199 N,74º 26.896 W,3.5,93,6.7,0.2,216,1019.2,58.3,0.0,0.0,13.3
2023-05-25T20:28:29-04:00,6.4,139,P72,3.1,211, ,39º 14.768 N,74º 35.893 W,3.1,99,6.8,0.1,214,1020.1,57.4,0.0,0.0,8.1
2023-05-25T23:14:29-04:00,8.2,164,S65,3.9,98, ,39º 07.440 N,74º 41.579 W,2.4,100,7.2,0.1,214,1021.1,57.4,0.0,0.0,8.7
2023-05-25T23:31:04-04:00,7.5,162,P58,2.5,220, ,39º 07.290 N,74º 40.222 W,2.7,100,7.3,0.1,215,1021.1,57.5,0.0,0.0,8.7
2023-05-26T02:16:46-04:00,3.2,95,P67,3.5,162, ,39º 02.124 N,74º 45.839 W,2.4,103,7.3,0.1,225,1021.2,57.6,0.0,0.0,4.9
2023-05-26T03:48:02-04:00,9.1,40,P107,6.6,147, ,38º 57.070 N,74º 43.735 W,3.2,100,7.4,0.1,231,1021.4,58.3,0.0,0.0,9.1
