,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,SPIRE,2023-05-23T21:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.920N 76 21.270W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-23T21:00:00-04:00,7.4,108,P100,4.9,206, ,41º 20.388 N,71º 23.849 W,2.4,122,6.0,0.1,243,1024.5,53.8,0.0,0.0,11.6
2023-05-24T00:33:50-04:00,7.2,82,P138,3.6,219, ,41º 05.152 N,71º 34.335 W,3.3,111,6.5,0.3,258,1023.1,52.3,0.0,0.0,10.4
2023-05-24T03:49:46-04:00,7.4,73,P134,4.0,207, ,40º 56.111 N,71º 44.164 W,3.8,108,6.8,0.2,259,1021.2,52.2,0.0,0.0,10.8
2023-05-24T04:50:45-04:00,7.9,72,S154,3.6,278, ,40º 52.517 N,71º 46.551 W,4.0,107,6.9,0.2,255,1020.7,52.2,0.0,0.0,11.5
2023-05-24T07:18:52-04:00,7.6,72,S154,3.3,278, ,40º 53.791 N,71º 58.085 W,3.7,109,7.0,0.3,250,1020.3,52.5,0.0,0.0,9.9
2023-05-24T09:58:17-04:00,6.0,86,P157,2.9,243, ,40º 55.064 N,72º 09.619 W,3.1,113,7.2,0.3,256,1019.4,54.1,0.0,0.0,6.0
2023-05-24T12:17:19-04:00,5.4,108,P137,3.3,245, ,40º 52.069 N,72º 17.434 W,3.5,114,7.3,0.3,256,1018.0,54.2,0.0,0.0,6.9
2023-05-24T15:04:56-04:00,5.6,138,P123,3.5,260, ,40º 48.223 N,72º 28.454 W,3.5,115,7.4,0.3,249,1015.8,52.4,0.0,0.0,8.5
2023-05-24T17:59:15-04:00,4.8,167,P81,2.3,248, ,40º 46.548 N,72º 41.673 W,3.4,118,7.5,0.2,252,1014.0,56.4,0.0,0.0,7.8
2023-05-24T20:25:23-04:00,4.5,191,P67,2.4,259, ,40º 44.414 N,72º 48.552 W,2.9,122,7.5,0.2,250,1013.9,56.1,0.0,0.0,5.8
2023-05-24T21:01:07-04:00,5.7,206,S25,2.3,181, ,40º 44.134 N,72º 50.377 W,2.8,123,7.5,0.2,249,1014.1,56.6,0.0,0.0,6.5
2023-05-24T21:19:51-04:00,6.4,353,S111,4.4,241, ,40º 43.413 N,72º 50.401 W,2.9,122,7.5,0.2,249,1014.2,56.8,0.0,0.0,6.9
2023-05-24T22:56:57-04:00,9.8,9,S116,5.9,252, ,40º 39.988 N,72º 58.684 W,3.1,120,7.6,0.2,247,1014.8,58.5,0.0,0.0,9.8
2023-05-24T23:30:32-04:00,10.7,9,S110,6.8,259, ,40º 38.996 N,73º 02.801 W,3.2,118,7.4,,,1014.8,58.7,0.0,0.0,11.7
