,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,PWG,2023-05-24T21:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-24T21:00:00-04:00,13.2,117,P85,8.3,202, ,41º 20.388 N,71º 23.849 W,2.7,135,7.3,0.1,227,1014.4,55.2,0.0,0.0,16.7
2023-05-24T21:21:21-04:00,14.4,25,P144,5.3,168, ,41º 17.655 N,71º 25.301 W,2.8,132,7.4,0.1,207,1014.5,55.1,0.0,0.0,18.3
2023-05-24T22:01:51-04:00,15.9,10,S149,6.7,221, ,41º 13.181 N,71º 24.085 W,3.1,129,7.4,0.2,217,1014.6,54.8,0.0,0.0,22.0
2023-05-25T00:11:51-04:00,13.6,9,S150,6.3,219, ,41º 02.278 N,71º 36.698 W,3.7,118,7.1,0.3,248,1014.9,53.3,0.0,0.0,26.5
2023-05-25T02:08:14-04:00,20.2,17,P113,8.5,131, ,40º 52.807 N,71º 46.996 W,4.2,106,6.6,0.3,248,1015.2,51.4,0.0,0.0,24.0
2023-05-25T02:11:38-04:00,20.3,17,S114,9.0,263, ,40º 52.517 N,71º 46.551 W,4.2,105,6.6,0.3,248,1015.2,51.5,0.0,0.0,24.0
2023-05-25T04:53:29-04:00,17.9,17,S118,8.9,259, ,40º 49.766 N,72º 18.417 W,4.2,82,6.1,0.3,248,1016.5,49.4,0.0,0.0,20.5
2023-05-25T06:52:13-04:00,15.4,10,S123,8.4,247, ,40º 46.548 N,72º 41.673 W,3.7,91,6.3,0.3,240,1017.9,50.1,0.0,0.0,19.8
2023-05-25T08:58:29-04:00,15.7,16,S121,8.1,255, ,40º 39.716 N,73º 02.778 W,3.5,81,6.1,,,1018.9,53.2,0.0,0.0,16.5
2023-05-25T10:18:23-04:00,14.3,22,S117,8.0,265, ,40º 36.890 N,73º 16.489 W,3.0,96,6.7,,,1019.3,54.9,0.0,0.0,14.4
2023-05-25T10:41:55-04:00,13.6,23,S72,7.1,311, ,40º 36.619 N,73º 20.583 W,2.7,101,6.8,,,1019.4,55.7,0.0,0.0,14.0
2023-05-25T10:45:42-04:00,13.4,23,P56,5.1,79, ,40º 36.909 N,73º 21.028 W,2.6,103,6.9,,,1019.4,55.9,0.0,0.0,13.9
2023-05-25T10:54:17-04:00,13.3,24,S22,2.0,1, ,40º 37.050 N,73º 20.115 W,2.6,103,6.9,,,1019.4,56.1,0.0,0.0,13.6
2023-05-25T11:16:30-04:00,12.5,25,P173,4.1,198, ,40º 37.770 N,73º 20.092 W,2.5,105,7.0,,,1019.3,57.0,0.0,0.0,12.9
2023-05-25T11:34:39-04:00,12.4,26,P110,7.8,136, ,40º 36.619 N,73º 20.583 W,2.6,104,7.0,,,1019.3,57.3,0.0,0.0,12.5
2023-05-25T12:22:56-04:00,14.0,31,P110,8.0,141, ,40º 32.126 N,73º 14.829 W,3.6,95,6.8,0.2,243,1019.0,57.5,0.0,0.0,14.0
2023-05-25T14:57:27-04:00,7.9,62,P91,5.2,153, ,40º 18.228 N,73º 00.304 W,4.5,89,6.8,0.2,265,1018.8,56.0,0.0,0.0,9.1
2023-05-25T15:31:07-04:00,7.8,82,P100,5.1,181, ,40º 15.626 N,72º 58.573 W,4.6,89,6.9,0.2,259,1018.8,55.2,0.0,0.0,8.5
2023-05-25T16:30:13-04:00,7.0,113,P92,3.6,205, ,40º 10.582 N,72º 58.738 W,4.6,89,7.0,0.3,256,1018.7,54.8,0.0,0.0,7.0
2023-05-25T18:56:17-04:00,6.9,139,P66,3.3,205, ,40º 02.674 N,73º 03.536 W,4.4,93,7.2,0.2,226,1019.5,55.3,0.0,0.0,6.9
2023-05-25T21:33:11-04:00,6.6,141,P59,2.5,200, ,39º 54.766 N,73º 08.335 W,4.3,96,7.5,0.2,212,1020.4,55.7,0.0,0.0,6.9
2023-05-26T00:40:40-04:00,3.4,144,S28,1.0,116, ,39º 47.428 N,73º 11.752 W,4.1,99,7.7,0.2,192,1021.3,55.8,0.0,0.0,7.2
2023-05-26T02:55:20-04:00,2.0,238,S68,1.6,170, ,39º 46.408 N,73º 09.062 W,4.1,102,7.8,0.2,193,1021.7,56.0,0.0,0.0,6.0
2023-05-26T06:08:45-04:00,4.4,326,P164,3.3,130, ,39º 41.213 N,73º 07.870 W,4.1,102,7.7,0.2,208,1022.4,56.4,0.0,0.0,5.1
2023-05-26T10:26:38-04:00,10.4,18,S114,6.2,264, ,39º 31.929 N,72º 53.648 W,4.2,101,7.6,0.3,206,1023.4,56.8,0.0,0.0,10.4
2023-05-26T12:07:15-04:00,10.3,24,S121,5.5,264, ,39º 30.760 N,73º 07.078 W,4.0,101,7.6,0.2,215,1023.6,57.6,0.0,0.0,13.0
2023-05-26T14:00:21-04:00,9.0,27,S117,4.6,269, ,39º 29.590 N,73º 20.507 W,3.8,102,7.7,0.1,268,1023.6,58.4,0.0,0.0,12.8
2023-05-26T15:41:42-04:00,6.5,45,S118,3.1,288, ,39º 29.487 N,73º 30.497 W,3.6,103,7.8,0.1,251,1023.2,58.9,0.0,0.0,11.7
2023-05-26T17:34:16-04:00,5.4,94,P162,3.9,256, ,39º 31.247 N,73º 37.702 W,3.4,105,7.9,0.2,243,1022.9,59.2,0.0,0.0,11.0
2023-05-26T19:43:52-04:00,9.9,139,P108,6.9,246, ,39º 29.273 N,73º 48.208 W,3.2,106,7.9,0.2,252,1023.2,59.3,0.0,0.0,9.9
2023-05-26T22:34:21-04:00,12.4,156,P91,7.3,247, ,39º 20.729 N,74º 13.454 W,2.9,108,7.8,0.1,229,1023.8,59.8,0.0,0.0,12.4
2023-05-27T00:12:31-04:00,8.2,161,P98,4.6,259, ,39º 16.031 N,74º 27.680 W,2.5,111,7.7,0.1,232,1023.9,58.9,0.0,0.0,8.2
2023-05-27T01:37:11-04:00,4.4,172,S51,2.1,121, ,39º 14.768 N,74º 35.893 W,2.1,113,7.7,0.1,228,1023.9,55.7,0.0,0.0,4.9
2023-05-27T03:23:30-04:00,5.6,279,S86,3.1,192, ,39º 12.877 N,74º 31.869 W,2.3,110,7.8,0.1,242,1023.9,57.8,0.0,0.0,7.5
2023-05-27T05:15:38-04:00,6.3,351,P139,3.9,130, ,39º 07.262 N,74º 33.414 W,2.5,108,7.7,0.0,227,1024.1,58.0,0.0,0.0,10.6
2023-05-27T07:33:20-04:00,8.3,44,P109,6.0,154, ,39º 01.459 N,74º 24.526 W,2.8,103,7.4,0.1,263,1025.2,59.8,0.0,0.0,14.7
2023-05-27T09:57:10-04:00,11.7,60,P93,8.5,154, ,38º 48.559 N,74º 16.322 W,3.2,96,6.7,0.1,270,1025.4,59.9,0.0,0.0,18.4
2023-05-27T11:38:30-04:00,14.9,61,P92,9.7,154, ,38º 35.660 N,74º 08.120 W,3.9,89,6.0,0.1,343,1025.2,59.8,0.0,0.0,21.6
2023-05-27T14:36:30-04:00,17.4,67,S149,6.6,277, ,38º 09.862 N,73º 51.715 W,5.0,88,5.9,0.5,6,1024.0,61.5,0.0,0.0,23.9
2023-05-27T16:37:47-04:00,16.8,61,S144,6.5,277, ,38º 11.566 N,74º 08.606 W,5.1,91,6.0,0.1,348,1023.9,61.2,0.0,0.0,23.3
2023-05-27T18:40:32-04:00,19.1,62,S145,6.4,277, ,38º 13.270 N,74º 25.498 W,5.2,94,6.1,0.2,21,1024.1,61.3,0.0,0.0,23.2
2023-05-27T20:45:22-04:00,21.2,71,P149,6.7,221, ,38º 14.973 N,74º 42.389 W,5.0,98,6.2,0.0,11,1024.2,61.8,0.0,0.0,22.4
2023-05-27T22:16:59-04:00,21.5,78,P143,6.9,221, ,38º 07.224 N,74º 50.813 W,5.1,101,6.4,0.1,21,1024.0,61.6,0.2,0.0,23.0
