,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,PWG,2023-05-24T06:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-24T06:00:00-04:00,6.3,33,S152,2.7,241, ,41º 20.388 N,71º 23.849 W,2.3,121,6.5,0.1,206,1020.5,50.6,0.0,0.0,6.3
2023-05-24T06:25:53-04:00,6.6,37,P154,3.3,191, ,41º 19.817 N,71º 25.230 W,2.4,120,6.5,0.1,172,1020.4,51.4,0.0,0.0,6.6
2023-05-24T09:34:10-04:00,5.9,83,P119,3.7,201, ,41º 09.737 N,71º 27.830 W,3.1,114,6.8,0.2,211,1019.1,52.7,0.0,0.0,5.9
2023-05-24T11:30:39-04:00,5.5,116,P106,3.6,222, ,41º 03.121 N,71º 31.224 W,3.5,111,7.0,0.2,247,1017.9,53.0,0.0,0.0,5.5
2023-05-24T14:45:58-04:00,6.2,150,P94,4.0,244, ,40º 54.370 N,71º 41.497 W,3.9,111,7.2,0.2,262,1015.9,53.6,0.0,0.0,6.2
2023-05-24T15:50:24-04:00,5.7,162,P116,3.5,278, ,40º 52.517 N,71º 46.551 W,3.9,112,7.3,0.2,248,1015.1,54.2,0.0,0.0,5.7
2023-05-24T16:25:33-04:00,6.4,165,P94,5.7,259, ,40º 52.817 N,71º 49.265 W,3.9,113,7.3,0.2,248,1014.6,54.6,0.0,0.0,6.4
2023-05-24T18:31:33-04:00,10.6,166,P93,7.1,259, ,40º 50.431 N,72º 04.777 W,3.9,115,7.4,0.2,255,1014.1,56.5,0.0,0.0,10.6
2023-05-24T20:12:43-04:00,9.1,164,P99,6.2,263, ,40º 48.045 N,72º 20.289 W,3.7,117,7.5,0.3,251,1014.3,57.8,0.0,0.0,14.3
2023-05-24T21:40:29-04:00,9.6,6,S99,7.2,267, ,40º 46.940 N,72º 32.128 W,3.7,115,7.3,0.3,244,1014.8,57.8,0.0,0.0,21.3
