,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,SPIRE,2023-05-25T20:14:26-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-25T20:14:26-04:00,6.8,189,S58,2.9,131, ,41º 20.388 N,71º 23.849 W,2.8,133,8.2,0.1,185,1020.5,55.9,0.0,0.0,7.8
2023-05-25T20:23:39-04:00,6.9,188,P49,2.5,237, ,41º 20.098 N,71º 23.405 W,2.8,133,8.2,0.1,186,1020.6,55.9,0.0,0.0,8.0
2023-05-25T23:48:27-04:00,4.5,208,S55,2.4,153, ,41º 15.381 N,71º 33.092 W,2.8,128,8.3,0.2,153,1022.2,55.2,0.0,0.0,6.8
2023-05-26T01:39:16-04:00,4.5,265,S77,3.9,188, ,41º 11.478 N,71º 30.496 W,3.1,126,8.3,0.3,174,1022.3,55.3,0.0,0.0,6.6
2023-05-26T03:11:03-04:00,6.8,304,S86,5.0,218, ,41º 05.573 N,71º 31.598 W,3.3,124,8.2,0.3,222,1022.4,54.5,0.0,0.0,8.3
2023-05-26T05:58:07-04:00,10.2,352,S117,6.0,234, ,40º 54.520 N,71º 42.854 W,3.6,118,8.3,0.3,197,1023.4,53.2,0.0,0.0,10.4
2023-05-26T06:32:19-04:00,9.9,351,S95,6.5,257, ,40º 52.517 N,71º 46.551 W,3.6,117,8.2,0.2,211,1023.8,53.2,0.0,0.0,11.1
2023-05-26T08:10:02-04:00,9.3,355,S98,5.6,257, ,40º 50.075 N,72º 00.098 W,3.5,116,8.3,0.2,216,1025.0,53.2,0.0,0.0,10.3
2023-05-26T10:02:11-04:00,6.9,355,S98,3.2,257, ,40º 47.633 N,72º 13.645 W,3.4,116,8.5,0.2,223,1025.1,55.8,0.0,0.0,6.9
2023-05-26T13:19:01-04:00,2.2,195,P74,2.3,268, ,40º 45.190 N,72º 27.191 W,3.1,118,8.5,0.2,225,1024.7,57.3,0.0,0.0,6.7
