,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,PWE,2023-05-25T18:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.920N 76 21.270W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-25T18:00:00-04:00,22.8,31,S146,6.7,245, ,41º 20.388 N,71º 23.849 W,2.5,124,7.1,0.2,234,1018.0,55.7,0.0,0.0,22.8
2023-05-25T20:15:25-04:00,23.1,34,P155,6.6,189, ,41º 13.977 N,71º 42.217 W,2.4,125,7.3,0.2,249,1019.3,54.8,0.0,0.0,23.1
2023-05-25T22:31:55-04:00,25.0,37,S155,6.7,241, ,40º 59.143 N,71º 45.427 W,3.2,117,7.6,0.4,242,1020.7,53.9,0.0,0.0,25.0
2023-05-26T00:07:55-04:00,24.6,36,S155,6.7,241, ,40º 54.006 N,71º 57.851 W,3.2,117,7.7,0.5,245,1021.1,54.1,0.0,0.0,24.6
2023-05-26T01:43:43-04:00,24.7,36,S154,6.6,241, ,40º 48.868 N,72º 10.275 W,3.3,116,7.9,0.3,246,1021.3,53.5,0.0,0.0,24.7
2023-05-26T03:21:13-04:00,24.3,36,P154,6.5,190, ,40º 43.730 N,72º 22.700 W,3.3,115,7.9,0.2,254,1021.3,53.3,0.0,0.0,24.3
2023-05-26T05:27:27-04:00,25.0,37,P53,5.2,90, ,40º 30.338 N,72º 25.862 W,3.6,112,7.8,0.2,264,1021.6,53.7,0.0,0.0,25.0
2023-05-26T05:47:14-04:00,24.9,37,S55,5.2,342, ,40º 30.328 N,72º 23.593 W,3.6,111,7.8,0.3,264,1021.8,53.7,0.0,0.0,24.9
2023-05-26T05:59:22-04:00,24.8,37,P61,6.1,98, ,40º 31.339 N,72º 24.013 W,3.6,112,7.8,0.2,267,1021.9,53.6,0.0,0.0,24.8
2023-05-26T06:09:41-04:00,24.8,37,S55,5.2,342, ,40º 31.189 N,72º 22.656 W,3.6,112,7.9,0.3,264,1022.0,53.6,0.0,0.0,24.8
2023-05-26T06:21:50-04:00,24.7,37,P61,6.1,98, ,40º 32.200 N,72º 23.077 W,3.5,112,7.9,0.2,269,1022.2,53.5,0.0,0.0,24.7
2023-05-26T06:32:08-04:00,24.8,37,S55,5.2,342, ,40º 32.050 N,72º 21.720 W,3.5,112,7.9,0.3,265,1022.2,53.5,0.0,0.0,24.8
2023-05-26T06:44:17-04:00,24.6,37,P42,3.9,79, ,40º 33.061 N,72º 22.141 W,3.5,112,7.9,0.2,269,1022.4,53.5,0.0,0.0,24.6
2023-05-26T06:55:15-04:00,24.6,37,S36,3.7,1, ,40º 33.201 N,72º 21.229 W,3.5,113,7.9,0.2,268,1022.5,53.5,0.0,0.0,24.6
2023-05-26T07:30:30-04:00,24.2,37,P52,4.7,89, ,40º 35.363 N,72º 21.158 W,3.5,113,7.9,0.2,274,1022.8,53.3,0.0,0.0,24.2
2023-05-26T10:32:28-04:00,25.0,42,S52,4.5,350, ,40º 35.719 N,72º 02.535 W,3.5,114,8.1,0.4,230,1023.6,54.0,0.0,0.0,25.0
2023-05-26T10:55:45-04:00,24.6,43,P56,5.0,98, ,40º 37.450 N,72º 02.932 W,3.5,114,8.1,0.3,228,1023.7,54.1,0.0,0.0,24.6
2023-05-26T14:05:08-04:00,23.4,45,S56,5.2,349, ,40º 34.913 N,71º 42.134 W,3.5,113,8.2,0.3,243,1023.5,54.6,0.0,0.0,23.4
2023-05-26T15:48:57-04:00,23.1,47,S58,5.6,349, ,40º 43.715 N,71º 44.342 W,3.4,117,8.2,0.4,239,1022.9,56.0,0.0,0.0,23.1
2023-05-26T17:25:30-04:00,21.6,54,S149,7.0,265, ,40º 52.517 N,71º 46.551 W,3.2,122,8.1,0.4,242,1022.6,56.6,0.0,0.0,21.6
2023-05-26T19:01:17-04:00,20.3,60,S155,6.7,265, ,40º 51.497 N,72º 01.337 W,3.1,122,8.0,0.4,247,1022.8,56.0,0.0,0.0,20.3
2023-05-26T20:42:00-04:00,17.7,62,P157,6.5,219, ,40º 50.478 N,72º 16.124 W,2.9,122,8.2,0.4,248,1023.3,55.3,0.0,0.0,17.7
2023-05-26T21:23:10-04:00,18.6,59,S149,7.1,270, ,40º 47.034 N,72º 19.868 W,2.9,121,8.1,0.4,251,1023.6,55.5,0.0,0.0,18.6
2023-05-26T22:21:15-04:00,15.9,57,S155,6.7,262, ,40º 47.072 N,72º 28.945 W,2.8,122,8.1,0.4,247,1023.9,55.6,0.0,0.0,15.9
2023-05-26T23:14:18-04:00,14.1,52,S138,7.1,275, ,40º 46.239 N,72º 36.690 W,2.7,122,8.1,0.4,259,1024.1,55.6,0.0,0.0,14.1
2023-05-26T23:46:11-04:00,12.7,50,P132,6.9,181, ,40º 46.548 N,72º 41.673 W,2.6,123,8.2,0.4,254,1024.0,55.2,0.0,0.0,12.7
2023-05-27T00:04:56-04:00,14.4,51,P157,6.4,207, ,40º 44.386 N,72º 41.744 W,2.6,122,8.2,0.4,254,1024.0,55.6,0.0,0.0,14.4
2023-05-27T01:04:08-04:00,15.7,51,S153,6.6,259, ,40º 38.780 N,72º 45.559 W,2.9,119,8.1,0.3,251,1023.8,55.9,0.0,0.0,15.7
2023-05-27T03:12:22-04:00,13.7,41,S133,7.3,269, ,40º 35.973 N,73º 03.808 W,2.7,119,8.0,0.3,259,1023.9,57.0,0.0,0.0,13.7
2023-05-27T04:34:13-04:00,12.8,37,S109,8.1,288, ,40º 35.740 N,73º 16.980 W,2.3,122,7.9,0.4,252,1024.3,56.9,0.0,0.0,12.8
