,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,PWE,2023-05-25T12:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-25T12:00:00-04:00,7.0,26,S149,3.1,237, ,41º 20.388 N,71º 23.849 W,3.4,90,6.2,0.1,229,1017.8,56.9,0.0,0.0,19.4
2023-05-25T12:55:05-04:00,6.5,43,P140,3.6,183, ,41º 18.815 N,71º 27.079 W,3.2,100,6.6,0.1,208,1017.6,57.9,0.0,0.0,16.0
2023-05-25T16:07:01-04:00,5.0,117,P103,3.2,219, ,41º 07.576 N,71º 27.901 W,3.5,110,7.2,0.3,228,1017.2,56.8,0.0,0.0,13.0
2023-05-25T16:38:41-04:00,4.8,137,P104,2.7,241, ,41º 06.284 N,71º 29.305 W,3.5,112,7.3,0.3,232,1017.2,56.8,0.0,0.0,12.5
2023-05-25T19:45:17-04:00,1.3,66,P121,2.1,187, ,41º 02.288 N,71º 38.968 W,3.3,120,7.7,0.3,239,1018.6,56.2,0.0,0.0,10.4
2023-05-25T21:19:47-04:00,7.3,358,S138,4.9,219, ,40º 58.975 N,71º 39.530 W,3.5,119,7.7,0.2,232,1019.5,55.8,0.0,0.0,12.0
2023-05-25T23:03:04-04:00,15.7,351,S94,8.0,259, ,40º 52.517 N,71º 46.551 W,3.7,119,7.7,0.3,237,1020.3,55.6,0.0,0.0,15.7
2023-05-26T02:39:14-04:00,12.5,22,S110,6.7,272, ,40º 46.042 N,72º 23.986 W,3.4,115,7.9,0.2,241,1020.4,55.7,0.0,0.0,15.1
2023-05-26T04:38:33-04:00,8.7,354,S135,4.7,219, ,40º 46.548 N,72º 41.673 W,2.9,118,8.2,0.2,246,1021.2,51.9,0.0,0.0,9.4
2023-05-26T05:06:53-04:00,9.5,350,S103,5.7,247, ,40º 44.826 N,72º 43.546 W,2.9,118,8.3,0.2,245,1021.3,52.5,0.0,0.0,9.7
2023-05-26T06:37:56-04:00,8.3,349,S97,5.1,252, ,40º 41.410 N,72º 54.098 W,2.6,117,8.3,0.1,226,1022.1,54.9,0.0,0.0,10.0
2023-05-26T09:33:49-04:00,5.5,319,S91,3.3,229, ,40º 36.731 N,73º 12.862 W,2.7,117,8.3,,,1023.1,58.0,0.0,0.0,8.4
2023-05-26T10:24:20-04:00,4.3,266,P29,2.5,295, ,40º 34.869 N,73º 15.647 W,2.7,117,8.4,0.1,243,1023.2,59.0,0.0,0.0,6.5
2023-05-26T12:04:18-04:00,7.8,203,P175,2.9,18, ,40º 36.619 N,73º 20.583 W,2.3,120,8.5,,,1022.9,61.0,0.0,0.0,8.0
2023-05-26T12:30:05-04:00,9.8,198,S17,1.1,181, ,40º 37.770 N,73º 20.092 W,2.2,121,8.5,,,1022.8,61.9,0.0,0.0,9.8
2023-05-26T13:09:15-04:00,12.1,195,P46,3.7,241, ,40º 37.050 N,73º 20.115 W,2.2,121,8.5,,,1022.7,61.4,0.0,0.0,12.1
