,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,PWG,2023-05-25T20:14:26-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-25T20:14:26-04:00,10.6,220,P59,4.1,278, ,41º 20.388 N,71º 23.849 W,2.8,133,8.2,0.1,185,1020.3,54.2,0.0,0.0,10.6
2023-05-25T21:30:32-04:00,11.7,232,P56,4.6,288, ,41º 21.137 N,71º 30.634 W,2.5,134,8.2,0.2,144,1020.9,53.0,0.0,0.0,11.7
2023-05-25T22:07:15-04:00,10.3,242,S61,4.3,181, ,41º 22.016 N,71º 34.237 W,2.3,135,8.2,0.2,136,1021.2,52.0,0.0,0.0,10.3
2023-05-25T22:17:37-04:00,11.1,241,P47,3.3,288, ,41º 21.296 N,71º 34.261 W,2.3,134,8.2,0.2,135,1021.3,52.2,0.0,0.0,11.1
2023-05-25T22:43:21-04:00,10.1,249,S61,5.4,187, ,41º 21.736 N,71º 36.062 W,2.2,134,8.2,0.2,131,1021.5,51.5,0.0,0.0,10.1
2023-05-26T01:34:22-04:00,12.0,264,S64,6.3,200, ,41º 05.891 N,71º 38.850 W,3.2,124,8.2,0.2,242,1022.2,54.7,0.0,0.0,12.0
2023-05-26T03:05:09-04:00,12.6,285,S75,7.4,209, ,40º 56.972 N,71º 43.228 W,3.6,119,8.3,0.2,205,1022.3,55.1,0.0,0.0,12.6
2023-05-26T03:46:42-04:00,11.7,298,P52,4.2,350, ,40º 52.517 N,71º 46.551 W,3.7,118,8.3,0.2,217,1022.3,55.1,0.0,0.0,11.7
2023-05-26T04:11:42-04:00,11.0,316,S70,6.0,246, ,40º 54.249 N,71º 46.948 W,3.6,118,8.3,0.2,214,1022.3,55.2,0.0,0.0,11.0
2023-05-26T05:01:29-04:00,10.9,332,S75,6.8,256, ,40º 52.255 N,71º 52.915 W,3.6,117,8.2,0.2,218,1022.4,55.1,0.0,0.0,10.9
2023-05-26T07:30:10-04:00,10.4,351,S85,6.6,266, ,40º 48.456 N,72º 15.282 W,3.4,115,8.4,0.2,229,1023.7,54.7,0.0,0.0,10.4
2023-05-26T08:20:41-04:00,10.3,349,S90,7.4,259, ,40º 48.054 N,72º 22.558 W,3.2,116,8.4,0.2,226,1024.1,55.2,0.0,0.0,10.9
2023-05-26T09:17:33-04:00,11.4,350,S81,6.1,269, ,40º 46.651 N,72º 31.683 W,3.2,116,8.5,0.2,224,1024.2,56.5,0.0,0.0,11.5
2023-05-26T10:31:25-04:00,9.0,351,S105,5.7,245, ,40º 46.548 N,72º 41.673 W,2.9,119,8.6,0.2,241,1024.2,59.5,0.0,0.0,12.1
2023-05-26T11:35:34-04:00,7.9,359,S130,3.5,230, ,40º 43.984 N,72º 49.020 W,2.5,120,8.6,0.2,238,1024.1,62.1,0.0,0.0,11.8
2023-05-26T13:01:30-04:00,7.5,175,P73,4.2,248, ,40º 40.690 N,72º 54.121 W,2.6,119,8.6,0.2,210,1024.1,63.2,0.0,0.0,10.5
2023-05-26T13:55:04-04:00,8.9,169,P88,4.9,256, ,40º 39.267 N,72º 58.707 W,2.7,118,8.6,0.2,210,1024.0,63.9,0.0,0.0,10.2
2023-05-26T15:54:03-04:00,11.1,185,P82,5.9,267, ,40º 37.012 N,73º 11.037 W,2.7,122,8.2,,,1023.8,64.0,0.0,0.0,11.1
2023-05-26T17:08:04-04:00,12.7,186,S168,3.7,18, ,40º 36.619 N,73º 20.583 W,2.3,126,8.0,,,1023.7,64.0,0.0,0.0,12.7
2023-05-26T17:28:09-04:00,9.0,203,S21,1.3,181, ,40º 37.770 N,73º 20.092 W,2.2,128,7.9,,,1023.7,64.2,0.0,0.0,9.0
2023-05-26T18:00:54-04:00,11.8,188,P70,5.3,259, ,40º 37.050 N,73º 20.115 W,2.2,127,7.9,,,1023.9,63.1,0.0,0.0,11.8
2023-05-26T18:09:10-04:00,11.5,188,S57,4.6,131, ,40º 36.909 N,73º 21.028 W,2.2,127,7.9,,,1023.9,63.0,0.0,0.0,11.5
2023-05-26T20:41:26-04:00,10.3,173,S60,4.0,113, ,40º 29.365 N,73º 09.472 W,2.9,118,8.1,0.1,229,1024.9,59.0,0.0,0.0,10.3
2023-05-26T22:05:44-04:00,9.3,158,P54,2.7,213, ,40º 27.175 N,73º 02.734 W,3.0,118,8.0,0.1,222,1025.6,58.3,0.0,0.0,9.6
2023-05-27T02:25:08-04:00,2.1,50,P80,1.7,131, ,40º 17.695 N,73º 10.762 W,2.9,116,8.0,0.0,209,1026.6,57.1,0.0,0.0,8.2
2023-05-27T04:33:56-04:00,4.8,66,P82,2.5,148, ,40º 15.374 N,73º 07.206 W,2.8,114,7.9,0.1,222,1026.5,56.6,0.0,0.0,7.1
2023-05-27T05:18:26-04:00,5.3,68,P91,3.0,159, ,40º 13.783 N,73º 05.897 W,2.8,114,7.8,0.1,235,1026.7,56.6,0.0,0.0,7.2
2023-05-27T08:56:09-04:00,5.6,75,P84,3.7,159, ,40º 03.815 N,73º 00.775 W,2.8,112,7.5,0.1,268,1028.1,56.8,0.0,0.0,10.0
2023-05-27T11:49:51-04:00,6.5,80,P90,4.3,169, ,39º 53.848 N,72º 55.654 W,3.1,109,7.0,0.1,288,1027.8,56.7,0.0,0.0,12.7
2023-05-27T14:07:20-04:00,7.7,83,P98,5.7,181, ,39º 44.180 N,72º 53.247 W,3.5,108,6.7,0.2,245,1027.2,56.5,0.0,0.0,14.0
2023-05-27T16:15:57-04:00,9.5,87,P162,4.5,249, ,39º 31.929 N,72º 53.648 W,4.2,107,6.6,0.3,222,1026.5,56.8,0.0,0.0,16.1
2023-05-27T19:22:22-04:00,11.0,84,P165,5.4,249, ,39º 26.810 N,73º 10.612 W,4.7,110,6.8,0.2,244,1026.2,56.9,0.0,0.0,17.2
2023-05-27T21:59:54-04:00,12.6,95,P149,6.3,244, ,39º 21.691 N,73º 27.575 W,5.1,111,7.0,0.1,261,1025.7,57.3,0.0,0.0,17.6
2023-05-27T23:56:24-04:00,14.0,97,P147,6.3,244, ,39º 16.273 N,73º 41.824 W,5.5,112,7.1,0.1,259,1025.1,57.8,0.0,0.0,17.6
2023-05-28T01:52:39-04:00,14.4,90,P154,6.2,244, ,39º 10.855 N,73º 56.074 W,5.7,112,7.2,0.1,273,1024.1,58.2,0.0,0.0,17.0
2023-05-28T03:52:37-04:00,15.1,79,S143,6.8,295, ,39º 05.436 N,74º 10.323 W,5.7,111,7.1,0.1,262,1023.4,58.7,0.0,0.0,16.9
2023-05-28T05:29:05-04:00,14.7,73,S138,7.0,295, ,39º 10.102 N,74º 23.108 W,5.2,113,7.1,0.1,282,1023.1,58.8,0.0,0.0,15.6
2023-05-28T07:02:51-04:00,12.3,66,P96,8.2,162, ,39º 14.768 N,74º 35.893 W,4.0,115,7.0,0.0,290,1023.3,58.4,0.0,0.0,14.8
2023-05-28T07:18:24-04:00,14.6,66,P85,9.3,152, ,39º 12.746 N,74º 35.051 W,4.3,114,7.0,0.0,286,1023.3,58.8,0.0,0.0,15.5
2023-05-28T08:50:37-04:00,18.4,67,P85,9.6,152, ,39º 00.169 N,74º 26.383 W,5.5,109,6.9,0.1,261,1022.9,59.3,0.0,0.0,18.4
2023-05-28T11:49:50-04:00,19.4,66,P86,9.1,152, ,38º 35.015 N,74º 09.049 W,6.5,104,6.9,0.1,300,1021.7,59.7,0.0,0.0,19.4
2023-05-28T13:23:39-04:00,16.8,73,P79,7.7,152, ,38º 22.439 N,74º 00.382 W,6.7,105,6.9,0.2,252,1020.7,60.4,0.0,0.0,18.6
2023-05-28T15:15:26-04:00,15.3,88,S156,6.3,292, ,38º 09.862 N,73º 51.715 W,6.8,106,6.9,0.1,245,1019.5,61.2,0.0,0.0,18.5
2023-05-28T17:19:26-04:00,14.7,91,P156,6.4,246, ,38º 14.682 N,74º 06.991 W,6.5,108,6.9,0.1,248,1018.6,60.4,0.0,0.0,17.9
2023-05-28T19:43:16-04:00,16.2,103,P147,6.8,250, ,38º 08.272 N,74º 25.358 W,6.3,110,6.9,0.1,304,1018.1,60.5,0.1,0.0,17.1
2023-05-28T22:12:36-04:00,15.3,114,P139,7.3,253, ,38º 02.161 N,74º 46.440 W,5.9,111,6.8,0.1,295,1017.6,61.2,0.0,0.0,16.5
2023-05-28T23:42:48-04:00,14.3,122,P90,9.1,211, ,37º 59.045 N,74º 59.706 W,5.5,111,6.8,0.1,311,1017.1,61.4,0.0,0.0,16.9
2023-05-29T00:20:24-04:00,13.9,131,P90,9.0,221, ,37º 54.160 N,75º 03.497 W,5.5,111,6.8,0.1,307,1016.7,61.5,0.0,0.0,17.4
2023-05-29T00:58:02-04:00,14.0,138,P93,9.2,231, ,37º 49.854 N,75º 08.177 W,5.5,110,6.7,0.1,286,1016.4,61.6,0.0,0.0,18.1
2023-05-29T02:34:35-04:00,14.5,146,P85,8.2,231, ,37º 40.618 N,75º 22.779 W,5.2,107,6.5,0.2,221,1015.6,62.3,0.0,0.0,18.9
2023-05-29T04:22:12-04:00,11.5,166,P44,3.3,209, ,37º 31.381 N,75º 37.380 W,4.5,103,6.2,0.1,196,1014.8,64.0,0.2,0.0,19.7
2023-05-29T05:04:53-04:00,11.0,173,S44,3.4,129, ,37º 29.368 N,75º 38.808 W,4.5,103,6.2,0.1,190,1014.6,64.3,0.2,0.0,20.0
2023-05-29T05:36:59-04:00,11.1,174,P46,3.4,221, ,37º 28.208 N,75º 37.030 W,4.5,103,6.2,0.1,197,1014.7,64.3,0.3,0.0,20.1
2023-05-29T05:57:07-04:00,10.5,177,S48,3.5,129, ,37º 27.347 N,75º 37.967 W,4.4,103,6.2,0.1,196,1014.7,64.4,0.3,0.0,20.2
2023-05-29T06:05:06-04:00,10.4,178,P48,2.6,227, ,37º 27.057 N,75º 37.522 W,4.4,104,6.2,0.1,195,1014.7,64.4,0.3,0.0,20.2
2023-05-29T07:51:38-04:00,6.5,206,S50,2.6,155, ,37º 23.903 N,75º 41.711 W,3.2,104,6.1,0.0,213,1015.1,64.8,0.6,0.0,20.3
2023-05-29T11:22:27-04:00,6.4,204,P55,3.2,259, ,37º 15.667 N,75º 36.987 W,3.9,106,6.6,0.1,209,1015.7,64.2,1.1,0.0,16.9
