,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,GFS,2023-05-26T09:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-26T09:00:00-04:00,7.1,307,S88,4.5,219, ,41º 20.388 N,71º 23.849 W,2.6,134,8.1,0.1,124,1022.3,55.8,0.0,0.0,9.4
2023-05-26T09:36:52-04:00,6.8,294,S92,4.5,202, ,41º 18.235 N,71º 26.190 W,2.6,132,8.2,0.1,137,1022.3,56.6,0.0,0.0,8.4
2023-05-26T10:15:47-04:00,6.4,269,S89,4.0,180, ,41º 15.502 N,71º 27.641 W,2.8,131,8.1,0.2,148,1022.4,57.1,0.0,0.0,7.0
2023-05-26T13:44:36-04:00,10.4,229,P51,4.4,279, ,41º 01.520 N,71º 27.645 W,3.3,129,7.8,0.3,221,1021.8,57.1,0.0,0.0,11.5
2023-05-26T16:52:40-04:00,13.3,233,S50,4.3,183, ,41º 03.757 N,71º 45.730 W,3.0,137,7.4,0.1,198,1021.0,60.2,0.0,0.0,16.9
2023-05-26T19:28:44-04:00,12.4,231,P50,4.4,280, ,40º 52.517 N,71º 46.551 W,3.3,131,7.7,0.2,208,1021.9,58.8,0.0,0.0,15.9
2023-05-26T21:43:34-04:00,11.8,231,P50,3.1,280, ,40º 54.301 N,71º 59.430 W,2.9,127,8.1,0.1,211,1022.8,58.2,0.0,0.0,15.3
2023-05-27T00:54:20-04:00,6.2,251,S53,2.3,198, ,40º 56.084 N,72º 12.309 W,2.1,126,8.3,0.1,175,1023.7,56.4,0.0,0.0,8.5
2023-05-27T01:26:31-04:00,5.7,256,P55,2.0,311, ,40º 54.933 N,72º 12.800 W,2.3,125,8.4,0.1,173,1023.8,56.4,0.0,0.0,7.1
2023-05-27T01:53:30-04:00,4.6,265,S46,2.1,219, ,40º 55.513 N,72º 13.689 W,2.2,125,8.4,0.1,171,1023.9,56.2,0.0,0.0,5.6
2023-05-27T03:30:16-04:00,4.8,311,S70,2.8,241, ,40º 52.930 N,72º 16.498 W,2.5,124,8.5,0.0,171,1023.9,56.3,0.0,0.0,6.0
2023-05-27T04:21:20-04:00,4.6,345,S94,2.5,251, ,40º 51.788 N,72º 19.259 W,2.4,124,8.5,0.0,229,1024.0,56.5,0.0,0.0,6.1
2023-05-27T07:41:04-04:00,4.2,23,S125,2.0,259, ,40º 49.093 N,72º 29.787 W,2.3,123,8.4,0.0,168,1025.7,57.7,0.0,0.0,5.0
2023-05-27T10:26:06-04:00,4.0,60,P169,1.9,229, ,40º 47.971 N,72º 37.087 W,2.3,122,8.4,0.0,149,1026.1,60.7,0.0,0.0,4.3
2023-05-27T11:55:23-04:00,5.4,107,P152,3.1,259, ,40º 46.108 N,72º 39.872 W,2.2,123,8.4,0.0,174,1026.0,62.0,0.0,0.0,5.4
2023-05-27T13:17:08-04:00,7.6,135,S134,3.7,1, ,40º 45.266 N,72º 45.347 W,2.0,125,8.2,0.0,168,1025.8,62.8,0.0,0.0,7.6
2023-05-27T13:28:57-04:00,7.6,136,S97,4.8,39, ,40º 45.986 N,72º 45.323 W,2.0,126,8.2,0.0,168,1025.7,63.0,0.0,0.0,7.6
2023-05-27T13:35:52-04:00,7.6,136,S135,3.7,1, ,40º 46.417 N,72º 44.855 W,2.1,126,8.2,0.0,168,1025.7,63.0,0.0,0.0,7.6
2023-05-27T13:47:30-04:00,7.6,137,S75,4.1,61, ,40º 47.138 N,72º 44.831 W,2.1,126,8.2,0.0,168,1025.7,63.2,0.0,0.0,7.6
2023-05-27T14:04:45-04:00,7.5,139,S137,3.6,1, ,40º 47.708 N,72º 43.451 W,2.1,126,8.1,0.0,173,1025.6,63.3,0.0,0.0,7.5
2023-05-27T14:16:42-04:00,7.3,139,P59,2.9,198, ,40º 48.429 N,72º 43.427 W,2.1,126,8.1,,,1025.6,63.5,0.0,0.0,7.3
2023-05-27T14:41:46-04:00,7.5,147,P95,4.9,241, ,40º 47.278 N,72º 43.919 W,2.1,127,8.1,0.0,170,1025.6,63.3,0.0,0.0,7.5
2023-05-27T14:56:20-04:00,7.6,150,P69,3.8,219, ,40º 46.707 N,72º 45.299 W,2.0,127,8.0,0.0,165,1025.6,63.3,0.0,0.0,7.6
2023-05-27T15:05:14-04:00,7.6,153,S74,4.1,79, ,40º 46.277 N,72º 45.767 W,2.0,127,8.0,0.0,163,1025.5,63.3,0.0,0.0,7.6
2023-05-27T15:15:48-04:00,7.5,155,P64,3.4,219, ,40º 46.417 N,72º 44.855 W,2.0,127,8.0,0.0,165,1025.5,63.1,0.0,0.0,7.5
2023-05-27T15:25:53-04:00,7.5,158,P24,1.0,181, ,40º 45.986 N,72º 45.323 W,2.0,128,8.0,0.0,163,1025.5,63.1,0.0,0.0,7.5
2023-05-27T16:08:02-04:00,7.1,169,P77,3.4,246, ,40º 45.266 N,72º 45.347 W,2.0,128,7.9,0.0,162,1025.5,62.9,0.0,0.0,7.3
2023-05-27T19:55:58-04:00,8.3,189,P66,3.7,255, ,40º 39.997 N,73º 00.953 W,2.0,139,6.8,,,1025.8,62.4,0.0,0.0,11.3
2023-05-27T23:00:45-04:00,7.6,190,P83,4.6,273, ,40º 37.031 N,73º 15.576 W,1.9,139,6.8,,,1026.4,60.7,0.0,0.0,11.2
2023-05-27T23:36:49-04:00,6.8,192,P118,3.8,311, ,40º 37.190 N,73º 19.202 W,1.7,141,6.7,,,1026.3,60.6,0.0,0.0,9.9
2023-05-27T23:50:50-04:00,6.5,194,S65,2.7,129, ,40º 37.770 N,73º 20.092 W,1.7,141,6.7,,,1026.2,60.6,0.0,0.0,9.5
2023-05-28T03:49:08-04:00,4.5,206,S77,1.9,129, ,40º 31.022 N,73º 09.191 W,2.1,126,7.6,0.1,214,1025.8,60.2,0.0,0.0,5.0
2023-05-28T09:21:56-04:00,3.0,179,P41,1.8,220, ,40º 24.274 N,72º 58.290 W,2.2,121,7.7,0.1,99,1026.0,60.7,0.0,0.0,3.1
2023-05-28T15:39:00-04:00,6.8,173,S43,2.6,131, ,40º 15.664 N,73º 07.651 W,2.4,129,7.0,0.0,331,1023.0,61.8,0.0,0.0,7.6
2023-05-28T19:13:26-04:00,6.9,189,S59,2.5,130, ,40º 09.571 N,72º 58.318 W,2.6,138,6.5,0.1,290,1022.0,61.4,0.0,0.0,7.2
2023-05-28T22:49:58-04:00,5.9,182,P38,1.4,220, ,40º 03.768 N,72º 49.429 W,2.8,143,6.4,0.1,45,1021.2,60.5,0.0,0.0,6.0
2023-05-28T23:13:51-04:00,6.0,184,S53,3.1,130, ,40º 03.338 N,72º 49.897 W,2.8,143,6.4,0.1,40,1021.1,60.5,0.0,0.0,6.1
2023-05-29T02:05:48-04:00,6.4,215,S63,2.0,152, ,39º 57.535 N,72º 41.008 W,2.9,142,6.5,0.1,185,1020.3,59.9,0.0,0.0,6.4
2023-05-29T05:54:54-04:00,1.9,163,P57,2.1,220, ,39º 50.740 N,72º 36.237 W,3.0,141,6.7,0.3,209,1019.0,60.1,0.0,0.0,1.9
2023-05-29T09:59:54-04:00,4.2,138,P82,3.1,220, ,39º 44.282 N,72º 43.257 W,3.0,140,6.9,0.3,214,1019.4,61.7,0.0,0.0,4.2
2023-05-29T12:52:30-04:00,5.6,120,P82,3.8,202, ,39º 37.394 N,72º 50.746 W,3.0,138,7.1,0.2,226,1018.9,62.8,0.0,0.0,5.6
2023-05-29T14:25:39-04:00,6.8,110,P146,3.5,256, ,39º 31.929 N,72º 53.648 W,3.0,138,7.1,0.1,205,1018.3,63.4,0.0,0.0,7.0
2023-05-29T17:00:59-04:00,7.4,126,P126,4.1,251, ,39º 29.814 N,73º 05.066 W,2.9,139,7.1,0.1,244,1017.7,63.5,0.0,0.0,8.0
2023-05-29T20:11:50-04:00,8.4,118,P128,4.9,245, ,39º 25.556 N,73º 21.093 W,2.9,140,7.0,0.2,273,1017.9,63.3,0.0,0.0,9.7
2023-05-29T22:54:44-04:00,9.4,119,P126,5.1,245, ,39º 20.047 N,73º 36.707 W,2.9,139,6.9,0.2,241,1018.3,62.5,0.0,0.0,13.6
2023-05-30T01:32:26-04:00,9.6,105,P140,4.8,245, ,39º 14.539 N,73º 52.322 W,2.8,138,6.7,0.2,244,1018.0,62.4,0.0,0.0,14.7
2023-05-30T04:18:52-04:00,11.1,85,S150,5.6,295, ,39º 09.030 N,74º 07.936 W,2.8,134,6.4,0.3,241,1018.1,62.8,0.0,0.0,16.7
2023-05-30T06:17:03-04:00,12.3,78,S142,6.0,295, ,39º 13.696 N,74º 20.720 W,2.7,126,5.9,0.4,234,1018.6,63.1,0.0,0.0,17.9
2023-05-30T08:06:16-04:00,11.5,77,P143,5.6,220, ,39º 18.361 N,74º 33.505 W,2.2,124,5.7,0.2,222,1019.2,64.2,0.0,0.0,18.5
2023-05-30T08:12:32-04:00,11.5,77,P165,3.4,242, ,39º 17.931 N,74º 33.973 W,2.2,123,5.6,0.2,222,1019.3,64.3,0.0,0.0,18.5
2023-05-30T08:33:45-04:00,11.5,77,S159,4.8,278, ,39º 17.360 N,74º 35.354 W,2.2,122,5.6,0.2,221,1019.3,64.7,0.0,0.0,18.4
2023-05-30T09:00:18-04:00,11.1,78,P29,2.5,108, ,39º 17.660 N,74º 38.068 W,2.1,120,5.5,0.2,216,1019.4,65.8,0.0,0.0,17.9
