,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,UKMO,2023-05-26T18:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-26T18:00:00-04:00,6.3,104,P78,3.7,181, ,41º 20.388 N,71º 23.849 W,2.4,138,7.8,0.1,117,1023.9,58.0,0.0,0.0,11.2
2023-05-26T18:47:15-04:00,8.6,128,P78,5.0,205, ,41º 17.505 N,71º 23.944 W,2.5,137,7.7,0.1,142,1024.1,57.7,0.0,0.0,12.2
2023-05-26T20:58:38-04:00,10.7,136,P78,6.1,215, ,41º 07.585 N,71º 30.170 W,2.7,132,7.8,0.3,202,1024.8,57.2,0.0,0.0,11.4
2023-05-26T21:54:02-04:00,10.7,140,P81,6.3,221, ,41º 02.990 N,71º 34.406 W,2.8,129,7.9,0.3,237,1025.2,56.9,0.0,0.0,10.7
2023-05-27T00:05:42-04:00,9.6,137,P99,6.0,237, ,40º 52.517 N,71º 46.551 W,2.9,125,8.0,0.1,215,1025.8,56.4,0.0,0.0,9.6
2023-05-27T03:27:43-04:00,5.4,158,P97,3.2,255, ,40º 42.653 N,72º 06.393 W,2.8,121,8.0,0.1,185,1026.1,56.2,0.0,0.0,5.4
2023-05-27T05:09:48-04:00,4.3,182,P86,2.8,268, ,40º 41.240 N,72º 13.249 W,2.7,120,8.1,0.0,156,1026.7,55.6,0.0,0.0,4.3
2023-05-27T08:07:58-04:00,2.1,190,P111,2.0,301, ,40º 40.997 N,72º 24.151 W,2.4,119,8.1,0.1,16,1027.1,55.5,0.0,0.0,7.0
2023-05-27T11:19:39-04:00,5.1,196,P90,4.0,287, ,40º 44.198 N,72º 31.309 W,2.2,122,8.0,0.0,25,1027.7,56.2,0.0,0.0,9.5
2023-05-27T13:21:06-04:00,7.2,186,P62,2.8,248, ,40º 46.548 N,72º 41.673 W,2.0,125,7.8,0.0,329,1027.0,60.5,0.0,0.0,11.8
2023-05-27T18:40:11-04:00,6.8,206,S44,1.9,162, ,40º 40.858 N,73º 00.017 W,1.7,131,7.0,,,1025.5,59.3,0.0,0.0,11.1
2023-05-27T19:13:12-04:00,6.9,207,P50,2.8,257, ,40º 39.847 N,72º 59.596 W,1.8,130,7.0,0.1,96,1025.4,59.2,0.0,0.0,11.1
2023-05-27T23:55:03-04:00,7.6,208,P57,2.8,265, ,40º 36.890 N,73º 16.489 W,1.8,133,6.7,,,1025.2,59.2,0.0,0.0,7.6
2023-05-28T01:01:57-04:00,8.1,218,P92,5.3,311, ,40º 36.619 N,73º 20.583 W,1.7,133,6.7,,,1024.9,58.9,0.0,0.0,8.1
2023-05-28T01:06:57-04:00,7.9,219,S141,3.7,79, ,40º 36.909 N,73º 21.028 W,1.7,133,6.7,,,1024.8,58.7,0.0,0.0,7.9
2023-05-28T01:18:33-04:00,7.7,222,P140,3.7,1, ,40º 37.050 N,73º 20.115 W,1.7,133,6.8,,,1024.8,58.6,0.0,0.0,7.7
2023-05-28T01:30:38-04:00,7.3,224,S26,1.4,198, ,40º 37.770 N,73º 20.092 W,1.7,133,6.8,,,1024.7,58.1,0.0,0.0,7.3
2023-05-28T02:23:06-04:00,6.8,229,S90,4.1,139, ,40º 36.619 N,73º 20.583 W,1.7,132,6.9,,,1024.5,58.5,0.0,0.0,6.8
2023-05-28T05:16:24-04:00,5.0,233,S94,3.5,139, ,40º 27.639 N,73º 10.209 W,2.5,126,7.4,0.0,37,1024.0,57.7,0.0,0.0,5.0
2023-05-28T08:44:18-04:00,5.4,221,S94,3.6,128, ,40º 18.659 N,72º 59.836 W,2.9,127,7.3,0.1,49,1023.7,58.1,0.0,0.0,5.4
2023-05-28T11:58:53-04:00,5.6,209,S78,2.4,130, ,40º 11.545 N,72º 47.812 W,3.1,128,7.2,0.2,344,1022.8,58.7,0.0,0.0,5.6
2023-05-28T16:32:45-04:00,4.7,192,S62,2.5,130, ,40º 04.292 N,72º 36.701 W,3.3,130,7.0,0.1,262,1019.7,60.0,0.0,0.0,6.7
2023-05-28T21:00:43-04:00,7.6,178,P58,3.7,236, ,39º 57.038 N,72º 25.590 W,3.4,132,6.9,0.3,226,1018.3,60.0,0.0,0.0,8.8
2023-05-28T22:45:19-04:00,9.0,170,P59,3.4,229, ,39º 53.463 N,72º 32.516 W,3.4,133,6.9,0.3,243,1018.2,60.5,0.0,0.0,9.0
2023-05-29T02:56:46-04:00,5.8,157,P63,2.9,220, ,39º 44.152 N,72º 46.439 W,3.6,134,6.9,0.3,228,1016.4,61.1,0.0,0.0,5.9
2023-05-29T04:39:31-04:00,4.5,127,P77,2.8,203, ,39º 40.277 N,72º 50.651 W,3.6,135,6.9,0.2,224,1016.0,60.6,0.0,0.0,4.6
2023-05-29T06:20:16-04:00,4.6,104,P82,3.1,186, ,39º 35.963 N,72º 53.062 W,3.7,136,6.9,0.2,217,1016.1,60.2,0.0,0.0,5.1
2023-05-29T07:39:41-04:00,5.4,94,P126,3.8,220, ,39º 31.929 N,72º 53.648 W,3.7,136,6.8,0.2,216,1016.3,60.2,0.0,0.0,5.6
2023-05-29T10:03:23-04:00,7.9,99,P132,4.7,231, ,39º 25.041 N,73º 01.137 W,3.7,136,6.8,0.3,221,1016.4,60.7,0.0,0.0,8.0
2023-05-29T12:27:34-04:00,10.0,89,P142,5.0,231, ,39º 17.929 N,73º 12.415 W,3.7,134,6.6,0.2,227,1016.2,61.1,0.0,0.0,11.6
2023-05-29T14:43:18-04:00,12.5,77,P154,5.7,231, ,39º 10.816 N,73º 23.694 W,3.9,129,6.3,0.1,241,1015.8,61.8,0.2,0.0,15.4
2023-05-29T16:41:00-04:00,15.8,68,S145,7.0,283, ,39º 03.703 N,73º 34.972 W,3.9,126,6.1,0.2,244,1015.6,62.0,0.3,0.0,15.8
2023-05-29T18:25:37-04:00,16.9,70,S146,7.0,283, ,39º 06.470 N,73º 50.203 W,3.9,121,5.9,0.2,247,1015.9,61.9,0.5,0.0,16.9
2023-05-29T20:09:07-04:00,18.2,70,S147,7.0,283, ,39º 09.236 N,74º 05.432 W,4.0,116,5.6,0.3,231,1016.2,61.8,0.1,0.0,20.5
2023-05-29T21:52:44-04:00,19.2,69,S146,7.1,283, ,39º 12.002 N,74º 20.662 W,3.9,111,5.4,0.3,232,1016.8,61.6,0.0,0.0,20.6
