,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,ECMWF,2023-05-26T21:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-26T21:00:00-04:00,10.3,163,P66,4.6,228, ,41º 20.388 N,71º 23.849 W,2.4,140,7.5,0.1,117,1024.8,57.1,0.0,0.0,13.0
2023-05-26T22:12:37-04:00,9.6,176,P61,4.0,237, ,41º 16.663 N,71º 29.419 W,2.4,138,7.5,0.2,131,1025.3,57.0,0.0,0.0,11.9
2023-05-26T23:39:57-04:00,9.9,182,S51,3.4,131, ,41º 13.519 N,71º 35.877 W,2.3,136,7.4,0.1,123,1025.7,56.4,0.0,0.0,12.2
2023-05-26T23:55:50-04:00,9.8,179,P46,3.3,226, ,41º 12.938 N,71º 34.988 W,2.4,136,7.4,0.1,141,1025.7,56.3,0.0,0.0,12.0
2023-05-27T01:06:18-04:00,8.8,169,P65,2.7,234, ,41º 10.215 N,71º 38.708 W,2.3,134,7.5,0.0,277,1025.8,55.7,0.0,0.0,10.7
2023-05-27T05:45:39-04:00,5.0,201,S43,2.3,158, ,41º 02.775 N,71º 52.117 W,2.2,126,8.0,0.1,179,1026.7,54.9,0.0,0.0,6.1
2023-05-27T10:38:27-04:00,6.3,222,P56,2.8,278, ,40º 52.517 N,71º 46.551 W,2.3,123,8.0,0.1,192,1027.7,55.6,0.0,0.0,7.9
2023-05-27T12:54:01-04:00,8.3,224,S53,2.9,171, ,40º 53.416 N,71º 54.692 W,2.2,125,7.8,0.0,83,1027.2,55.6,0.0,0.0,10.3
2023-05-27T15:36:46-04:00,7.4,215,P44,3.0,259, ,40º 45.770 N,71º 53.127 W,2.2,121,7.8,0.1,236,1026.4,57.9,0.0,0.0,9.2
2023-05-27T17:16:56-04:00,9.2,204,P64,4.2,268, ,40º 44.787 N,71º 59.515 W,2.2,122,7.6,0.1,191,1025.9,58.3,0.0,0.0,11.5
