,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,PWE,2023-05-31T17:56:14-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-31T17:56:14-04:00,7.5,158,P76,4.6,234, ,41º 20.388 N,71º 23.849 W,2.2,138,6.4,0.1,158,1021.3,59.1,0.0,0.0,8.6
2023-05-31T20:10:22-04:00,7.2,138,P71,3.4,209, ,41º 14.380 N,71º 34.941 W,2.3,133,6.6,0.1,246,1021.0,58.9,0.0,0.0,7.2
2023-05-31T21:39:52-04:00,6.1,140,P88,3.9,228, ,41º 09.925 N,71º 38.264 W,2.5,134,6.6,0.2,278,1021.0,59.0,0.0,0.0,6.1
2023-05-31T22:22:36-04:00,6.1,153,P78,3.2,232, ,41º 08.063 N,71º 41.049 W,2.6,134,6.7,0.2,293,1021.0,58.9,0.0,0.0,6.1
2023-06-01T00:19:11-04:00,6.0,186,P64,2.3,251, ,41º 04.198 N,71º 47.531 W,2.8,134,6.8,0.0,348,1020.9,58.5,0.0,0.0,6.0
2023-06-01T01:25:03-04:00,4.5,206,S58,1.8,148, ,41º 03.346 N,71º 50.736 W,2.8,134,6.9,0.0,69,1020.8,58.6,0.0,0.0,4.5
2023-06-01T04:31:08-04:00,2.0,264,S83,1.4,181, ,40º 58.573 N,71º 46.807 W,3.5,136,7.1,0.2,195,1020.4,57.9,0.0,0.0,4.8
2023-06-01T06:32:19-04:00,2.4,318,S120,1.7,198, ,40º 55.690 N,71º 46.901 W,3.7,136,7.1,0.3,218,1020.4,57.5,0.0,0.0,3.9
2023-06-01T07:57:05-04:00,3.5,350,P141,1.7,131, ,40º 53.388 N,71º 47.885 W,3.8,136,7.2,0.3,225,1020.5,57.2,0.0,0.0,3.5
2023-06-01T08:45:07-04:00,3.3,359,S107,2.0,252, ,40º 52.517 N,71º 46.551 W,3.8,136,7.2,0.3,227,1020.4,57.5,0.0,0.0,3.3
2023-06-01T11:41:47-04:00,1.4,40,S155,2.0,245, ,40º 50.674 N,71º 53.875 W,3.7,135,7.1,0.3,254,1019.7,57.6,0.0,0.0,3.4
2023-06-01T15:25:23-04:00,6.3,164,P95,5.4,259, ,40º 47.539 N,72º 02.602 W,3.6,134,7.1,0.2,247,1018.2,58.6,0.0,0.0,8.8
2023-06-01T16:58:34-04:00,10.8,173,P93,7.0,266, ,40º 45.854 N,72º 13.552 W,3.5,133,7.0,0.1,230,1017.4,58.7,0.0,0.0,10.8
2023-06-01T18:12:31-04:00,9.1,186,P90,6.0,276, ,40º 45.181 N,72º 24.922 W,3.4,133,6.9,0.1,318,1017.0,58.9,0.0,0.0,10.9
2023-06-01T20:21:07-04:00,7.9,198,P55,3.3,252, ,40º 46.548 N,72º 41.673 W,3.0,133,6.8,0.1,241,1016.5,59.2,0.0,0.0,10.4
2023-06-01T21:20:57-04:00,7.9,204,S73,4.3,131, ,40º 45.556 N,72º 45.791 W,2.8,133,6.8,0.1,240,1016.7,59.1,0.0,0.0,8.7
2023-06-01T21:27:25-04:00,7.9,205,P53,2.6,259, ,40º 45.266 N,72º 45.347 W,2.8,133,6.8,0.1,239,1016.7,59.1,0.0,0.0,8.5
2023-06-01T22:32:13-04:00,6.5,221,S40,1.9,181, ,40º 44.704 N,72º 48.997 W,2.5,134,6.7,0.1,234,1017.0,58.9,0.0,0.0,6.5
2023-06-01T22:55:01-04:00,6.0,229,P49,2.0,278, ,40º 43.984 N,72º 49.020 W,2.5,133,6.7,0.1,232,1017.1,58.8,0.0,0.0,6.0
2023-06-01T23:25:41-04:00,5.9,234,S52,2.2,181, ,40º 44.134 N,72º 50.377 W,2.4,134,6.7,0.1,229,1016.9,58.7,0.0,0.0,5.9
2023-06-01T23:45:16-04:00,5.8,235,P44,1.8,278, ,40º 43.413 N,72º 50.401 W,2.4,133,6.7,0.1,228,1016.8,58.6,0.0,0.0,5.8
2023-06-02T00:20:53-04:00,5.7,240,S42,1.8,198, ,40º 43.562 N,72º 51.758 W,2.3,133,6.7,0.1,224,1016.5,58.5,0.0,0.0,6.2
2023-06-02T01:01:26-04:00,5.7,244,P66,2.8,311, ,40º 42.412 N,72º 52.249 W,2.4,132,6.7,0.1,220,1016.2,58.3,0.0,0.0,6.6
2023-06-02T01:11:18-04:00,5.7,247,S58,2.4,188, ,40º 42.702 N,72º 52.693 W,2.3,133,6.7,0.1,219,1016.1,58.3,0.0,0.0,6.7
2023-06-02T03:39:18-04:00,5.3,232,P43,2.3,274, ,40º 36.796 N,72º 53.795 W,2.9,129,6.9,0.1,215,1015.3,58.2,0.0,0.0,7.5
2023-06-02T08:05:06-04:00,6.7,208,P58,2.8,265, ,40º 37.573 N,73º 07.388 W,2.5,128,6.8,,,1014.7,58.0,0.0,0.0,7.4
2023-06-02T11:24:15-04:00,8.3,205,P73,4.3,278, ,40º 36.760 N,73º 19.670 W,2.0,130,6.6,,,1014.0,59.0,0.0,0.0,10.1
2023-06-02T11:38:39-04:00,8.5,202,S123,4.6,79, ,40º 36.909 N,73º 21.028 W,1.9,130,6.6,,,1013.8,59.4,0.0,0.0,10.3
2023-06-02T11:48:05-04:00,8.8,201,P161,3.4,1, ,40º 37.050 N,73º 20.115 W,2.0,130,6.6,,,1013.8,59.4,0.0,0.0,10.4
2023-06-02T12:01:13-04:00,9.3,198,S17,0.9,181, ,40º 37.770 N,73º 20.092 W,1.9,131,6.5,,,1013.7,60.2,0.0,0.0,10.9
2023-06-02T12:48:49-04:00,9.9,192,P67,4.7,259, ,40º 37.050 N,73º 20.115 W,2.0,132,6.4,,,1013.3,59.8,0.0,0.0,11.0
2023-06-02T12:58:06-04:00,10.0,190,S78,5.4,113, ,40º 36.909 N,73º 21.028 W,1.9,131,6.4,,,1013.3,59.9,0.0,0.0,11.0
2023-06-02T15:37:59-04:00,10.9,178,S66,4.3,113, ,40º 31.359 N,73º 03.505 W,2.6,130,6.5,0.1,229,1012.3,60.6,0.0,0.0,10.9
2023-06-02T19:00:36-04:00,9.9,157,P63,4.7,220, ,40º 25.808 N,72º 45.983 W,2.7,129,6.5,0.1,260,1011.8,61.4,0.0,0.0,9.9
2023-06-02T20:05:11-04:00,9.9,149,P58,3.9,206, ,40º 21.934 N,72º 50.196 W,2.7,128,6.5,0.1,252,1011.7,61.6,0.0,0.0,9.9
2023-06-02T21:32:54-04:00,8.0,138,P61,3.5,198, ,40º 16.759 N,72º 53.542 W,2.7,128,6.4,0.1,258,1011.9,60.9,0.0,0.0,10.6
2023-06-03T01:00:45-04:00,5.7,99,P82,3.5,181, ,40º 05.247 N,72º 58.459 W,2.6,126,6.4,0.2,265,1011.5,60.0,0.0,0.0,8.8
2023-06-03T02:27:35-04:00,6.0,77,P91,4.7,168, ,40º 00.203 N,72º 58.624 W,2.5,125,6.4,0.2,254,1011.2,60.0,0.0,0.0,7.9
2023-06-03T04:25:06-04:00,8.1,73,P95,5.5,168, ,39º 51.255 N,72º 56.193 W,2.5,121,6.6,0.3,236,1011.1,60.1,0.0,0.0,8.1
2023-06-03T06:05:30-04:00,8.4,81,P99,6.2,180, ,39º 42.308 N,72º 53.762 W,2.5,119,6.7,0.5,228,1011.5,60.1,0.0,0.0,8.7
2023-06-03T07:45:46-04:00,10.2,87,S137,5.1,310, ,39º 31.929 N,72º 53.648 W,2.5,116,6.7,0.5,219,1011.8,60.7,0.0,0.0,10.2
2023-06-03T08:01:30-04:00,10.6,88,P153,5.1,242, ,39º 32.800 N,72º 54.981 W,2.4,116,6.7,0.5,220,1011.9,60.4,0.0,0.0,10.6
