,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,ECMWF,2023-05-27T09:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-27T09:00:00-04:00,,,,2.6,163, ,41º 20.388 N,71º 23.849 W,,,,,,,,,,
2023-05-27T09:48:50-04:00,,,,2.9,181, ,41º 18.366 N,71º 23.008 W,,,,,,,,,,
2023-05-27T11:17:10-04:00,,,,3.4,205, ,41º 14.042 N,71º 23.150 W,,,,,,,,,,
2023-05-27T11:47:36-04:00,,,,4.0,221, ,41º 12.461 N,71º 24.109 W,,,,,,,,,,
2023-05-27T13:55:21-04:00,,,,3.6,221, ,41º 05.933 N,71º 31.586 W,,,,,,,,,,
2023-05-27T16:19:55-04:00,,,,3.1,219, ,40º 59.405 N,71º 39.062 W,,,,,,,,,,
2023-05-27T19:09:56-04:00,,,,3.8,229, ,40º 52.517 N,71º 46.551 W,,,,,,,,,,
2023-05-27T19:53:46-04:00,,,,4.2,219, ,40º 50.655 N,71º 49.336 W,,,,,,,,,,
2023-05-27T22:58:01-04:00,,,,3.8,235, ,40º 40.753 N,72º 00.100 W,,,,,,,,,,
2023-05-28T02:01:01-04:00,,,,3.6,293, ,40º 34.175 N,72º 12.572 W,,,,,,,,,,
2023-05-28T03:34:44-04:00,,,,4.6,301, ,40º 36.365 N,72º 19.310 W,,,,,,,,,,
2023-05-28T04:57:41-04:00,,,,4.7,297, ,40º 39.566 N,72º 26.468 W,,,,,,,,,,
2023-05-28T06:55:14-04:00,,,,4.2,311, ,40º 43.646 N,72º 37.229 W,,,,,,,,,,
2023-05-28T07:58:50-04:00,,,,3.4,219, ,40º 46.548 N,72º 41.673 W,,,,,,,,,,
2023-05-28T08:37:49-04:00,,,,3.1,241, ,40º 44.826 N,72º 43.546 W,,,,,,,,,,
2023-05-28T10:09:26-04:00,,,,3.4,311, ,40º 42.542 N,72º 49.067 W,,,,,,,,,,
2023-05-28T10:25:14-04:00,,,,3.4,252, ,40º 43.123 N,72º 49.956 W,,,,,,,,,,
2023-05-28T13:05:29-04:00,,,,3.6,252, ,40º 40.287 N,73º 01.397 W,,,,,,,,,,
2023-05-28T15:38:56-04:00,,,,3.9,262, ,40º 37.452 N,73º 12.839 W,,,,,,,,,,
2023-05-28T17:09:31-04:00,,,,3.8,18, ,40º 36.619 N,73º 20.583 W,,,,,,,,,,
2023-05-28T17:28:45-04:00,,,,2.7,208, ,40º 37.770 N,73º 20.092 W,,,,,,,,,,
2023-05-28T19:24:35-04:00,,,,2.3,117, ,40º 33.316 N,73º 23.415 W,,,,,,,,,,
2023-05-29T01:26:44-04:00,,,,1.9,131, ,40º 26.904 N,73º 06.829 W,,,,,,,,,,
2023-05-29T02:49:22-04:00,,,,2.0,153, ,40º 25.163 N,73º 04.162 W,,,,,,,,,,
2023-05-29T03:33:21-04:00,,,,1.6,185, ,40º 23.862 N,73º 03.297 W,,,,,,,,,,
2023-05-29T07:00:01-04:00,,,,1.4,131, ,40º 18.388 N,73º 03.930 W,,,,,,,,,,
2023-05-29T09:56:14-04:00,,,,0.8,181, ,40º 15.776 N,72º 59.930 W,,,,,,,,,,
2023-05-29T10:48:36-04:00,,,,1.6,131, ,40º 15.055 N,72º 59.953 W,,,,,,,,,,
2023-05-29T19:58:06-04:00,,,,2.8,119, ,40º 05.481 N,72º 45.287 W,,,,,,,,,,
2023-05-29T21:57:06-04:00,,,,2.8,220, ,40º 02.860 N,72º 39.017 W,,,,,,,,,,
2023-05-29T23:56:52-04:00,,,,2.5,206, ,39º 58.555 N,72º 43.698 W,,,,,,,,,,
2023-05-30T02:14:29-04:00,,,,2.7,193, ,39º 53.380 N,72º 47.045 W,,,,,,,,,,
2023-05-30T06:18:16-04:00,,,,4.1,194, ,39º 42.869 N,72º 50.113 W,,,,,,,,,,
2023-05-30T09:02:14-04:00,,,,3.4,227, ,39º 31.929 N,72º 53.648 W,,,,,,,,,,
2023-05-30T11:20:05-04:00,,,,3.3,227, ,39º 26.482 N,73º 01.090 W,,,,,,,,,,
2023-05-30T13:44:46-04:00,,,,3.5,272, ,39º 21.035 N,73º 08.531 W,,,,,,,,,,
2023-05-30T17:12:15-04:00,,,,3.4,220, ,39º 21.532 N,73º 23.948 W,,,,,,,,,,
2023-05-30T18:31:28-04:00,,,,3.0,232, ,39º 18.088 N,73º 27.692 W,,,,,,,,,,
2023-05-30T22:55:56-04:00,,,,2.8,277, ,39º 09.928 N,73º 41.124 W,,,,,,,,,,
2023-05-31T03:18:38-04:00,,,,3.8,270, ,39º 11.435 N,73º 56.962 W,,,,,,,,,,
2023-05-31T06:05:47-04:00,,,,3.9,278, ,39º 11.491 N,74º 10.579 W,,,,,,,,,,
2023-05-31T09:22:43-04:00,,,,2.8,310, ,39º 13.289 N,74º 26.862 W,,,,,,,,,,
2023-05-31T10:21:24-04:00,,,,3.1,267, ,39º 15.029 N,74º 29.528 W,,,,,,,,,,
2023-05-31T11:57:03-04:00,,,,2.6,211, ,39º 14.768 N,74º 35.893 W,,,,,,,,,,
2023-05-31T14:08:47-04:00,,,,2.6,220, ,39º 09.883 N,74º 39.683 W,,,,,,,,,,
2023-05-31T15:13:36-04:00,,,,3.4,130, ,39º 07.730 N,74º 42.024 W,,,,,,,,,,
